MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
22661,,"Edward Wightman Memorial",,,,,52.68350,-1.82778,,"Lichfield",,"Staffordshire","England","It can be reached from the intersection of Market Street and Breadmarket Street. ",,https://www.hmdb.org/m.asp?m=22661,9/23/2009,1/27/2022
23521,,"Blériot’s 1909 Landing Site",,,,"Alexander Duckham for the Aero Club of the United Kingdom.",51.13114,1.32597,,"Dover",,"Kent","England","It can be reached from Upper Road near Dover Castle. ",,https://www.hmdb.org/m.asp?m=23521,10/29/2009,1/27/2022
24553,,"Caesar’s Invasion of Britain",,,,,51.21114,1.40292,,"Walmer",,"Kent","England","It can be reached from The Beach north of Cambridge Road. ",,https://www.hmdb.org/m.asp?m=24553,11/17/2009,1/27/2022
52451,,"In Grateful Memory",,,,,52.34239,1.00436,"The St","Botesdale",,"Suffolk","England","It is on The St close to  Fen Lane. ",,https://www.hmdb.org/m.asp?m=52451,2/11/2012,1/27/2022
68118,,"Great St. Mary’s Datum",,,,,52.20529,0.11794,,"Cambridge",,"Cambridgeshire","England","It is on King’s Parade, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=68118,8/26/2013,1/24/2023
68119,,"Toll Gate House","Spaniards Gate",,,"the Heath & Hampstead Society",51.56986,-0.17384,,"Camden",,"Greater London","England","It is on Spaniards Road, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=68119,8/26/2013,1/27/2022
68120,,"Greenwich Foot Tunnel",,,,,51.48324,-0.01016,,"Greenwich",,"Greater London","England","",,https://www.hmdb.org/m.asp?m=68120,8/26/2013,1/27/2022
68122,,"Pre-Raphaelite Brotherhood",,,,"English Heritage",51.52004,-0.13013,"7 Gower Street","Camden",,"Greater London","England","It is at the intersection of Gower Street and Gower Mews, on the right when traveling south on Gower Street. ",,https://www.hmdb.org/m.asp?m=68122,8/26/2013,1/27/2022
68124,,"George Orwell House",,,,"the Hampstead Plaque Fund",51.55875,-0.16174,,"Camden",,"Greater London","England","",,https://www.hmdb.org/m.asp?m=68124,8/26/2013,1/27/2022
68125,,"House of John Keats",,,1896,"Royal Society of Arts",51.55561,-0.16800,,"Camden",,"Greater London","England","It is on Keats Grove, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=68125,8/26/2013,1/27/2022
