MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
4219,,"Noble Leslie DeVotie",,,1964,"Alabama Historical Association",30.22986,-88.02334,,"Fort Morgan",,"Baldwin County","Alabama","It can be reached from Dixie Graves Parkway (State Highway 180) when traveling west. ",,https://www.hmdb.org/m.asp?m=4219,12/17/2007,2/11/2021
4649,,"The Pride of Seven Flags",,,,,30.22836,-88.02179,"51 Highway 180 West","Fort Morgan",,"Baldwin County","Alabama","It is on Dixie Graves Parkway near Alabama Route 180 W. ",,https://www.hmdb.org/m.asp?m=4649,1/9/2008,8/18/2010
7581,,"First White House of the Confederacy",,,1978,"First White House Association",32.37637,-86.29991,"644 Washington Ave","Montgomery",,"Montgomery County","Alabama","It is at the intersection of Washington Avenue and South Union Street, on the right when traveling west on Washington Avenue. ",,https://www.hmdb.org/m.asp?m=7581,5/4/2008,3/5/2025
11730,,"Roanoke Doll Factory","1900-1925",,,"Randolph County Historical Society",33.15110,-85.37188,,"Roanoke",,"Randolph County","Alabama","It is on Vaughn Street, on the left when traveling south. <font color=red> Reported missing.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=11730,9/30/2008,1/14/2022
11732,,"Lebanon Christian Church",,,,"Alabama Historical Association",33.18956,-85.35046,"2100 County Road 79","Roanoke",,"Randolph County","Alabama","It is on County Road 79 near 667. ",,https://www.hmdb.org/m.asp?m=11732,10/3/2008,7/4/2009
12212,,"USS Talladega (APA-208)","Talladega County","“The Tremblin’ T”",2002,,33.43512,-86.10307,,"Talladega",,"Talladega County","Alabama","It is at the intersection of W. North Street and Court Square West, on the left when traveling west on W. North Street. ",,https://www.hmdb.org/m.asp?m=12212,10/9/2008,11/2/2019
12240,,"Forrest Camp No. 1435",,,1988,"Sons of Confederate Veterans",33.55099,-86.75116,,"Birmingham",,"Jefferson County","Alabama","It is on 60th Street North, in the median. ",,https://www.hmdb.org/m.asp?m=12240,10/9/2008,6/29/2022
12241,,"United Confederate Veterans",,,1905,"Camp Forrest, United Confederate Veterans",33.55099,-86.75116,,"Birmingham",,"Jefferson County","Alabama","It is on 60th Street North, in the median. ",,https://www.hmdb.org/m.asp?m=12241,10/9/2008,10/9/2008
12297,,"Emma Sansom Monument",,,1906,"Gadsden Chapter of The United Daughters of The Confederacy",34.01115,-85.99961,,"Gadsden",,"Etowah County","Alabama","It is at the intersection of Broad Street and South 1st Street, in the median on Broad Street. ",,https://www.hmdb.org/m.asp?m=12297,10/11/2008,5/6/2018
12306,,"Gen. N.B. Forrest Captured Col. A.D. Streight",,,1939,"Forney District Ala. United Daughters of The Confederacy",34.23425,-85.54028,,"Cedar Bluff",,"Cherokee County","Alabama","It is on State Highway 9, 0.1 miles west of Route 35, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=12306,10/11/2008,4/7/2022
12487,,"United Confederate Veterans","Camp Hardee No. 39",,,"Sons of Confederate Veterans Fighting Joe Wheeler Camp 1372",33.48861,-86.84611,"600 Martin Luther King Drive","Birmingham",,"Jefferson County","Alabama","It is on Martin Luther King Drive, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=12487,10/14/2008,10/14/2008
14302,,"Clay County Veterans Memorial",,,,"Clay County",33.27405,-85.83571,,"Ashland",,"Clay County","Alabama","It is at the intersection of 1st Avenue (Alabama Route 9) and 2nd Street ( Route 77), on the right when traveling west on 1st Avenue. ",,https://www.hmdb.org/m.asp?m=14302,12/13/2008,11/1/2019
18047,,"Trail of Tears",,,,,34.98067,-85.73101,,"Rocky Springs",,"Jackson County","Alabama","It is on U.S. 72, 0.2 miles north of State Highway 2, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=18047,4/19/2009,9/1/2022
18162,,"Chambers County",,,1972,"Alabama Historical Association",32.89934,-85.40114,"21 Lafayette St N","LaFayette",,"Chambers County","Alabama","It is on Lafayette Street North (U.S. 431) just south of Alabama Avenue, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=18162,4/25/2009,12/19/2023
18163,,"Chambers County War Memorial",,,,"American Legion Post 141",32.89943,-85.40107,,"LaFayette",,"Chambers County","Alabama","It is on Lafayette Street (U.S. 431), on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=18163,4/25/2009,1/4/2024
18575,,"Dwight Mill Village",,,,,34.02460,-86.04550,,"Gadsden",,"Etowah County","Alabama","It is at the intersection of Marston Ave and Coolidge Circle, on the right on Marston Ave. ",,https://www.hmdb.org/m.asp?m=18575,5/5/2009,7/25/2018
18578,,"Howard Gardner Nichols 1871-1896","Scholar, Engineer, Industrialist, Naturalist, Humanitarian",,1999,"Etowah Historical Society",34.02530,-86.04408,,"Alabama City",,"Etowah County","Alabama","It is at the intersection of Cabot Avenue and Dwight, Winona, & Lakefront Aves. & Coolidge Cir., on the right when traveling north on Cabot Avenue. ",,https://www.hmdb.org/m.asp?m=18578,5/5/2009,10/31/2019
19015,,"Site of the Home of William Hugh Smith","Legislator, Governor",,,"Randolph County Historical Society",33.31067,-85.48489,,"Wedowee",,"Randolph County","Alabama","It is at the intersection of Main Street (U.S. 431) and Woodland Avenue, in the median on Main Street. ",,https://www.hmdb.org/m.asp?m=19015,5/16/2009,9/29/2020
20076,,"The Tuskegee Airmen's Plaza",,,1987,"Tuskegee University",32.43163,-85.71008,"Tuskegee University, 1200 W. Montgomery Rd.","Tuskegee Institute",,"Macon County","Alabama","It is on Campus Road east of Foster [West Outer] Drive, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=20076,6/19/2009,11/2/2019
22178,,"Pickens County Courthouse","Erected 1877-78",,1974,"Alabama Historical Association",33.26190,-88.09500,,"Carrollton",,"Pickens County","Alabama","It is at the intersection of Court Square North on Court Square North. ",,https://www.hmdb.org/m.asp?m=22178,9/5/2009,11/3/2019
22207,,"John Henry","Legendary ‘Steel Drivin’ Man’",,,,33.54390,-86.53920,,"Leeds",,"Jefferson County","Alabama","It is on Thornton Avenue NE, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=22207,9/11/2009,8/6/2020
22209,,"The Depot",,,,,33.54390,-86.53920,,"Leeds",,"Jefferson County","Alabama","It is on Thornton Avenue, on the right. ",,https://www.hmdb.org/m.asp?m=22209,9/11/2009,9/11/2009
22232,,"Fort Okfuskee","&#8592;— 6 mi. west —«",,1953,"Alabama Historical Association",32.88300,-85.85430,,"Jacksons' Gap",,"Tallapoosa County","Alabama","It is on U.S. Highway 280, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=22232,9/11/2009,9/4/2020
22253,,"Ravine Used For Protection Against Yankee Shelling",,,2009,"Guntersville Historical Society",34.35630,-86.29600,,"Guntersville",,"Marshall County","Alabama","It is on Gunter Avenue (U.S. 431), on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=22253,9/7/2009,11/3/2019
22258,,"Scottsboro Railroad Depot",,,,"Alabama Historical Commission",34.67510,-86.03690,,"Scottsboro",,"Jackson County","Alabama","It is on W Maple Avenue near N Houston Street. ",,https://www.hmdb.org/m.asp?m=22258,9/7/2009,11/2/2019
22260,,"Robert Thomas Scott","1800-1863",,1989,"Alabama Historical Association",34.67250,-86.03400,,"Scottsboro",,"Jackson County","Alabama","It can be reached from E Laurel Street. ",,https://www.hmdb.org/m.asp?m=22260,9/14/2009,11/1/2019
22262,,"Gen. Andrew Jackson","Soldier, Statesman, 7th President U.S.A.",,1976,,34.67250,-86.03400,,"Scottsboro",,"Jackson County","Alabama","It is on East Laurel Street near South Broad Street (State Route 279), on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=22262,9/14/2009,11/1/2019
22264,,"Jackson County Courthouse And The Scottsboro Boys",,,2003,"the Alabama Historical Commission, the Jackson County Historical Association, and the Alabama State Bar",34.67180,-86.03400,,"Scottsboro",,"Jackson County","Alabama","It is on E Peachtree Street, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=22264,9/16/2009,8/28/2020
22271,,"Stevenson Depot and Hotel",,,,"Alabama Historical Commission",34.86790,-85.84000,,"Stevenson",,"Jackson County","Alabama","It is on West Main Street (State Highway 117), on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=22271,9/9/2009,11/2/2019
22524,,"Telegram Which Began War Between The States / Winter Building",,,1981,"Alabama Historical Association",32.37726,-86.30869,"2 Dexter Ave","Montgomery",,"Montgomery County","Alabama","It is at the intersection of Dexter Avenue and South Court Street, on the right when traveling east on Dexter Avenue. ",,https://www.hmdb.org/m.asp?m=22524,9/18/2009,11/3/2021
22526,,"Rickwood Field",,,1996,"Alabama Historical Commission / The Friends of Rickwood Field, An affiliate of The Birmingahm Area Chamber of Commerce.",33.50300,-86.85690,,"Birmingham",,"Jefferson County","Alabama","It is at the intersection of 12th Street West and 2nd Avenue West on 12th Street West. ",,https://www.hmdb.org/m.asp?m=22526,9/17/2009,12/31/2021
22666,,"Civil War Prison",,,,,32.31640,-87.09601,,"Cahaba",,"Dallas County","Alabama","It can be reached from Capitol Avenue near Vine Street. ",,https://www.hmdb.org/m.asp?m=22666,9/24/2009,1/7/2025
22668,,"Castle Morgan & Jesse Hawes",,,,,32.31640,-87.09600,,"Cahaba",,"Dallas County","Alabama","It can be reached from Capitol Avenue near Vine Avenue. ",,https://www.hmdb.org/m.asp?m=22668,9/24/2009,9/24/2009
22669,,"Major Hiram Solon Hanchett","16th Illinois Cavalry - U.S. Volunteers",,,,32.31640,-87.09600,,"Cahaba",,"Dallas County","Alabama","It can be reached from Capitol Avenue near Vine Street. ",,https://www.hmdb.org/m.asp?m=22669,9/24/2009,6/24/2024
22870,,"The Crocheron Columns",,,,"Alabama Historical Commission",32.31940,-87.09510,,"Cahaba",,"Dallas County","Alabama","It can be reached from 2nd Street North. <font color=red> Reported permanently removed.</font>",Reported Missing,https://www.hmdb.org/m.asp?m=22870,9/30/2009,11/2/2019
23003,,"Orrville United Methodist Church",,,,"United Methodist Church",32.30490,-87.24600,"143 Mill Street South","Orrville",,"Dallas County","Alabama","It is on Mill Street South, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=23003,10/10/2009,10/10/2009
23005,,"The Duke of Cahaba",,,,"Alabama Historical Commission",32.32389,-87.09788,,"Cahaba",,"Dallas County","Alabama","It is on Oak Street near 2nd Street North, on the left when traveling north. <font color=red> Reported permanently removed.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=23005,10/10/2009,6/24/2024
23008,,"Cahaba Drug Store",,,,"Alabama Historical Commission",32.31910,-87.09570,,"Cahaba",,"Dallas County","Alabama","It is on Vine Street near 2nd Street North, on the right when traveling north. <font color=red> Reported permanently removed.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=23008,10/12/2009,6/1/2020
23009,,"Saltmarsh Hall",,,,"Alabama Historical Commission",32.31830,-87.09650,"Vine Street","Cahaba",,"Dallas County","Alabama","It is on 1st Street North, on the left when traveling west. <font color=red> Reported permanently removed.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=23009,10/12/2009,4/21/2024
23010,,"Dallas County Courthouse",,,,"Alabama Historical Commission",32.31801,-87.09630,,"Cahaba",,"Dallas County","Alabama","It is on Vine Street, on the right when traveling north. <font color=red> Reported permanently removed.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=23010,10/14/2009,4/21/2024
23242,,"The Old Brick Store",,,,"Alabama Historical Commission",32.31935,-87.09577,,"Cahaba",,"Dallas County","Alabama","It can be reached from 2nd Street North near Vine Street. <font color=red> Reported permanently removed.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=23242,10/12/2009,11/2/2019
23287,,"Commissary - R.R. Depot",,,,"Alabama Historical Commission",32.31740,-87.09640,"Capitol Street","Cahaba",,"Dallas County","Alabama","It is on Vine Street, on the right when traveling north. <font color=red> Reported permanently removed.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=23287,10/18/2009,4/21/2024
23322,,"New Cemetery",,,,"Cahaba Historical Commission",32.31050,-87.10380,,"Cahaba",,"Dallas County","Alabama","It is on Oak Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=23322,10/18/2009,4/21/2024
23350,,"Doctor Francis' Office",,,1973,"General John H. Forney Historical Society",33.81417,-85.76250,"100 Gayle Avenue SW","Jacksonville",,"Calhoun County","Alabama","It is at the intersection of Gayle Avenue SW and Clinton Street SW, on the left when traveling north on Gayle Avenue SW. ",,https://www.hmdb.org/m.asp?m=23350,10/21/2009,11/2/2019
23355,,"Old Cemetery",,,,"Cahaba Historical Commission",32.31490,-87.10680,,"Cahaba",,"Dallas County","Alabama","It can be reached from Cahaba Road, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=23355,10/18/2009,4/21/2024
23498,,"Sloss Furnaces",,,1984,"Birmingham Historical Society in Cooperation with the Sloss Furnace Association.",33.52140,-86.79020,"Twenty 32nd Street North","Birmingham",,"Jefferson County","Alabama","It can be reached from 1st Avenue North (U.S. 11) near 32nd Street North. ",,https://www.hmdb.org/m.asp?m=23498,10/27/2009,4/20/2023
23500,,"Site of the First Alabama - Auburn Football Game",,,1987,"Alabama Historical Commission & Central Bank of the South",33.51240,-86.78190,,"Birmingham",,"Jefferson County","Alabama","It is at the intersection of Clairmont Avenue South and 32nd Street South., on the right when traveling west on Clairmont Avenue South. ",,https://www.hmdb.org/m.asp?m=23500,10/28/2009,2/20/2023
23588,,"Pelham",,,1905,"General John H. Forney Chapter United Daughters of the.Confederacy",33.80683,-85.75992,,"Jacksonville",,"Calhoun County","Alabama","It is at the intersection of Church Ave SE and James St SE, on the right when traveling north on Church Ave SE. ",,https://www.hmdb.org/m.asp?m=23588,10/24/2009,1/10/2024
23594,,"Seale United Methodist Church",,,1993,"the Historic Chattahoochee Commission And The Seale United Methodist Church",32.29920,-85.16630,"6 Chapel St.","Seale",,"Russell County","Alabama","It is at the intersection of Courthouse Street and Chapel Street, on the right when traveling north on Courthouse Street. ",,https://www.hmdb.org/m.asp?m=23594,10/30/2009,11/3/2019
24066,,"John Looney House","Circa 1820",,1978,"Alabama Historical Association",33.82110,-86.19240,,"Ashville",,"St. Clair County","Alabama","It is on Greensport Road (County Route 24), on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=24066,11/6/2009,1/3/2025
24203,,"Shelby County Courthouse","1854-1908",,1982,"Alabama Historical Association 1982.",33.17720,-86.60720,,"Columbiana",,"Shelby County","Alabama","It is on South Main Street near Mildred Street, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=24203,11/10/2009,11/9/2020
