MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
4286,,"Golden Spike",,,,,64.56794,-149.07958,,"Nenana",,"Yukon-Koyukuk Census Area","Alaska","",,https://www.hmdb.org/m.asp?m=4286,12/19/2007,5/4/2021
8448,,"250th Anniversary of the Bering-Chirikov Expedition","1741-1991",,1991,,57.05123,-135.33982,"120 Katlian St","Sitka",,"Sitka Borough","Alaska","",,https://www.hmdb.org/m.asp?m=8448,6/23/2008,1/2/2025
20215,,"Pipeline History",,,,,64.92938,-147.62956,"1671 Steese Hwy","Goldstream",,"Fairbanks North Star Borough","Alaska","It can be reached from Steese Highway (at milepost 8.4), on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=20215,6/24/2009,1/7/2025
42809,,"Hard Rock Miners",,,,"Borough of Juneau",58.29900,-134.40560,,"Juneau","Downtown Juneau","Juneau Borough","Alaska","It can be reached from Marine Way near South Franklin Street, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=42809,6/2/2011,10/4/2024
42823,"3","Alaska Juneau Mill",,,,"Miners Cove Historical Program",58.29382,-134.39639,"720 S Franklin St","Juneau","Downtown Juneau","Juneau Borough","Alaska","It can be reached from South Franklin Street, ½ mile north of Mr. Roberts Street. ",,https://www.hmdb.org/m.asp?m=42823,6/3/2011,10/1/2024
42948,,"First Presidential Visit",,,1967,"Alaska Centennial Commission",64.56440,-149.09539,,"Nenana",,"Yukon-Koyukuk Census Area","Alaska","It is on Front Street east of George Parks Highway (Alaska Route 3), on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=42948,6/5/2011,1/2/2025
47382,,"<i>The Founding of Fairbanks</i>","Alaska Gold Rush Centennial",,,"Alaska Gold Rush Centennial Task Force",64.84390,-147.72206,,"Fairbanks","Downtown","Fairbanks North Star Borough","Alaska","It is at the intersection of 1st Avenue and Barnette Street on 1st Avenue. ",,https://www.hmdb.org/m.asp?m=47382,9/22/2011,9/10/2024
47383,,"Clay Street Cemetery Miners Memorial",,,1999,"Denali Third Grade Students",64.84164,-147.70874,"108 5th Avenue","Fairbanks",,"Fairbanks North Star Borough","Alaska","It is on 5th Avenue. ",,https://www.hmdb.org/m.asp?m=47383,9/22/2011,9/26/2024
47384,,"Wickersham Cabin",,,1967,"Alaska Centennial Commission",64.84428,-147.71572,"333 1st Ave","Fairbanks","Downtown","Fairbanks North Star Borough","Alaska","It is at the intersection of 1st Avenue and Noble Street on 1st Avenue. ",,https://www.hmdb.org/m.asp?m=47384,9/22/2011,9/26/2024
47404,,"""The Line""","Historic Fairbanks",,,"Fairbanks Rotary",64.84214,-147.72044,"430 Cushman Street","Fairbanks","Downtown","Fairbanks North Star Borough","Alaska","It is at the intersection of Cushman Street and 4th Avenue, on the right when traveling north on Cushman Street. ",,https://www.hmdb.org/m.asp?m=47404,9/23/2011,9/11/2024
47406,,"Cushman Street","Historic Fairbanks",,,,64.84214,-147.72044,"430 Cushman Street","Fairbanks","Downtown","Fairbanks North Star Borough","Alaska","It is on Cushman Street near 4th Avenue. ",,https://www.hmdb.org/m.asp?m=47406,9/23/2011,9/11/2024
47408,,"Suter House",,,,,64.84199,-147.71521,"401 5th Ave","Fairbanks",,"Fairbanks North Star Borough","Alaska","It is on 5th Avenue near Noble Street. ",,https://www.hmdb.org/m.asp?m=47408,9/23/2011,3/17/2020
49595,,"Pa&#289;lagivsi!","Welcome to the Ancient Village of Ukpia&#289;vik","“The Place Where We Hunt Snowy Owls”",,,71.28799,-156.80172,,"Utqiagvik",,"North Slope Borough","Alaska","It is on Apayauk Street. ",,https://www.hmdb.org/m.asp?m=49595,11/28/2011,1/2/2025
49596,,"Taylor Highway",,,,,63.31484,-142.59922,,"Tok",,"Southeast Fairbanks Census Area","Alaska","It is at the intersection of Taylor Highway (Alaska Route 6) and Alaska Highway ( Highway 2) on Taylor Highway. ",,https://www.hmdb.org/m.asp?m=49596,11/28/2011,11/28/2011
49597,,"Welcome to Coldfoot Camp",,,,,67.25121,-150.17934,"9000 Dalton Hwy","Coldfoot","Coldfoot","Yukon-Koyukuk Census Area","Alaska","It is on Coldfoot Road. ",,https://www.hmdb.org/m.asp?m=49597,11/28/2011,1/2/2025
49598,,"Gold Rush Crossroads",,,,"Alaska Gold Rush Centennial",64.15477,-145.84211,"274.5 Richardson Highway (State Hwy 2)","Big Delta",,"Southeast Fairbanks Census Area","Alaska","",,https://www.hmdb.org/m.asp?m=49598,12/3/2011,1/2/2025
49599,,"Gold Discoveries Trigger Stampede",,,,"Alaska Gold Rush Centennial",60.77991,-149.42866,,"Moose Pass",,"Kenai Peninsula Borough","Alaska","It is on Seward Highway (Alaska Route 1 at milepost 56.6). ",,https://www.hmdb.org/m.asp?m=49599,12/3/2011,4/13/2020
49609,,"Old Railroad Tunnel",,,,,61.08419,-145.89322,,"Valdez",,"Valdez-Cordova Census Area","Alaska","It is on Richardson Highway (Alaska Route 4 at milepost 15). ",,https://www.hmdb.org/m.asp?m=49609,12/3/2011,1/2/2025
49610,,"Horse and Sled Trail",,,,"Department of Transportation & P.F.",61.08513,-145.89393,,"Valdez",,"Valdez-Cordova Census Area","Alaska","It is on Richardson Highway (Alaska Route 4 at milepost 15.3). ",,https://www.hmdb.org/m.asp?m=49610,12/3/2011,12/3/2011
49611,,"Goat Trail",,,,"Alaska Gold Rush Centennial",61.06996,-145.89840,,"Valdez",,"Valdez-Cordova Census Area","Alaska","It is on Richardson Highway (Alaska Route 4 at milepost 13.9). ",,https://www.hmdb.org/m.asp?m=49611,12/3/2011,9/12/2020
58912,,"""The North Pole""",,,1976,"North Pole, Alaska Jaycees",64.75117,-147.34451,"275 E 5th Ave","North Pole",,"Fairbanks North Star Borough","Alaska","It is on East 5th Avenue, 0.1 miles east of Davis Boulevard, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=58912,8/29/2012,12/12/2021
58949,,"James A. Maple","P. E. Arctic Pipeline Pioneer","1937 - 2001",2002,,64.92944,-147.62861,,"Goldstream",,"Fairbanks North Star Borough","Alaska","It is on Steese Highway (Alaska Route 2), on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=58949,9/2/2012,9/26/2024
58989,,"Lacey Street Theater (1939)","504 Second Avenue","(the corner of 2nd & Lacey St)",,"Commission on Historic Preservation, Fairbanks North Star Borough",64.84369,-147.71737,"504 Second Avenue","Fairbanks","Downtown","Fairbanks North Star Borough","Alaska","It is on Second Avenue, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=58989,9/2/2012,9/26/2024
59826,,"Tanana Valley Gold",,,,"The Gold Rush Centennial",64.34009,-146.86509,"11341 Richardson Hwy","Harding-Birch Lakes",,"Fairbanks North Star Borough","Alaska","It is on Richardson Highway (Alaska Route 2), on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=59826,10/1/2012,9/26/2024
59831,,"Barnette's Landing",,,1967,"Alaska Centennial Commission",64.84417,-147.72080,,"Fairbanks","Downtown","Fairbanks North Star Borough","Alaska","It is on 1st Avenue near Cushman Street. ",,https://www.hmdb.org/m.asp?m=59831,9/30/2012,9/26/2024
59836,,"Alaska's Gold Rush Era",,,,"The Gold Rush Centennial",64.34008,-146.86513,"11341 Richardson Hwy","Harding-Birch Lakes",,"Fairbanks North Star Borough","Alaska","It is on Richardson Highway (Alaska Route 2), on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=59836,10/1/2012,9/26/2024
59840,,"Delta Junction, Alaska","Northern Terminus of the ""Alcan"" Highway",,,"Delta Chamber of Commerce",64.03707,-145.73183,"2885 Alaska Highway","Delta Junction",,"Southeast Fairbanks Census Area","Alaska","It is at the intersection of Alaska Highway (at milepost 1,422) and Richardson Highway, on the left when traveling north on Alaska Highway. ",,https://www.hmdb.org/m.asp?m=59840,9/30/2012,9/1/2024
61871,,"Archie Van Winkle","Medal of Honor","Colonel U.S. Marine Corps",,,58.29930,-134.40620,"290 Marine Way","Juneau","Downtown Juneau","Juneau Borough","Alaska","It is on Marine Way. ",,https://www.hmdb.org/m.asp?m=61871,12/25/2012,7/27/2014
68849,,"Manila Square",,,2002,"The City and Borough of Juneau",58.29878,-134.40370,"265 S Franklin St","Juneau","Downtown Juneau","Juneau Borough","Alaska","It is at the intersection of Marine Way (Alaska Route 7) and South Franklin Street ( Route 7), on the left when traveling west on Marine Way. ",,https://www.hmdb.org/m.asp?m=68849,9/29/2013,8/29/2020
69014,,"Inspector Charles Constantine and Staff Sergeant Charles Brown",,"North West Mounted Police",1994,"Royal Canadian Mounted Police",59.45302,-135.31892,"101 Broadway","Skagway","Dyea","Skagway","Alaska","It is at the intersection of Broadway and Centennial Park, on the right when traveling north on Broadway. ",,https://www.hmdb.org/m.asp?m=69014,10/5/2013,9/29/2024
69126,,"Three Thousand Pack Animals",,,1997,"Ladies of the Golden North and the Alaska – Yukon Pioneers",59.45305,-135.31938,"157 Broadway","Skagway","Dyea","Skagway","Alaska","It is at the intersection of Broadway and 1st Avenue, on the left when traveling south on Broadway. ",,https://www.hmdb.org/m.asp?m=69126,10/8/2013,10/1/2024
69127,,"Alaska Native Veterans Memorial",,,,"Alaska Native Veterans",58.30138,-134.41541,"358 West Willoughby Avenue","Juneau","Downtown Juneau","Juneau Borough","Alaska","It is at the intersection of Whittier Way and West Willoughby Avenue when traveling south on Whittier Way. ",,https://www.hmdb.org/m.asp?m=69127,10/8/2013,8/16/2020
69128,,"Skagway Centennial Statue","1897",,1997,"Skagway Centennial Committee",59.45305,-135.31916,"157 Broadway","Skagway","Dyea","Skagway","Alaska","It is on Broadway, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=69128,10/8/2013,9/30/2024
69663,,"Patsy Ann: her statue",,,,,58.29858,-134.40549,"256 Marine Way","Juneau","Downtown Juneau","Juneau Borough","Alaska","It can be reached from the intersection of Marine Way. ",,https://www.hmdb.org/m.asp?m=69663,10/26/2013,9/13/2021
69724,,"Ice Age Hunters","The Deadliest Predators",,,,63.72600,-149.41628,,"Denali National Park",,"Denali Borough","Alaska","It is on Park Road. ",,https://www.hmdb.org/m.asp?m=69724,10/27/2013,8/16/2020
69766,,"Measuring the Magnitude of Damage",,,,,61.19843,-149.98035,"4801 W Northern Lights Blvd","Anchorage","Turnagain","Anchorage","Alaska","It is on West Northern Lights Boulevard. ",,https://www.hmdb.org/m.asp?m=69766,10/28/2013,10/16/2020
69767,,"Resolution Park 1776 / 1778",,,1976,"Anchorage Bicentennial Commission",61.21932,-149.90397,"300 L St","Anchorage","Downtown","Anchorage","Alaska","It is on L Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=69767,10/28/2013,10/28/2013
69768,,"What is this “Rock Man”?",,,,,61.17273,-149.86300,"5295 Juneau St","Anchorage","Taku / Campbell","Anchorage","Alaska","It is on Juneau Street. ",,https://www.hmdb.org/m.asp?m=69768,10/28/2013,9/16/2024
69769,,"Tsunami!",,,,,61.19830,-149.97919,"4801 Point Woronzof Dr","Anchorage","Turnagain","Anchorage","Alaska","It is on Point Woronzof Drive. ",,https://www.hmdb.org/m.asp?m=69769,10/28/2013,8/29/2020
69770,,"Turnagain Heights Slide",,,,,61.19852,-149.98003,"4801 W Northern Lights Blvd","Anchorage","Turnagain","Anchorage","Alaska","It can be reached from West Northern Lights Boulevard. ",,https://www.hmdb.org/m.asp?m=69770,10/28/2013,1/2/2025
69795,,"The Earth Did Quake",,,,,61.19853,-149.98017,"4801 W Northern Lights Blvd","Anchorage","Turnagain","Anchorage","Alaska","It is on West Northern Lights Boulevard. ",,https://www.hmdb.org/m.asp?m=69795,10/28/2013,8/29/2020
69797,,"Anchorage Aloft!",,,,,61.19763,-149.97920,"4801 Point Woronzof Dr","Anchorage","Turnagain","Anchorage","Alaska","It is on West Northern Lights Boulevard. ",,https://www.hmdb.org/m.asp?m=69797,10/28/2013,10/6/2019
70719,,"1964 Earthquake",,,,,60.82152,-148.97961,"43640 Seward Hwy","Anchorage","Girdwood","Anchorage","Alaska","It is on Steward Highway. ",,https://www.hmdb.org/m.asp?m=70719,12/22/2013,8/22/2024
70720,,"Moose Calves","Alaska Wildlife Conservation Center",,,,60.82224,-148.98265,"43528 Seward Hwy","Anchorage","Girdwood","Anchorage","Alaska","It is on Seward Highway. ",,https://www.hmdb.org/m.asp?m=70720,1/2/2014,4/17/2020
70734,,"Coho Salmon Life Cycle",,,,,60.78765,-148.87877,"4450 Portage Glacier Rd","Anchorage","Girdwood","Anchorage","Alaska","It is on Portage Glacier Road. ",,https://www.hmdb.org/m.asp?m=70734,1/2/2014,1/2/2014
70735,,"Atlantic Salmon-A Threat to the Chugach National Forest?",,,,"Forest Service-Department of Agriculture",60.78770,-148.87880,"4450 Portage Glacier Rd","Anchorage","Girdwood","Anchorage","Alaska","It is on Portage Glacier Road. ",,https://www.hmdb.org/m.asp?m=70735,1/2/2014,1/2/2014
70746,,"Chief Kyan Totem Pole",,,,,55.34183,-131.64377,,"Ketchikan",,"Ketchikan Gateway Borough","Alaska","It is on Mission Street. ",,https://www.hmdb.org/m.asp?m=70746,12/22/2013,8/16/2020
70758,,"St. Nichlolas Russian Orthodox Church",,,,,58.30304,-134.40907,"326 5th St","Juneau","Downtown Juneau","Juneau Borough","Alaska","It is on 5th Street east of North Franklin Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=70758,1/2/2014,1/2/2014
70759,,"Liberty Bell Reproduction",,,1950,"Revere Copper and Brass Incorporated",58.30209,-134.41022,"120 4th St","Juneau","Downtown Juneau","Juneau Borough","Alaska","It is on East 4th Sreet. ",,https://www.hmdb.org/m.asp?m=70759,12/17/2013,1/26/2021
70762,,"Pelton wheels",,,,,58.33221,-134.46780,"1061 Salmon Creek Ln","Juneau","Twin Lakes","Juneau Borough","Alaska","",,https://www.hmdb.org/m.asp?m=70762,1/2/2014,8/29/2020
70765,,"Wagner Mine",,,,,58.33221,-134.46762,"1061 Salmon Creek Ln","Juneau","Twin Lakes","Juneau Borough","Alaska","It is on Salmon Creek Lane. ",,https://www.hmdb.org/m.asp?m=70765,1/2/2014,12/2/2023
70803,,"Founders of Port Chilkoot",,,,,59.22804,-135.44414,,"Haines",,"Haines Borough","Alaska","It is on 2nd Avenue. ",,https://www.hmdb.org/m.asp?m=70803,1/3/2014,1/3/2014
70810,,"Fort William H. Seward","A National Historic Landmark",,,"The City of Haines",59.22848,-135.43979,,"Haines",,"Haines Borough","Alaska","It is on Beach Road. ",,https://www.hmdb.org/m.asp?m=70810,1/3/2014,1/2/2025
71361,,"Tunnels Lost to Time",,,,"National Park Service, U.S. Department of the Interior",63.73058,-148.91358,,"Denali National Park",,"Denali Borough","Alaska","It is on Morning Loop Trail. ",,https://www.hmdb.org/m.asp?m=71361,1/22/2014,1/2/2025
71362,,"Mountains in Motion / Hot Rocks",,,,,63.53558,-149.82867,"Park Road, Denali Nation Park","Denali National Park",,"Denali Borough","Alaska","It is on Park Road. ",,https://www.hmdb.org/m.asp?m=71362,1/22/2014,1/2/2025
72493,,"Captain James Cook","R.N., F.R.S.","Navigator, Explorer, Chartmaker, Scientist, Humanist / 1728 – 1779",1976,"British Petroleum Company",61.21932,-149.90397,"300 L St","Anchorage","Downtown","Anchorage","Alaska","It can be reached from L Street. ",,https://www.hmdb.org/m.asp?m=72493,3/22/2014,3/22/2014
72782,,"Skagway's Historic Waterfront",,,,,59.45011,-135.32376,"310 Broadway","Skagway","Dyea","Skagway","Alaska","It is on Broadway. ",,https://www.hmdb.org/m.asp?m=72782,4/14/2014,4/14/2014
72783,,"Captain William Moore","The Visionary",,,,59.45023,-135.32360,"310 Broadway","Skagway","Dyea","Skagway","Alaska","It is on Broadway. ",,https://www.hmdb.org/m.asp?m=72783,4/8/2014,4/8/2014
72784,,"Arctic Brotherhood Camp Skagway",,,1967,"Alaska Centennial Commission - State of Alaska",59.45410,-135.31794,"299 Broadway","Skagway","Dyea","Skagway","Alaska","It can be reached from Broadway, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=72784,4/8/2014,1/2/2025
72785,,"Jeff. Smith’s Parlor",,,2010,"National Park Service, U.S. Department of the Interior",59.45403,-135.31916,"305 2nd Ave","Skagway","Dyea","Skagway","Alaska","It is on 2nd Avenue. <font color=red> Reported permanently removed.</font>",Reported Missing,https://www.hmdb.org/m.asp?m=72785,4/8/2014,10/1/2024
72786,,"Mollie Walsh","1872-1902",,,,59.45570,-135.31369,"265 6th Ave","Skagway","Dyea","Skagway","Alaska","It is on 6th Avenue east of Broadway. ",,https://www.hmdb.org/m.asp?m=72786,4/8/2014,4/2/2025
72787,,"Skagway Remembers",,,,"The Town of Skagway",59.45574,-135.31174,"700 Spring St","Skagway","Dyea","Skagway","Alaska","It is at the intersection of 7 Avenue and Spring Street on 7 Avenue. <font color=red> Reported permanently removed.</font>",Reported Missing,https://www.hmdb.org/m.asp?m=72787,4/8/2014,9/28/2024
72788,,"The Vining and Wilkes Warehouse",,,,"Klondike Gold Rush National Historical Park",59.50200,-135.35900,,"Skagway","Dyea","Skagway","Alaska","It can be reached from Dyea Road. ",,https://www.hmdb.org/m.asp?m=72788,4/8/2014,4/8/2014
72789,,"Trail of '98 Museum","Alaska Centennial 1867 - 1967",,1967,"Alaska Centennial Commission",59.45574,-135.31174,"700 Spring St","Skagway","Dyea","Skagway","Alaska","It is at the intersection of 7 Avenue and Spring Street on 7 Avenue. ",,https://www.hmdb.org/m.asp?m=72789,4/8/2014,9/28/2024
72790,,"Fatal Duel",,,1998,,59.45375,-135.32089,"470 1st Ave","Skagway","Dyea","Skagway","Alaska","It is at the intersection of 1st Avenue and State Street, on the right when traveling east on 1st Avenue. ",,https://www.hmdb.org/m.asp?m=72790,4/8/2014,10/1/2024
72791,,"Skagway and White Pass",,,1964,"U.S. Department of the Interior, National Park Service",59.45323,-135.31922,"291 2nd Street","Skagway","Dyea","Skagway","Alaska","It can be reached from 2nd Street. ",,https://www.hmdb.org/m.asp?m=72791,4/8/2014,9/29/2024
72792,,"Mobile Architecture",,,,,61.23316,-149.71503,"8800 Heritage Center Dr","Anchorage","Northeast Anchorage","Anchorage","Alaska","It is on Heritage Center Drive east of Golden Bear Drive. ",,https://www.hmdb.org/m.asp?m=72792,4/8/2014,9/24/2024
72793,,"Raven the Creator","Created by John Hoover in 1998",,,,61.23259,-149.71705,"8800 Heritage Center Dr","Anchorage","Northeast Anchorage","Anchorage","Alaska","It is on Heritage Center Drive. ",,https://www.hmdb.org/m.asp?m=72793,4/8/2014,8/16/2020
72794,,"Fort Richardson National Cemetery-Gate",,,,,61.27260,-149.65840,"E Valor Dr","Anchorage","Elmendorf Air Force Base","Anchorage","Alaska","It is on Davis Highway (Cemetery Entrance). ",,https://www.hmdb.org/m.asp?m=72794,4/8/2014,8/22/2024
72795,,"Ancient Traditions of the Athabascan People",,,,,61.23319,-149.71523,"8800 Heritage Center Dr","Anchorage","Northeast Anchorage","Anchorage","Alaska","It can be reached from Heritage Center Drive. ",,https://www.hmdb.org/m.asp?m=72795,4/8/2014,8/16/2020
72796,,"Athabascan Family Lodges and Cabins",,,,,61.23341,-149.71439,"8800 Heritage Center Dr","Anchorage","Northeast Anchorage","Anchorage","Alaska","It can be reached from Heritage Center Drive. ",,https://www.hmdb.org/m.asp?m=72796,4/8/2014,3/3/2024
73328,,"Bank of Alaska","Skagway, AK","Est. 1916",,,59.45604,-135.31429,"605 Broadway Street","Skagway","Dyea","Skagway","Alaska","It is at the intersection of 6th Avenue and Broadway Street, on the right when traveling north on 6th Avenue. ",,https://www.hmdb.org/m.asp?m=73328,5/1/2014,10/4/2024
77160,,"USS <i>Juneau</i> (CL-52) Memorial","'Lest We Forget'",,2012,"City and Borough of Juneau",58.29384,-134.39784,"720 S Franklin St","Juneau","Downtown Juneau","Juneau Borough","Alaska","It is on The 'Sea Walk' at the Cruise Ship Landing Pier west of South Franklin Street. ",,https://www.hmdb.org/m.asp?m=77160,9/17/2014,10/6/2024
79703,,"Chief Johnson Totem Pole",,,,"City of Ketchikan Museum Department",55.34199,-131.64273,,"Ketchikan",,"Ketchikan Gateway Borough","Alaska","It is at the intersection of Dock Street and Mill Street, on the right when traveling west on Dock Street. <font color=red> Reported missing.</font>",Reported Missing,https://www.hmdb.org/m.asp?m=79703,12/20/2014,10/6/2024
80410,,"Father of the Iditarod","Joe Redington, Sr.","Iditarod Trail Race Headquarters",,,61.56048,-149.47919,"2100 South Knik-Goose Bay Road","Wasilla",,"Matanuska-Susitna Borough","Alaska","It is on Knik-Goose Bay Road, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=80410,1/23/2015,1/27/2018
80411,,"Balto","Iditarod Trail Sled Dog Race",,2012,"Kim Raymond and Horizon Lines",61.56065,-149.47900,"2100 S Knik-Goose Bay Rd","Wasilla",,"Matanuska-Susitna Borough","Alaska","It is on South Knik-Goose Bay Rd, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=80411,1/22/2015,1/22/2015
80413,,"Iditarod Cabin","In loving memory of Dean H. Christopherson",,1995,,61.56065,-149.47967,"2100 S Knik-Goose Bay Rd","Wasilla",,"Matanuska-Susitna Borough","Alaska","",,https://www.hmdb.org/m.asp?m=80413,1/22/2015,1/22/2015
112038,,"Dolly's House","Circa 1905",,,"Ketchikan Historic Commission",55.34140,-131.64115,"24 Creek Street","Ketchikan",,"Ketchikan Gateway Borough","Alaska","It can be reached from Creek Street (Alaska Route 7) north of Stedman Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=112038,12/31/2017,1/2/2025
