MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
4328,,"London Bridge",,,1971,,34.47153,-114.34768,,"Lake Havasu City",,"Mohave County","Arizona","It is on Arizona Route 95 south of McCulloch Blvd. N when traveling south. ",,https://www.hmdb.org/m.asp?m=4328,12/23/2007,4/10/2025
6974,,"Robert P. McCulloch, Sr.",,,1981,"Citizens of Lake Havasu City",34.47214,-114.34685,,"Lake Havasu City",,"Mohave County","Arizona","It is on McCulloch Boulevard North, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=6974,4/10/2008,8/16/2020
6994,"086-352","Old Fort Bowie","Guardian of Apache Pass",,,,32.32552,-109.48448,,"Bowie",,"Cochise County","Arizona","It is on I-10 Extension (Interstate 10), on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=6994,4/11/2008,2/23/2021
7002,,"Quijotoa",,,,,32.13502,-112.09357,,"Sikul Himatk",,"Pima County","Arizona","It is on Tucson Ajo Highway (State Highway 86) near Indian Route 32, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=7002,4/11/2008,4/24/2024
7003,,"Kris Eggle",,,,"National Park Service",31.95462,-112.80118,,"Lukeville",,"Pima County","Arizona","It is on Puerto Blanco Drive, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=7003,4/11/2008,8/30/2020
7004,"060-019","Tyson's Well","Old Stage Station",,,"Arizona Highway Department Historical Marker in cooperation with the State Landmarks Committee",33.66615,-114.21962,,"Quartzsite",,"La Paz County","Arizona","It is on West Main Street (Arizona Route 95), on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=7004,4/11/2008,6/12/2021
7005,,"Oasis Hotel Site",,,,,33.66618,-114.21983,,"Quartzsite",,"La Paz County","Arizona","It is on West Main Street (Arizona Route 95), on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=7005,4/11/2008,1/22/2020
8432,,"First Municipal Airport in the United States","Arizona Historic Site",,,,32.16512,-110.96772,"4823 South 6th Avenue","Tucson","Fairgrounds","Pima County","Arizona","It is at the intersection of South 6th Avenue and West Oklahoma Street, on the right when traveling north on South 6th Avenue. ",,https://www.hmdb.org/m.asp?m=8432,6/20/2008,12/2/2023
18132,,"Site of Territorial Courthouse",,,,"The Historic Preservation Fund and The City of Prescott",34.54171,-112.46892,"120 South Cortez Street","Prescott",,"Yavapai County","Arizona","It is at the intersection of East Gurley Street (Arizona Route 89) and South Cortez Street, on the left when traveling west on East Gurley Street. ",,https://www.hmdb.org/m.asp?m=18132,4/21/2009,8/30/2020
18767,,"Santa Fe Depot",,,,"The Historic Preservation Fund and the City of Prescott",34.54515,-112.46879,,"Prescott",,"Yavapai County","Arizona","It is at the intersection of Sheldon Street (Arizona Route 89) and Cortez Street, on the right when traveling south on Sheldon Street. ",,https://www.hmdb.org/m.asp?m=18767,5/9/2009,8/17/2014
18805,,"Prescott",,,1959,"Prescott Rotary Club",34.54163,-112.47022,,"Prescott",,"Yavapai County","Arizona","It is on S. Montezuma Street (Arizona Route 89) near W. Gurley St and S. Montezuma St., on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=18805,5/11/2009,11/2/2019
18806,,"Bashford Burmister Company",,,,"Historic Preservation Fund and the City of Prescott",34.54175,-112.47017,"130 W. Gurley Street","Prescott",,"Yavapai County","Arizona","It is on Gurley Street. ",,https://www.hmdb.org/m.asp?m=18806,5/11/2009,6/27/2009
18861,,"Bicentennial Tree",,,1976,,34.53898,-112.46880,"233 S. Cortez Street","Prescott",,"Yavapai County","Arizona","It is on S. Cortez Street. ",,https://www.hmdb.org/m.asp?m=18861,5/11/2009,11/2/2019
18862,,"Hotel Vendome",,,,"The City of Prescott",34.53897,-112.46892,"230 S. Cortez St.","Prescott",,"Yavapai County","Arizona","It is on Cortez Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=18862,5/11/2009,11/2/2019
18964,,"Oatman, Arizona","Elevation 2700 Feet",,,"Oatman Arizona",35.02682,-114.38439,,"Oatman",,"Mohave County","Arizona","It is on Oatman Topock Hwy ( AZ 66 ) near Bannon Lane, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=18964,5/14/2009,1/2/2025
20292,,"Bashford Block",,,,"Historic Preservation Fund and the City of Prescott",34.54185,-112.46893,,"Prescott",,"Yavapai County","Arizona","It is on Gurley Street (Arizona Route 89) west of Cortez Street, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=20292,6/27/2009,10/12/2015
20295,,"The Bank of Arizona and the Electric Buildings",,,,"City of Prescott",34.54180,-112.46862,,"Prescott",,"Yavapai County","Arizona","It is at the intersection of Gurley Street (Arizona Route 89) and Cortez Street, on the right when traveling east on Gurley Street. ",,https://www.hmdb.org/m.asp?m=20295,6/27/2009,7/26/2018
20296,,"Head Hotel",,,,"City of Prescott",34.54278,-112.46865,"125 North Cortez Street","Prescott",,"Yavapai County","Arizona","It is on Cortez Street. ",,https://www.hmdb.org/m.asp?m=20296,6/28/2009,6/28/2009
20297,,"Ruffner Plaza Stables",,,2003,"City of Prescott and Ruffner descendants at the Ruffner family renunion in June 2003",34.53985,-112.46988,"176 Goodwin Street","Prescott",,"Yavapai County","Arizona","It is on West Goodwin Street. ",,https://www.hmdb.org/m.asp?m=20297,6/28/2009,6/10/2020
20298,,"Prescott",,,,,34.53977,-112.46914,"105 West Goodwin Street","Prescott",,"Yavapai County","Arizona","It is on West Goodwin Street. ",,https://www.hmdb.org/m.asp?m=20298,6/28/2009,8/30/2020
20615,,"The Mulvenon Building",,,,"Historic Preservation Fund and the City of Prescott",34.54191,-112.47132,"230 West Gurley Street","Prescott",,"Yavapai County","Arizona","It is at the intersection of West Gurley Street and North Granite Street, on the right when traveling west on West Gurley Street. ",,https://www.hmdb.org/m.asp?m=20615,7/7/2009,10/12/2015
20616,,"Site of Goldwater Brothers Mercantile",,,,"Historic Preservation Fund and the City of Prescott",34.54076,-112.46853,,"Prescott",,"Yavapai County","Arizona","It is at the intersection of South Cortez Street and East Union Street on South Cortez Street. ",,https://www.hmdb.org/m.asp?m=20616,7/7/2009,8/30/2020
20618,,"Nob Hill","East Union Street",,,"The City of Prescott",34.54071,-112.46710,"220 Union Street","Prescott",,"Yavapai County","Arizona","It is at the intersection of East Union Street and South Marina Street on East Union Street. ",,https://www.hmdb.org/m.asp?m=20618,7/9/2009,7/30/2021
20619,,"Site of the O'Neill/Munds House",,,,"Historic Preservation Fund and the City of Prescott",34.54567,-112.46365,"420 East Sheldon Street","Prescott",,"Yavapai County","Arizona","It is on East Sheldon Street. ",,https://www.hmdb.org/m.asp?m=20619,7/9/2009,6/5/2021
20621,,"Hassayampa Inn",,,,"The City of Prescott",34.54221,-112.46740,"122 East Gurley","Prescott",,"Yavapai County","Arizona","It is on East Gurley Street (Route 89) near Marina Street, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=20621,7/9/2009,11/2/2019
20622,,"Montezuma Street",,,,"Historic Preservation Fund and the City of Prescott",34.54094,-112.47019,,"Prescott",,"Yavapai County","Arizona","It is on S. Montezuma Street (Arizona Route 89). ",,https://www.hmdb.org/m.asp?m=20622,7/9/2009,11/24/2020
20623,,"Prescott's Beginnings: The First Mining District in Yavapai County",,,,"Prescott Corral of Westerners International",34.54092,-112.47019,"100 South Montezuma Street","Prescott",,"Yavapai County","Arizona","It is on South Montezuma Street (Arizona Route 89), on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=20623,7/9/2009,8/30/2020
20740,,"White Hills","Ghost Town of",,1961,"Arizona Development Board",35.70033,-114.47440,,"Dolan Springs",,"Mohave County","Arizona","It is at the intersection of U.S. 93 and White Hills Road, on the right when traveling north on U.S. 93. ",,https://www.hmdb.org/m.asp?m=20740,7/12/2009,1/15/2015
20808,,"Cerbat",,,1976,"Mojave County Bicentennial Commission",35.28098,-114.17502,,"Kingman",,"Mohave County","Arizona","It is at the intersection of U.S. 93 and Golden Valley Drive, on the right when traveling north on U.S. 93. ",,https://www.hmdb.org/m.asp?m=20808,7/13/2009,7/26/2018
20809,,"Mineral Park",,,1976,"Mohave County Bicentennial Commission",35.32277,-114.20533,,"Kingman",,"Mohave County","Arizona","It is at the intersection of U.S. 93 and County Road 255, on the right when traveling north on U.S. 93. ",,https://www.hmdb.org/m.asp?m=20809,7/13/2009,1/8/2025
20811,,"The Fire of 1900",,,,"The Historic Preservation Fund and the City of Prescott",34.53975,-112.47035,,"Prescott",,"Yavapai County","Arizona","It is at the intersection of South Montezuma Street (Arizona Route 89) and West Goodwin Street, on the right when traveling south on South Montezuma Street. ",,https://www.hmdb.org/m.asp?m=20811,7/13/2009,6/6/2020
20814,,"The Carnegie Library",,,,"Historic Preservation Fund and the City of Prescott",34.54161,-112.46756,,"Prescott",,"Yavapai County","Arizona","It is at the intersection of East Gurley Street (Arizona Route 89) and Marina Street, on the left when traveling west on East Gurley Street. ",,https://www.hmdb.org/m.asp?m=20814,7/13/2009,11/27/2023
21161,,"City Park and Ballfield",,,,"The City of Prescott",34.54203,-112.46039,,"Prescott",,"Yavapai County","Arizona","It is at the intersection of Gurley Street (Arizona Route 89) and Washington Street., on the right on Gurley Street. ",,https://www.hmdb.org/m.asp?m=21161,7/28/2009,8/26/2020
21163,,"The Palace Saloon",,,,"The City of Prescott",34.54137,-112.47025,"120 South Montezuma Street","Prescott",,"Yavapai County","Arizona","It is on South Montezuma Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=21163,7/29/2009,5/18/2022
