MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
4906,,"Chalk Bluff in the Civil War","Raids of March-April 1863",,1973,"Arkansas History Commission - Clay County Centennial Year",36.47861,-90.16348,,"St. Francis",,"Clay County","Arkansas","It is on County Road 347. ",,https://www.hmdb.org/m.asp?m=4906,1/22/2008,7/26/2018
4911,,"Chalk Bluff in the Civil War","Battle of May 1-2, 1863",,1973,"Arkansas History Commission - Clay County Centennial Year",36.48022,-90.16221,,"St. Francis",,"Clay County","Arkansas","It is on County Route 347. ",,https://www.hmdb.org/m.asp?m=4911,1/23/2008,7/26/2018
4912,,"Chalk Bluff Crossing and Town",,,1973,"Arkansas History Commission - Clay County Centennial Year",36.47916,-90.16241,,"St. Francis",,"Clay County","Arkansas","It can be reached from County Road 347. ",,https://www.hmdb.org/m.asp?m=4912,1/23/2008,7/26/2018
5544,,"“Spirit of the American Doughboy”","Fort Smith, Arkansas",,,"Victor Ellig Post No. 31, The American Legion",35.42326,-94.37566,"4901 Midland Blvd","Fort Smith",,"Sebastian County","Arkansas","It is at the intersection of Midland Blvd (U.S. 64) and N. 50th Street on Midland Blvd. ",,https://www.hmdb.org/m.asp?m=5544,2/21/2008,11/24/2024
6037,,"Initial Point of the Louisiana Purchase Survey",,,1926,"Arkansas Daughters of the American Revolution",34.64570,-91.05194,,"Holly Grove",,"Monroe County","Arkansas","It is on Baseline Road (State Highway 362) 1.8 miles east of U.S. 49. ",,https://www.hmdb.org/m.asp?m=6037,3/8/2008,11/24/2024
18136,,"Chalk Bluff",,,1973,"Arkansas History Commission - Clay County Centennial Year",36.47852,-90.16369,,"St. Francis",,"Clay County","Arkansas","It can be reached from County Road 347, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=18136,4/20/2009,4/22/2009
18186,,"Chalk Bluff in the Civil War","Skirmish of May 15, 1862",,1973,"Arkansas History Commission - Clay County Centennial Year",36.47841,-90.16331,,"St. Francis",,"Clay County","Arkansas","It can be reached from County Road 347. ",,https://www.hmdb.org/m.asp?m=18186,4/22/2009,11/24/2024
19492,,"War Eagle Mills",,,1962,"Pea Ridge Memorial Association",36.26778,-93.94397,"11036 High Sky Inn Road","War Eagle",,"Benton County","Arkansas","It is on High Sky Inn Road (State Highway 303) ¼ mile west of Bettis Hill Road, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=19492,5/31/2009,11/17/2016
19880,"A-1","Benton County First Court House",,,1936,"Arkansas Centennial Commission and Arkansas Historical Commission",36.37273,-94.20793,"102 NE A Street","Bentonville",,"Benton County","Arkansas","It is at the intersection of A Street and NE Second Street, on the right when traveling north on A Street. ",,https://www.hmdb.org/m.asp?m=19880,6/12/2009,10/11/2019
21085,,"Pea Ridge and the Trail of Tears","Trail of Tears National Historic Trail","National Trails System",,"Department of Arkansas Heritage, Arkansas State Parks & National Park Service",36.45332,-94.01612,,"Garfield",,"Benton County","Arkansas","It is on Military Park Road (County Road 65), on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=21085,7/26/2009,5/19/2024
21102,,"The Chosin Few",,,2007,,36.05272,-94.16812,,"Fayetteville",,"Washington County","Arkansas","It is on Cemetery Circle, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=21102,7/29/2009,9/16/2015
21227,,"Revolutionary War Soldier Memorial","(1775-1783)",,,,36.05272,-94.16813,,"Fayetteville",,"Washington County","Arkansas","It is on Cemetery Circle, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=21227,7/30/2009,2/6/2013
21242,,"Confederate Memorial",,,1908,"A.J. Bates and the James H. Berry Chapter United Daughters of the Confederacy",36.37258,-94.20857,,"Bentonville",,"Benton County","Arkansas","It is at the intersection of West Central Avenue and North Main Street, on the left when traveling east on West Central Avenue. <font color=red> Reported permanently removed.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=21242,7/30/2009,11/25/2021
22447,,"Eagle Hotel",,,1962,"Pea Ridge Memorial Association",36.37223,-94.21013,"125 West Central Avenue","Bentonville",,"Benton County","Arkansas","It is at the intersection of SW A Street and West Central Avenue, on the right when traveling north on SW A Street. ",,https://www.hmdb.org/m.asp?m=22447,9/15/2009,9/2/2020
24056,,"Brave Men from the 97th Bombardment Wing",,,,"their families, compatriots and friends",35.95900,-89.96233,,"Gosnell",,"Mississippi County","Arkansas","It is at the intersection of Memorial Drive and Chestnut Drive, on the right when traveling east on Memorial Drive. ",,https://www.hmdb.org/m.asp?m=24056,11/4/2009,7/26/2018
30388,,"Herman Davis","Pvt. Co. I 113th Inf.","Sharpshooter and Company Runner",1925,"Erected by the people of Mississippi County",35.87320,-90.16607,,"Manila",,"Mississippi County","Arkansas","It is at the intersection of East Fleeman Street (State Highway 18) and Baltimore Avenue, on the left when traveling east on East Fleeman Street. ",,https://www.hmdb.org/m.asp?m=30388,5/13/2010,2/5/2021
30576,,"Joseph Bonne Cabin",,,1976,"Jefferson County History Commission",34.22954,-92.00525,,"Pine Bluff",,"Jefferson County","Arkansas","It is at the intersection of West Barraque Street and North Chestnut Street, on the right when traveling west on West Barraque Street. ",,https://www.hmdb.org/m.asp?m=30576,5/18/2010,9/10/2015
30577,,"Barraque Street",,,,"Jefferson County History Commission",34.22954,-92.00442,,"Pine Bluff",,"Jefferson County","Arkansas","It is at the intersection of West Barraque Street and North Pine Street, on the right when traveling west on West Barraque Street. ",,https://www.hmdb.org/m.asp?m=30577,5/18/2010,10/29/2019
30578,,"Battle of Pine Bluff",,,1976,"Jefferson County History Commission",34.22955,-92.00344,,"Pine Bluff",,"Jefferson County","Arkansas","It is on West Barraque Street just west of North Main Street, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=30578,5/11/2010,11/24/2024
30579,,"Auguste La noir de Serville",,,1929,"Pine Bluff Chapter, D.A.R.",34.22953,-92.00367,,"Pine Bluff",,"Jefferson County","Arkansas","It is on West Barraque Street close to  North Main Street, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=30579,5/18/2010,10/29/2019
30580,"F-6","Jefferson County First Court House",,,1936,"Arkansas Centennial Commission 1836-1936 Arkansas History Commission",34.22949,-92.00285,,"Pine Bluff",,"Jefferson County","Arkansas","It is on West Barraque Street just east of North Main Street, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=30580,5/18/2010,10/29/2019
30581,,"Bayou Bartholomew",,,,"Jefferson County History Commission",34.17747,-92.00574,,"Pine Bluff",,"Jefferson County","Arkansas","It is at the intersection of South Main Street and South Olive Street (Business U.S. 63), on the right when traveling north on South Main Street. ",,https://www.hmdb.org/m.asp?m=30581,5/18/2010,10/2/2014
33712,,"Original Site of Bloomington (Mudtown) Arkansas",,,,"Lowell Sesquicentennial 1836-1986 Committee",36.25785,-94.13184,"203 South Old Wire Road","Lowell",,"Benton County","Arkansas","It is at the intersection of Jackson Place and McClure Avenue (Route 923), on the left when traveling north on Jackson Place. ",,https://www.hmdb.org/m.asp?m=33712,7/29/2010,5/31/2023
35248,,"Battle of Prairie Grove","December 7, 1862",,,"State of Arkansas",35.98341,-94.31031,,"Prairie Grove",,"Washington County","Arkansas","It is at the intersection of East Douglas Street (U.S. 62), on the right when traveling west on East Douglas Street. ",,https://www.hmdb.org/m.asp?m=35248,9/2/2010,9/9/2020
35253,,"Hindman Hall Museum","National Register of Historic Places",,,,35.98316,-94.31057,,"Prairie Grove",,"Washington County","Arkansas","It is on East Douglas Street (U.S. 62), on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=35253,9/3/2010,9/3/2010
35255,,"March of the Armies","December 3-7, 1862",,,"State of Arkansas",35.98354,-94.31041,,"Prairie Grove",,"Washington County","Arkansas","It is on East Douglas Street (U.S. 62), on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=35255,9/3/2010,9/3/2010
35272,,"Battlefield Park",,,,"State of Arkansas",35.98322,-94.31008,,"Prairie Grove",,"Washington County","Arkansas","It is on East Douglas Street (U.S. 62), on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=35272,9/4/2010,9/4/2010
35275,,"Major General Thomas C. Hindman",,,,,35.98341,-94.31013,,"Prairie Grove",,"Washington County","Arkansas","It is on East Douglas Street (U.S. 62), on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=35275,9/4/2010,11/16/2020
35276,,"Rhea's Mill","Battle Monument",,,,35.98343,-94.31005,,"Prairie Grove",,"Washington County","Arkansas","It is on East Douglas Street (U.S. 62), on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=35276,9/4/2010,3/24/2011
35277,,"Generals James G. Blunt and Francis J. Herron",,,,,35.98338,-94.31002,,"Prairie Grove",,"Washington County","Arkansas","It is on East Douglas Street (U.S. 62), on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=35277,9/4/2010,4/8/2021
35329,,"Blunt's Attack",,,,,35.98369,-94.31041,,"Prairie Grove",,"Washington County","Arkansas","It is at the intersection of South Battlefield Park Road (County Route 80) and East Douglas Street (U.S. 62), on the right when traveling north on South Battlefield Park Road. ",,https://www.hmdb.org/m.asp?m=35329,9/6/2010,9/9/2020
