MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
141,"949","First Congregational Church of Pescadero",,,1984,"State Department of Parks and Recreation",37.25456,-122.38333,"363 Stage Road","Pescadero",,"San Mateo County","California","It is on Stage Road north of Pescadero Creek Road, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=141,3/7/2006,7/14/2019
168,,"George Chaffey, Jr.","1848–1932",,,"Upland Sister Cities Association",34.09908,-117.65085,"460 Euclid Avenue","Upland",,"San Bernardino County","California","It is on Euclid Avenue (California Route 83) south of Arrow Highway, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=168,3/16/2006,4/14/2024
234,,"Cherokee",,,1967,"California Heritage Council",39.64612,-121.53853,"4226 Cherokee Road","Oroville",,"Butte County","California","It is on Cherokee Road, 1.5 miles east of North General Sherman Way, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=234,4/11/2006,7/14/2019
249,,"Cornerstone to Chino’s First Reservoir",,,,,33.94021,-117.66567,"17127 Pomona Rincon Road","Chino",,"San Bernardino County","California","It is on Pomona Rincon Road north of Euclid ( Route 83). ",,https://www.hmdb.org/m.asp?m=249,4/15/2006,1/6/2025
311,,"Michelle Carew Community Courtyard",,,1999,,33.79908,-117.88325,"2000 E Gene Autry Way","Anaheim",,"Orange County","California","It can be reached from Gene Autry Way. ",,https://www.hmdb.org/m.asp?m=311,4/30/2006,5/13/2023
335,,"John Wilkie Safety Roadside Rest Area At Fenner",,,,,34.81005,-115.21890,,"Fenner",,"San Bernardino County","California","It can be reached from Interstate 40, 3.1 miles west of the Goffs Road Interchange, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=335,5/5/2006,9/23/2024
377,,"""Jim’s Bridge""",,,1989,,38.63333,-121.27250,,"Fair Oaks",,"Sacramento County","California","It can be reached from Pennsylvania Avenue near the north bank of the American River. ",,https://www.hmdb.org/m.asp?m=377,5/23/2006,1/3/2020
379,,"Site of the Battle of Chino",,,1946,"Historical Society of Pomona Valley, Native Sons of the Golden West, and Civic Organizations of Chino Valley",33.98980,-117.71762,"4040 Eucalyptus Avenue","Chino",,"San Bernardino County","California","It is on Eucalyptus Avenue near Pipeline Avenue, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=379,5/26/2006,1/6/2025
383,,"Bear Gulch",,,1932,"Ontario Parlor No 251 Native Daughters of the Golden West, October 12th",34.10515,-117.62400,"8316 Foothill Blvd","Rancho Cucamonga",,"San Bernardino County","California","It is at the intersection of Foothill Boulevard (California Route 66) and San Bernadino Road, on the right when traveling west on Foothill Boulevard. ",,https://www.hmdb.org/m.asp?m=383,5/29/2006,2/12/2022
401,"239","Mission San Luís Rey de Francia",,,,"Department of Public Works–Division of Highways",33.23215,-117.31902,"4050 Mission Avenue","Oceanside",,"San Diego County","California","It can be reached from North El Camino Real north of Mission Avenue, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=401,6/21/2006,2/18/2022
