MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
3364,,"University of Denver","Meyer Womble Observatory",,1996,,39.58768,-105.64265,,"Idaho Springs",,"Clear Creek County","Colorado","It can be reached from Mt. Evans Road south of Colorado Highway 103. ",,https://www.hmdb.org/m.asp?m=3364,11/8/2007,11/8/2007
4648,,"WFD Volunteers 1934 - 2000",,,2003,"Westminster Historical Society",39.82897,-105.03938,"3948 W 73rd Ave","Westminster",,"Adams County","Colorado","It is on W 73rd Ave near Osceola Street. ",,https://www.hmdb.org/m.asp?m=4648,1/9/2008,10/21/2020
4659,"10w","Four Corners","Wall Street of the Rockies","Seventeenth Street Denver, Colorado",,"Walk of Fame International.",39.74728,-104.99272,"1690 Champa Street","Denver","Central","Denver County","Colorado","It can be reached from the intersection of Champa Street and 17th Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=4659,1/11/2008,8/27/2024
4678,"40","Smoky Hill Trail",,,1936,"State Historical Society of Colorado, The Mrs. J.N. Hall Foundation, City and County of Denver",39.74030,-104.98764,"1501 S Broadway","Denver","North Capitol Hill","Denver County","Colorado","It is at the intersection of South Broadway and Colfax on South Broadway. ",,https://www.hmdb.org/m.asp?m=4678,1/13/2008,8/28/2024
4679,"73","Passing of the Street Car",,,1950,"The State Historical Society of Colorado, The Mrs. J. N. Hall Foundation",39.73996,-104.98804,"1501 S Broadway","Denver","Central Business District","Denver County","Colorado","It is on West Colfax Ave near Broadway. ",,https://www.hmdb.org/m.asp?m=4679,1/13/2008,9/6/2024
4743,,"In Honor of Christopher Columbus","Cristoforo Colombo 1451-1506","Italian Visionary and Great Navigator",1970,"Alfred P. Adamo and Anna E. Adamo",39.73956,-104.98865,,"Denver","Civic Center","Denver County","Colorado","It can be reached from Broadway. ",,https://www.hmdb.org/m.asp?m=4743,1/15/2008,8/28/2024
4745,,"Colorado Soldier's Monument",,,1909,"State of Colorado",39.73923,-104.98563,"200 E Colfax Ave","Denver","Central","Denver County","Colorado","It is on Sherman Street. <font color=red> Reported unreadable.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=4745,1/17/2008,8/26/2024
4838,,"The Continental Divide",,,,,38.84052,-105.04173,,"Cascade","Cascade","El Paso County","Colorado","It is on Pikes Peak Hwy. ",,https://www.hmdb.org/m.asp?m=4838,1/21/2008,2/7/2023
4846,,"Southwest Rises The Summit of Pikes Peak",,,,"Colorado Department of Highways",39.22987,-104.87872,,"Larkspur",,"Douglas County","Colorado","It is on Southbound Rest Area (Interstate 25 at milepost 171), in the median. ",,https://www.hmdb.org/m.asp?m=4846,1/21/2008,1/9/2022
4865,,"Zebulon Montgomery Pike",,,1906,"The State of Colorado",38.84052,-105.04173,,"Cascade","Cascade","El Paso County","Colorado","It is on Pikes Peak Hwy. ",,https://www.hmdb.org/m.asp?m=4865,1/21/2008,2/7/2023
4884,,"The United States Air Force Academy",,,1964,"Colorado Highway Department",38.97373,-104.80779,,"Colorado Springs",,"El Paso County","Colorado","It is on the southbound overlook (Interstate 25 at milepost 152), on the right when traveling south. <font color=red> Reported permanently removed.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=4884,1/24/2008,11/2/2020
5616,,"In Memory of Sadie M. Likens","1840 — 1920",,1923,"Grand Army of the Republic, Affiliated Orders and Friends.",39.73982,-104.98719,"1498 Broadway","Denver","Civic Center","Denver County","Colorado","It is at the intersection of Broadway (Business U.S. 287) and Colfax Avenue, on the right when traveling south on Broadway. ",,https://www.hmdb.org/m.asp?m=5616,2/22/2008,8/28/2024
5780,"32","The Rocky Mountain News",,,1934,"the State Historical Society of Colorado from the Mrs. J. N. Hall Foundation, commemorating the 75th Anniversary of the founding of Colorado’s first newspaper.",39.74799,-105.00142,"1352 Market St","Denver","Auraria","Denver County","Colorado","It is at the intersection of Market Street and 14th Street on Market Street. ",,https://www.hmdb.org/m.asp?m=5780,2/27/2008,2/7/2023
6674,,"Oxford Hotel and Annex","Lower Downtown Walking Tour","1891",,"Lower Downtown District",39.75224,-104.99915,"1600 17th Street","Denver","Central","Denver County","Colorado","It is on 17th Street near Wazee Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=6674,3/27/2008,1/9/2025
6755,"280","Sand Creek Massacre",,"and Mile High Marker",2002,"the Pioneers' Association and the State of Colorado.",39.73922,-104.98569,"200 E Colfax Ave","Denver","Central","Denver County","Colorado","It is on Colfax Avenue. ",,https://www.hmdb.org/m.asp?m=6755,3/30/2008,8/26/2024
13629,,"Argentine Central Railway",,,2006,,39.69444,-105.72452,"899 Mountain Street","Silver Plume",,"Clear Creek County","Colorado","It is on Mountain Street, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=13629,11/17/2008,11/18/2008
17596,,"The Rail Chains Final Link","Pacific       Atlantic",,,"Union Pacific Company in cooperation with Comanche Crossing Historical Society",39.73662,-104.32495,,"Strasburg",,"Arapahoe County","Colorado","It can be reached from the intersection of Railroad Street and Arapahoe Street, on the right when traveling west. <font color=red> Reported permanently removed.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=17596,5/18/2009,8/22/2020
18299,"L-02-1","The Holiday Drive-In Marquee 1953",,,,"City Of Boulder Landmark",40.06160,-105.27680,,"Boulder",,"Boulder County","Colorado","It is at the intersection of 28th Street (U.S. 36) and Lee Hill Rd., on the right when traveling south on 28th Street. ",,https://www.hmdb.org/m.asp?m=18299,5/3/2009,12/23/2024
19080,,"Evergreen Cemetery Pioneers Memorial",,,1993,"El Paso County Pioneers' Association., Inc., and Evergreen Cemetery",38.81400,-104.79492,,"Colorado Springs","Southeast Colorado Springs","El Paso County","Colorado","",,https://www.hmdb.org/m.asp?m=19080,5/18/2009,2/7/2023
22304,,"Sugar Building","1906","Lower Downtown Walking Tour",,,39.75111,-105.00002,,"Denver","Central","Denver County","Colorado","It is at the intersection of 16th Street and Wazee Street on 16th Street. ",,https://www.hmdb.org/m.asp?m=22304,9/9/2009,2/7/2023
22701,"43","Pike's Stockade",,,1936,"the Colorado Historical Society",37.29386,-105.81052,,"Sanford",,"Conejos County","Colorado","It is on County Road 24, ¾ mile south of County Road Y, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=22701,9/28/2009,10/25/2020
22731,"16","Fort Garland",,,1930,"Historical Society of Colorado, Mrs. J.N. Hall Foundation and Huajatolla Chapter, Daughters of the American Revolution.",37.42424,-105.43158,"29477 Highway 159","Fort Garland",,"Costilla County","Colorado","It is on State Highway 159, 0.2 miles south of U.S. 160, on the left when traveling north. <font color=red> Reported permanently removed.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=22731,9/25/2009,5/7/2023
22765,,"[Old] Fort Lewis College",,,,,37.23015,-108.05102,"18683 Highway 140","Breen",,"La Plata County","Colorado","It can be reached from State Highway 140, 0.2 miles west of Colorado State Highway 140. ",,https://www.hmdb.org/m.asp?m=22765,9/29/2009,10/5/2009
27242,,"Henry Lee Building","1907","Lower Downtown Walking Tour",,,39.75125,-105.00025,,"Denver","Central","Denver County","Colorado","It is at the intersection of 16th Street Mall and Wazee Street, on the left when traveling east on 16th Street Mall. ",,https://www.hmdb.org/m.asp?m=27242,2/8/2010,2/7/2023
27292,,"Denver's Old City Hall",,,,,39.74722,-105.00005,,"Denver","Central","Denver County","Colorado","It is at the intersection of Larimer Street and 14th Street, on the right when traveling south on Larimer Street. ",,https://www.hmdb.org/m.asp?m=27292,2/12/2010,2/7/2023
27493,,"Denver City","Lower Downtown Historic District","Established 1988",1988,"Denver Landmark Commission.",39.74885,-105.00158,"1401 Blake Street","Denver","Central","Denver County","Colorado","It is at the intersection of Blake Street and 14th Street, on the right when traveling south on Blake Street. ",,https://www.hmdb.org/m.asp?m=27493,2/16/2010,2/7/2023
27508,,"Constitution Hall",,,,"Lower Downtown Historic District",39.74972,-105.00025,,"Denver","Central","Denver County","Colorado","It is on Blake Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=27508,2/18/2010,1/9/2025
