MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
1621,,"Pomfret",,,1979,"the Town of Pomfret, the Pomfret Historical Society, and the Connecticut Historical Commission",41.85928,-71.99804,,"Pomfret","Pomfret Center","Windham County","Connecticut","It is on U.S. 44, 1.6 miles west of Connecticut Route 101. ",,https://www.hmdb.org/m.asp?m=1621,7/14/2007,11/1/2024
1622,,"Willington","Incorporated 1727",,1976,"Town of Willington, the Willington Historical Society, and the Connecticut Historical Commission",41.87552,-72.26417,,"Willington",,"Tolland County","Connecticut","It is at the intersection of Connecticut Route 74 and  Route 320, on the right when traveling west on Connecticut Route 74. ",,https://www.hmdb.org/m.asp?m=1622,7/14/2007,11/8/2019
1623,,"This Edifice","1727 - 1927",,1927,"Wilington Ecclesiastical Society",41.87609,-72.26356,,"Willington",,"Tolland County","Connecticut","It can be reached from the intersection of Connecticut Route 74 and  Route 320. ",,https://www.hmdb.org/m.asp?m=1623,7/14/2007,1/9/2025
2048,,"Old Greenwich Yacht Club",,,1976,,41.00944,-73.57005,,"Greenwich","Old Greenwich","Fairfield County","Connecticut","It is on Tods Driftway. ",,https://www.hmdb.org/m.asp?m=2048,8/12/2007,2/10/2023
2484,,"Old Greenwich",,,,,41.02989,-73.56727,"276 Sound Beach Ave","Greenwich","Old Greenwich","Fairfield County","Connecticut","It is on Sound Beach Avenue, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=2484,9/18/2007,6/29/2023
2485,,"Sound Beach Railroad Station",,,,"Old Greenwich Association",41.03344,-73.56794,"1 Sound Beach Ave","Greenwich","Old Greenwich","Fairfield County","Connecticut","It can be reached from Sound Beach Avenue. ",,https://www.hmdb.org/m.asp?m=2485,9/14/2007,6/29/2023
3888,,"Marquis de La Fayette",,,1957,"Connecticut La Fayette Bicentennial Committee",41.76243,-72.68186,,"Hartford","Frog Hollow","Hartford County","Connecticut","It is at the intersection of Capitol Avenue and Washington and Lafayette Streets, in the median on Capitol Avenue. ",,https://www.hmdb.org/m.asp?m=3888,11/30/2007,11/1/2024
6432,,"Where Rochambeau Crossed the Housatonic River","1781   *   1954",,1954,"Connecticut Society Sons of the American Revolution",41.43913,-73.24740,,"Southbury",,"New Haven County","Connecticut","It is on Interstate 84 (Interstate 84), on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=6432,3/21/2008,8/22/2024
11994,,"Israel Putnam",,,1969,"Anna Hyatt Huntington",41.33845,-73.38134,,"Redding","West Redding","Fairfield County","Connecticut","It is at the intersection of Putnam Park Road (Connecticut Route 107) and Black Rock Turnpike ( Route 58), on the right when traveling west on Putnam Park Road. ",,https://www.hmdb.org/m.asp?m=11994,10/2/2008,2/10/2023
11997,,"Winter Quarters of Putnam’s Division",,,1888,"The State of Connecticut",41.33707,-73.37947,,"Redding","West Redding","Fairfield County","Connecticut","It can be reached from Pocahontas Road, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=11997,10/2/2008,2/10/2023
11999,,"Unknown Heroes",,,1890,,41.33708,-73.37986,,"Redding","West Redding","Fairfield County","Connecticut","It is on Pocahontas Road, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=11999,10/2/2008,2/10/2023
12006,,"Guard House",,,,,41.33704,-73.37904,,"Redding","West Redding","Fairfield County","Connecticut","It is on Pocahontas Road, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=12006,10/2/2008,2/10/2023
12219,,"Captain Nathan Hale Monument",,,1846,"the State of Connecticut and the Hale Monument Association",41.76781,-72.30647,"120 Lake St.","Coventry","Coventry Lake","Tolland County","Connecticut","It is at the intersection of Lake Street and Monument Hill Road, on the left when traveling north on Lake Street. ",,https://www.hmdb.org/m.asp?m=12219,10/8/2008,11/1/2024
12255,,"Southbury",,,1979,"Town of Southbury, Southbury Historical Society, Connecticut Historical Commission",41.46890,-73.22553,"501 Main Street South","Southbury",,"New Haven County","Connecticut","It can be reached from Main Street South, 0.1 miles east of Flood Bridge Road. ",,https://www.hmdb.org/m.asp?m=12255,10/8/2008,3/1/2023
17216,,"Soldiers’ and Sailors’ Monument",,,1890,,41.28318,-72.95487,"871 Campbell Avenue","West Haven",,"New Haven County","Connecticut","It can be reached from the intersection of Campbell Avenue and Spring Street., on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=17216,3/22/2009,2/27/2010
17289,,"Defenders' Monument",,,1910,"Defenders' Monument Association",41.29770,-72.94690,,"New Haven","The Hill","New Haven County","Connecticut","It is at the intersection of Columbus Avenue and Davenport Avenue, in the median on Columbus Avenue. ",,https://www.hmdb.org/m.asp?m=17289,4/4/2009,2/10/2023
17309,,"Bullet Hill School",,,,,41.48248,-73.21343,,"Southbury",,"New Haven County","Connecticut","It is on Main Street North (U.S. 6) 0.1 miles north of Heritage Road & Old Waterbury Road, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=17309,3/28/2009,3/30/2009
17437,,"Washington",,,1982,"Town of Washington and the Connecticut Historical Commission",41.64112,-73.31921,,"Washington","Washington Depot","Litchfield County","Connecticut","It is at the intersection of Bryan Hall Plaza and Calhoun Street ( Route 109), on the right when traveling west on Bryan Hall Plaza. ",,https://www.hmdb.org/m.asp?m=17437,4/1/2009,11/1/2024
17599,,"Soldiers' Memorial",,,,"State of Connecticut",41.29620,-72.94428,,"New Haven","The Hill","New Haven County","Connecticut","It can be reached from Ella T Grasso Boulevard. ",,https://www.hmdb.org/m.asp?m=17599,4/3/2009,2/10/2023
17600,,"Knight Hospital Monument",,,1870,"State of Connecticut",41.30310,-72.94527,,"New Haven","The Hill","New Haven County","Connecticut","It is on Ella T Grasso Boulevard. ",,https://www.hmdb.org/m.asp?m=17600,4/3/2009,2/10/2023
17607,,"Woodbury",,,1976,"Town of Woodbury, Woodbury American Revolution Bicentennial Committee, Connecticut Historical Commission",41.53772,-73.20722,,"Woodbury","Woodbury Center","Litchfield County","Connecticut","It is at the intersection of Main Street South (U.S. 6) and Park Road, on the left when traveling north on Main Street South. ",,https://www.hmdb.org/m.asp?m=17607,4/4/2009,2/10/2023
17639,,"Glebe House",,,,,41.53658,-73.20697,,"Woodbury","Woodbury Center","Litchfield County","Connecticut","It is at the intersection of Main Street (U.S. 6) and Hollow Road, on the right when traveling south on Main Street. ",,https://www.hmdb.org/m.asp?m=17639,4/5/2009,2/10/2023
