MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
426,"SC-85","Return Day",,,,"Delaware Public Archives",38.68995,-75.38560,,"Georgetown",,"Sussex County","Delaware","It is at the intersection of The Circle (U.S. 9) and Bedford and Market Streets, on the left on The Circle. ",,https://www.hmdb.org/m.asp?m=426,7/1/2006,1/8/2021
427,"SC-95","Academy / Masonic Hall",,,,,38.69209,-75.38352,"151 East Market Street","Georgetown",,"Sussex County","Delaware","It is at the intersection of East Market Street (U.S. 9) and North Railroad Avenue, on the right when traveling south on East Market Street. ",,https://www.hmdb.org/m.asp?m=427,7/1/2006,7/14/2019
1234,"S.C.-74","Transpeninsular Line",,,1986,,38.45131,-75.05495,,"Fenwick Island",,"Sussex County","Delaware","It is on Lighthouse Road (Delaware Route 54) near Coastal Highway ( Route 1) when traveling south. ",,https://www.hmdb.org/m.asp?m=1234,6/23/2007,4/2/2025
3027,,"The Fenwick Island Lighthouse",,,1983,"the Friends of the Fenwick Island Lighthouse",38.45135,-75.05495,,"Fenwick Island",,"Sussex County","Delaware","It is at the intersection of 146th Street and Lighthouse Ave, on the left when traveling east on 146th Street. ",,https://www.hmdb.org/m.asp?m=3027,10/18/2007,9/17/2022
3212,"NC-13","New Castle Common",,,1968,"Public Archives Commission",39.65975,-75.56298,"18 E 2nd St","New Castle",,"New Castle County","Delaware","It is on East 2nd Street, 0.1 miles north of Delaware Street, in the median. ",,https://www.hmdb.org/m.asp?m=3212,11/3/2007,10/24/2024
3423,"NC-28","The Green or Market Plaine",,,1932,"Historic Markers Commission",39.66002,-75.56403,,"New Castle",,"New Castle County","Delaware","It is at the intersection of Delaware Street and 3rd Street, on the right when traveling west on Delaware Street. ",,https://www.hmdb.org/m.asp?m=3423,11/10/2007,2/21/2022
3549,"NC-26","New Castle and Frenchtown Railroad",,,1932,"Historic Markers Commission",39.65787,-75.56212,,"New Castle",,"New Castle County","Delaware","It is on Delaware Street, 0.2 miles south of The Strand, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=3549,11/15/2007,4/2/2025
3557,,"The First State Heritage Park of Dover",,,,,39.15669,-75.52014,,"Dover",,"Kent County","Delaware","It is at the intersection of William Penn Street and Legislative Avenue, on the left when traveling east on William Penn Street. <font color=red> Reported permanently removed.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=3557,11/15/2007,12/8/2022
3560,,"The First State Heritage Park of Dover",,,,,39.15761,-75.52052,,"Dover",,"Kent County","Delaware","It is at the intersection of Duke of York Street and Legislative Avenue, on the left when traveling west on Duke of York Street. ",,https://www.hmdb.org/m.asp?m=3560,11/15/2007,10/24/2024
3571,,"The Compass Rose",,,1988,"Delaware Heritage Commission and 134th General Assembly",39.15707,-75.52058,,"Dover",,"Kent County","Delaware","It is on Legislative Avenue, 0.1 miles south of Duke Of York Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=3571,11/17/2007,1/21/2022
