MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
118,,"Chesapeake & Ohio Canal",,,1850,"Chesapeake & Ohio Canal Company",38.90436,-77.06294,"1062 Wisconsin Avenue Northwest","Northwest Washington","Georgetown","Washington","District of Columbia","It is at the intersection of Wisconsin Avenue Northwest and C&O Canal Towpath Northwest, on the right when traveling south on Wisconsin Avenue Northwest. ",,https://www.hmdb.org/m.asp?m=118,2/22/2006,1/30/2023
119,,"Francis Scott Key Park","A Place With It Own History",,,"National Park Service, U.S. Department of the Interior",38.90482,-77.06795,"3350 M Street Northwest","Northwest Washington","Georgetown","Washington","District of Columbia","It is at the intersection of M Street Northwest and 34th Street Northwest, on the left when traveling west on M Street Northwest. <font color=red> Reported permanently removed.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=119,2/23/2006,10/22/2024
120,,"Francis Scott Key","1779-1843",,,"National Park Service, U.S. Department of the Interior",38.90478,-77.06806,"3418 M Street Northwest","Northwest Washington","Georgetown","Washington","District of Columbia","It is at the intersection of M Street Northwest and 34th Street Northwest, on the left when traveling west on M Street Northwest. <font color=red> Reported permanently removed.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=120,2/24/2006,12/10/2023
124,,"Fort Bayard",,,,"National Park Service, U.S. Department of the Interior",38.95633,-77.09124,,"Northwest Washington","American University Park","Washington","District of Columbia","It is at the intersection of River Road Northwest and Western Avenue Northwest, on the right when traveling south on River Road Northwest. ",,https://www.hmdb.org/m.asp?m=124,2/26/2006,3/12/2024
128,,"At All Hours","Chesapeake and Ohio Canal National Historical Park","National Park Service, U.S. Department of the Interior",,"National Park Service, U.S. Department of the Interior",38.90425,-77.06029,"1058 Thomas Jefferson Street Northwest","Northwest Washington","Georgetown","Washington","District of Columbia","It is on C&O Canal Towpath Northwest west of Thomas Jefferson Street Northwest, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=128,3/1/2006,1/30/2023
129,,"Creating a National Park","Chesapeake and Ohio Canal National Historical Park","National Park Service, U.S. Department of the Interior",,"National Park Service, U.S. Department of the Interior",38.90426,-77.06037,"1058 Thomas Jefferson Street Northwest","Northwest Washington","Georgetown","Washington","District of Columbia","It is on C&O Canal Towpath Northwest west of Thomas Jefferson Street Northwest, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=129,3/2/2006,1/30/2023
130,,"Georgetown Historic District",,,1967,,38.90420,-77.05924,"1056 30th Street Northwest","Northwest Washington","Georgetown","Washington","District of Columbia","It can be reached from 30th Street Northwest near C&O Canal Towpath Northwest, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=130,3/2/2006,1/30/2023
208,,"The Dr. Martin Luther King, Jr. Memorial",,,2000,"Alpha Phi Fraternity, Inc.",38.88598,-77.04418,"1964 Independence Avenue Southwest","Southwest Washington","The Tidal Basin","Washington","District of Columbia","It can be reached from the intersection of West Basin Drive Southwest and Independence Avenue Southwest. <font color=red> Reported permanently removed.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=208,3/28/2006,1/30/2023
210,,"The Washington City Canal",,,1950,"National Capital Sesquicentennial Commission",38.89190,-77.03989,,"Northwest Washington","The National Mall","Washington","District of Columbia","It is on Constitution Avenue Northwest (U.S. 50) west of 17th Street Northwest, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=210,3/28/2006,12/28/2024
211,,"The Canal Connection",,,,,38.89196,-77.03975,,"Northwest Washington","The National Mall","Washington","District of Columbia","It is at the intersection of Constitution Avenue Northwest (U.S. 50) and 17th Street Northwest, on the right when traveling east on Constitution Avenue Northwest. ",,https://www.hmdb.org/m.asp?m=211,3/28/2006,8/1/2024
212,,"Vietnam Veterans Memorial","National Park Service, U.S. Department of the Interior",,,"National Park Service, U.S. Department of the Interior",38.89055,-77.04836,"297 Henry Bacon Drive Northwest","Northwest Washington","The National Mall","Washington","District of Columbia","It is at the intersection of Henry Bacon Drive Northwest and Lincoln Memorial Circle Northwest, on the right when traveling east on Henry Bacon Drive Northwest. ",,https://www.hmdb.org/m.asp?m=212,3/29/2006,1/30/2023
213,,"Joseph Henry",,,1883,,38.88916,-77.02598,"999 Jefferson Drive Southwest","Southwest Washington","The National Mall","Washington","District of Columbia","It is on Jefferson Drive Southwest east of 12th Street Southwest, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=213,3/30/2006,1/30/2023
