MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
3244,,"“The Baranoff Oak”",,,2005,"Safety Harbor City Commission",27.99130,-82.68885,"101 2nd St N","Safety Harbor",,"Pinellas County","Florida","It can be reached from 2nd Avenue North. ",,https://www.hmdb.org/m.asp?m=3244,10/31/2007,8/26/2014
3248,,"William Bartram Trail","Traced 1773-1777","Deep South Region",,"Tillandsia Wildflower Club and The Garden Club of Palatka with Florida Federation of Garden Clubs, Inc.",29.63659,-81.64623,"1600 Twigg Street","Palatka",,"Putnam County","Florida","It can be reached from Twigg Street near Moseley Avenue. ",,https://www.hmdb.org/m.asp?m=3248,11/2/2007,6/2/2020
3251,,"The Florida Keys Memorial",,,,,24.91705,-80.63608,,"Islamadora",,"Monroe County","Florida","It is on U.S. 1, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=3251,11/2/2007,11/6/2019
3252,,"The Seminole Bridge",,,,"Clearwater Historical Society",27.97400,-82.80235,,"Clearwater",,"Pinellas County","Florida","It is on Seminole Street near North Osceola Avenue, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=3252,11/4/2007,11/4/2007
3253,,"Magnolia Drive Dock",,,1998,"Harbor Oaks Association",27.95553,-82.80625,,"Clearwater",,"Pinellas County","Florida","It can be reached from Magnolia Drive near Druid Road South, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=3253,11/4/2007,8/19/2020
3257,,"The Great Endurance Run",,,1984,"Zephyrhills Chamber of Commerce, City of Zephyrhills and “Autoists”.",28.25265,-82.18787,,"Zephyrhills",,"Pasco County","Florida","It can be reached from the intersection of U.S. 301 and County Road 54, on the right when traveling north. <font color=red> Reported missing.</font>",Reported Missing,https://www.hmdb.org/m.asp?m=3257,11/6/2007,8/20/2018
3288,,"Craig Park War Memorial",,,,,28.14663,-82.75959,,"Tarpon Springs",,"Pinellas County","Florida","It is on South Spring Boulevard, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=3288,11/6/2007,4/14/2024
3528,,"Bicentennial Park War Memorial",,,2003,"Fallen Heroes of Citrus County, Inc.",28.87085,-82.57493,,"Crystal River",,"Citrus County","Florida","It is at the intersection of W Bicentennial Park Drive and N Lindberg Terrace, on the right when traveling east on W Bicentennial Park Drive. ",,https://www.hmdb.org/m.asp?m=3528,11/15/2007,11/15/2007
3529,"F-560","Historic Citrus County Courthouse",,,2005,"Citrus County Board of County Commissioners and Florida Department of State",28.83632,-82.33020,,"Inverness",,"Citrus County","Florida","It is at the intersection of W Main Street and S Apopka Avenue, on the left when traveling east on W Main Street. ",,https://www.hmdb.org/m.asp?m=3529,11/14/2007,8/20/2020
4638,,"The Great Cross",,,,"The Diocese Of St. Augustine",29.90422,-81.31357,"30 Ocean Ave","St. Augustine",,"St. Johns County","Florida","It is on Ocean Ave. ",,https://www.hmdb.org/m.asp?m=4638,1/9/2008,8/20/2020
4653,"F-451","Tampa Union Station",,,2001,"Tampa Union Station Preservation and the Florida Department of State",27.95242,-82.45094,,"Tampa","Ybor City","Hillsborough County","Florida","It is on 601 Nebraska Ave (State Road 45) near E. Zack Street, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=4653,1/10/2008,7/28/2024
4665,,"Mc Neil Homestead 1882",,,,,28.25398,-82.63774,"10500 Wilderness Park Blvd","New Port Richey",,"Pasco County","Florida","It can be reached from Wilderness Park Blvd near J B Starkey Blvd. ",,https://www.hmdb.org/m.asp?m=4665,1/11/2008,4/9/2018
4666,"F-421","Demens Landing",,,2000,"Russian Heritage, Inc. and the Florida Department of State",27.77028,-82.63220,"100 1st Ave SE","St. Petersburg","Al Lang Stadium","Pinellas County","Florida","It is at the intersection of Bayshore Drive and 1st Ave SE, on the left when traveling north on Bayshore Drive. ",,https://www.hmdb.org/m.asp?m=4666,1/14/2008,4/12/2018
4670,,"Stonewall Jackson Memorial Highway Terminus",,,1939,"Dixie Chapter United Daughters of the Confederacy",27.77121,-82.63210,"50 Bayshore Dr NE","St. Petersburg","Downtown","Pinellas County","Florida","It is at the intersection of Bayshore Drive Northeast and Central Avenue SE, on the left when traveling north on Bayshore Drive Northeast. <font color=red> Reported permanently removed.</font>",Reported Missing,https://www.hmdb.org/m.asp?m=4670,1/11/2008,12/7/2024
4671,,"Pioneer Park",,,,,27.77070,-82.63295,"8 Central Ave","St. Petersburg","Downtown","Pinellas County","Florida","It is at the intersection of Central Avenue and Bayshore Drive SE, on the right when traveling east on Central Avenue. ",,https://www.hmdb.org/m.asp?m=4671,1/13/2008,10/28/2020
4686,,"Peter Demens",,,1979,"the Congress of Russian Americans",27.76954,-82.62858,"405 2nd Ave SE","St. Petersburg","Demens Landing Park","Pinellas County","Florida","It can be reached from 1st Avenue Southeast. ",,https://www.hmdb.org/m.asp?m=4686,1/13/2008,5/5/2020
4733,,"Dedicated to the Memory of Dr. Willis Stanley Blatchley","1859 - 1940",,1976,"Dunedin Historical Society",28.01955,-82.78968,,"Dunedin",,"Pinellas County","Florida","It is at the intersection of Bayshore Boulevard (U.S. 19) and Lee Street, on the right when traveling north on Bayshore Boulevard. ",,https://www.hmdb.org/m.asp?m=4733,1/14/2008,11/10/2019
4793,,"Southernmost Point",,,,,24.54651,-81.79750,,"Key West",,"Monroe County","Florida","It is on South Street, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=4793,1/18/2008,8/21/2019
4871,,"Gunther Gebel-Williams",,,,,27.10145,-82.44023,,"Venice",,"Sarasota County","Florida","It can be reached from North Seaboard Avenue. ",,https://www.hmdb.org/m.asp?m=4871,1/21/2008,11/10/2019
4876,,"Venice Railroad and Depot",,,2003,"Sarasota County Historical Commission",27.10063,-82.44012,"303 East Venice Avenue","Venice",,"Sarasota County","Florida","It can be reached from East Venice Avenue near North Seaboard Avenue, on the right. <font color=red> Reported missing.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=4876,1/22/2008,3/20/2023
