MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
394,"GA-22 K-5","Creek Agency","Old Agency",,,"State of Georgia",32.67375,-84.09144,,"Roberta",,"Crawford County","Georgia","It is at the intersection of Highway 128 and Benjamin Hawkins Road, on the left when traveling south on Highway 128. ",,https://www.hmdb.org/m.asp?m=394,6/12/2006,10/28/2024
395,"42 E-9","McIntosh House",,,,,33.24570,-83.92059,,"Jackson",,"Butts County","Georgia","It is on Highway 42, on the right when traveling south. <font color=red> Reported missing.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=395,6/16/2006,10/27/2024
403,"018-6","Sherman’s Right At Indian Springs",,,1957,"Georgia Historical Commission",33.24690,-83.92050,,"Jackson",,"Butts County","Georgia","It is on Highway 42, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=403,6/22/2006,10/27/2024
404,,"Indian Spring",,,,"Georgia Department of Forestry and Geological Development",33.24700,-83.92209,,"Jackson",,"Butts County","Georgia","It can be reached from Spring Road west of Highway 42, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=404,6/22/2006,7/14/2019
417,"102-6","Confederate Dead and Hospitals",,,1956,"Georgia Historical Commission",33.03128,-83.93602,,"Forsyth",,"Monroe County","Georgia","It is on Newton Memorial Drive east of South Lee Street (Georgia Route 42), on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=417,6/27/2006,12/22/2009
419,,"William Bartram Trail","Traced 1773–1777","Deep South Region",,"The Camellia District of the National Council of State Garden Clubs in cooperation with The Garden Club of Georgia, Inc. and The National Park Service",32.84248,-83.60265,"1207 Emery Highway","Macon",,"Bibb County","Georgia","It is on the park road south of Emery Highway (U.S. 80). ",,https://www.hmdb.org/m.asp?m=419,6/28/2006,4/7/2024
560,"084-1","Clinton Methodist Church",,,1954,"Georgia Historical Commission",32.99823,-83.56171,,"Gray",,"Jones County","Georgia","It is on Green Settlement Road, 0.2 miles north of Highway 18 (U.S. 129), on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=560,10/2/2006,7/14/2019
664,"011-6","Birthplace of Sidney Lanier",,,1975,"Georgia Historic Marker",32.83725,-83.63623,"935 High Street","Macon",,"Bibb County","Georgia","It is on High Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=664,11/5/2006,5/16/2023
867,"033-52","Kennesaw Battlefield",,,1954,"The Georgia Historical Commission",33.96334,-84.59389,,"Marietta",,"Cobb County","Georgia","It is at the intersection of Burnt Hickory Road NW and Old Mountain Road NW, on the left when traveling east on Burnt Hickory Road NW. ",,https://www.hmdb.org/m.asp?m=867,2/20/2007,11/1/2021
1501,"113-2","Confederate Prison Camp",,,1956,"Georgia Historical Commission",31.31605,-82.24937,,"Blackshear",,"Pierce County","Georgia","It is on Blackshear Highway (Georgia Route 203) west of Moore Street, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=1501,7/5/2007,12/16/2007
1660,"033-37","Cobb County",,,1953,"Georgia Historical Commission",33.95248,-84.54970,,"Marietta",,"Cobb County","Georgia","It is on South Park Square NE east of West Park Square NE, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=1660,7/16/2007,2/16/2021
1662,"033-48","Robert McAfee House",,,1954,"Georgia Historical Commission",34.01418,-84.54854,,"Marietta",,"Cobb County","Georgia","It is at the intersection of Bells Ferry Road and Barrett Parkway NW / Piedmont Road NE, on the right when traveling south on Bells Ferry Road. ",,https://www.hmdb.org/m.asp?m=1662,7/16/2007,1/20/2020
1665,"033-110","UDC and Kennesaw House",,,1956,"Georgia Historical Commission",33.95272,-84.55098,,"Marietta",,"Cobb County","Georgia","It is on Depot Street west of W Park Square, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=1665,7/19/2007,1/20/2020
2760,,"Battle of Cherokee Ford","11 Feb. 1779",,2007,"Samuel Elbert Chapter Sons of the American Revolution",34.16502,-82.73567,"Richard B. Russell State Park","Elberton",,"Elbert County","Georgia","It can be reached from Ruckersville Road, 7.5 miles State Route 77. ",,https://www.hmdb.org/m.asp?m=2760,10/1/2007,10/29/2024
3258,,"Springer Mountain",,,1993,"US Forest Service, Appalachian Trail Conservancy",34.62455,-84.21293,,"Ellijay",,"Gilmer County","Georgia","It can be reached from Route FS42. ",,https://www.hmdb.org/m.asp?m=3258,11/6/2007,1/3/2020
