MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
185659,,"War in the Pacific National Historical Park",,,,"National Park Service",13.47246,144.70972,,"Asan",,"Asan","Guam","It can be reached from Marine Corps Drive (Highway 1) west of Jose Leon Guerrero Street, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=185659,11/12/2021,11/26/2021
185669,,"Banzai Charges",,,,"National Park Service, U.S. Department of the Interior",13.46029,144.71552,,"Asan",,"Asan","Guam","It can be reached from Highway 6, 0.2 miles south of Turner Road, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=185669,11/12/2021,1/2/2025
185670,,"The Inland Offensive",,,,"National Park Service, U.S. Department of the Interior",13.46028,144.71551,,"Asan",,"Asan","Guam","It can be reached from Highway 6, 0.2 miles south of Turner Road, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=185670,11/12/2021,1/2/2025
185671,,"Attack, Occupation, Liberation",,,1994,"the National Park Service. Bas-relief sculptures by Eugene Daub.",13.45990,144.71522,,"Asan",,"Asan","Guam","It can be reached from Highway 6, 0.2 miles south of Turner Road, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=185671,11/12/2021,8/9/2022
185672,,"Japanese Two-Man Submarine",,,,"National Park Service, U.S. Department of the Interior",13.42228,144.67559,,"Santa Rita",,"Santa Rita","Guam","It can be reached from the intersection of Marine Corps Drive (Highway 1) and Highway 2A, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=185672,11/12/2021,10/15/2024
185702,,"Magellan's Landing",,,1926,"The Guam Teachers Association",13.29891,144.66294,,"Umatac",,"Umatac","Guam","It can be reached from Highway 2, 0.1 miles east of Nino Perdido Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=185702,11/12/2021,1/2/2025
185838,,"Guam 1941-1944",,,,,13.46019,144.71543,,"Asan",,"Asan","Guam","It can be reached from Highway 6, 0.2 miles south of Turner Road, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=185838,11/14/2021,11/26/2021
185842,,"Hidden Defenses",,,,"National Park Service, U.S. Department of the Interior",13.40218,144.66278,,"Santa Rita",,"Santa Rita","Guam","It can be reached from Shoreline Drive, 0.1 miles north of Highway 2A, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=185842,11/14/2021,1/2/2025
185852,,"Japanese Anti-Aircraft Gun",,,,"National Park Service, U.S. Department of the Interior",13.38754,144.65774,,"Agat",,"Agat","Guam","It can be reached from the intersection of Highway 2 and Follard Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=185852,11/14/2021,1/2/2025
185858,,"Fort Nuestra de la Soledad, 1810",,,,,13.29522,144.66004,,"Umatac",,"Umatac","Guam","It can be reached from Soledad Drive, 0.2 miles west of Highway 2 when traveling west. ",,https://www.hmdb.org/m.asp?m=185858,11/14/2021,11/26/2021
185864,,"Silent Guns",,,,,13.46172,144.69466,"314 Assumption Dr","Piti",,"Piti","Guam","It can be reached from Assumption Drive, 0.4 miles north of Highway 6, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=185864,11/14/2021,11/26/2021
,Source: Hmdb.org,Character encoding: utf-8 with BOM,Comma-separated file double-quote delimited with header row. Double-quoted columns can contain  HTML <tag>s and HTML entity escape sequences like &dollar; and &36;. Dates are in USA format.
