MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
302,,"Hulihe‘e Palace",,,1927,"Daughters of Hawaii",19.63892,-155.99390,"75-5718 Alii Drive","Kailua-Kona",,"Hawaii County","Hawaii","It is on Alii Drive north of Hualalai Road, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=302,4/25/2006,1/15/2022
2314,,"South Point Complex",,,1964,"National Park Service, U.S. Department of the Interior",18.92087,-155.67197,,"Naalehu",,"Hawaii County","Hawaii","It is on South Point Road, 11 miles south of Mamalahoa Highway (Hawaii Route 11), on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=2314,9/4/2007,8/23/2024
2980,,"Site of Hawaiian Volcano Observatory","1912-1942",,,,19.42912,-155.25828,"Hawaii Volcanoes National Park","Volcano",,"Hawaii County","Hawaii","It can be reached from Crater Belt Road. ",,https://www.hmdb.org/m.asp?m=2980,10/15/2007,9/2/2024
2981,,"Pu‘uhona O H&#333;naunau - Place of Refuge",,,,,19.42168,-155.91083,,"Honaunau","Honaunau","Hawaii County","Hawaii","It can be reached from Route 160. ",,https://www.hmdb.org/m.asp?m=2981,10/18/2007,2/10/2023
3029,,"Puak&#333; Petroglyph Archaeological District",,,,,19.95513,-155.85922,,"Waikoloa",,"Hawaii County","Hawaii","It is on Holoholokai Beach Park Road, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=3029,10/23/2007,8/23/2020
4247,,"The Waikoloa Petroglyph Field",,,,,19.91768,-155.87948,,"Waikoloa Village",,"Hawaii County","Hawaii","It is on King's Trail, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=4247,12/16/2007,1/2/2025
4248,,"Honokohau Settlement",,,1964,"U. S. Department of the Interior, National Park Service",19.66995,-156.01833,,"Kailua-Kona",,"Hawaii County","Hawaii","It is on Kealakehe Parkway, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=4248,12/17/2007,1/10/2025
4504,,"The Honolulu Memorial at the National Memorial Cemetery of the Pacific",,,1949,,21.31350,-157.84731,"2177 Puowaina Drive","Honolulu","Nuuanu - Punchbowl","Honolulu County","Hawaii","It can be reached from Puowaina Drive. ",,https://www.hmdb.org/m.asp?m=4504,1/7/2008,2/10/2023
4526,,"U.S. Naval Base Pearl Harbor",,,1964,"National Park Service, U.S. Department of the Interior",21.36478,-157.95011,,"Honolulu","Naval Station Pearl Harbor","Honolulu County","Hawaii","It can be reached from Langley Avenue. ",,https://www.hmdb.org/m.asp?m=4526,1/7/2008,12/19/2024
9786,,"The Kapa<small>'</small>a Japanese Stone Lantern (Ishidoro)","Preserving the History of Kapa<small>‘</small>a’s Issei Generation",,2008,,22.07745,-159.31662,,"Kapaa",,"Kauai County","Hawaii","It is on State Highway 56, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=9786,8/1/2008,4/10/2023
9804,,"Waioli Mission Hall",,,,,22.20134,-159.50172,,"Hanalei",,"Kauai County","Hawaii","It can be reached from the intersection of Kuhio Highway (State Highway 560) and Mahimahi Road. ",,https://www.hmdb.org/m.asp?m=9804,8/3/2008,6/24/2013
12764,"1","Spouting Horn Park","K&#333;loa Heritage Trail — Ka Ala Hele Waiwai Ho‘olina o K&#333;loa","Preserving the Heritage of Po‘ip&#363; & K&#333;loa",,"Po‘ip&#363; Beach Foundation",21.88495,-159.49380,,"Poipu",,"Kauai County","Hawaii","It is on Lawai Road south of the traffic circle on Poipu Road (Hawaii Route 520), on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=12764,10/21/2008,10/26/2008
12778,"2","Prince K&#363;hi&#333; Birthplace & Park","K&#333;loa Heritage Trail — Ka Ala Hele Waiwai Ho‘olina o K&#333;loa","Preserving the Heritage of Po‘ip&#363; & K&#333;loa",,"Po‘ip&#363; Beach Foundation",21.88120,-159.47410,,"Poipu","Poipu","Kauai County","Hawaii","It is on Lawai Road south of the traffic circle on Poipu Road (Hawaii Route 520), on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=12778,10/21/2008,2/10/2023
12787,"3","Hanaka‘ape Bay & K&#333;loa Landing","K&#333;loa Heritage Trail — Ka Ala Hele Waiwai Ho‘olina o K&#333;loa","Preserving the Heritage of Po‘ip&#363; & K&#333;loa",,"Po‘ip&#363; Beach Foundation",21.87900,-159.46855,,"Poipu","Poipu","Kauai County","Hawaii","It is on Hoonani Road east of Lawai Road, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=12787,10/21/2008,2/10/2023
12797,"4","P&#257;‘&#363; a Laka (Moir Gardens)","K&#333;loa Heritage Trail — Ka Ala Hele Waiwai Ho‘olina o K&#333;loa","Preserving the Heritage of Po‘ip&#363; & K&#333;loa",,"Po‘ip&#363; Beach Foundation",21.87667,-159.46000,"2253 Poipu Road","Poipu","Poipu","Kauai County","Hawaii","It can be reached from Hoonani Road east of Kapilli Road, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=12797,10/21/2008,2/10/2023
12803,"5","Kih&#257;houna Heiau","K&#333;loa Heritage Trail — Ka Ala Hele Waiwai Ho‘olina o K&#333;loa","Preserving the Heritage of Po‘ip&#363; & K&#333;loa",,"Po‘ip&#363; Beach Foundation",21.87389,-159.45694,"2249 Poipu Road","Poipu","Poipu","Kauai County","Hawaii","It can be reached from Poipu Road east of the Poipu Road traffic circle, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=12803,10/22/2008,2/10/2023
12805,"6","Po‘ip&#363; Beach Park","K&#333;loa Heritage Trail — Ka Ala Hele Waiwai Ho‘olina o K&#333;loa","Preserving the Heritage of Po‘ip&#363; & K&#333;loa",,"Po‘ip&#363; Beach Foundation",21.87361,-159.45417,,"Poipu","Poipu","Kauai County","Hawaii","It is at the intersection of Hoone Road and Ho‘owilli Road, on the left when traveling east on Hoone Road. ",,https://www.hmdb.org/m.asp?m=12805,10/22/2008,2/10/2023
12806,"7","Keoneloa Bay","K&#333;loa Heritage Trail — Ka Ala Hele Waiwai Ho‘olina o K&#333;loa","Preserving the Heritage of Po‘ip&#363; & K&#333;loa",,"Po‘ip&#363; Beach Foundation",21.87297,-159.44186,,"Poipu","Poipu","Kauai County","Hawaii","It can be reached from Pe‘e Road south of Poipu Road, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=12806,10/22/2008,2/10/2023
12807,"7","Sacred Fishing Grounds",,,,"Po‘ip&#363; Beach Foundation",21.87290,-159.44180,,"Poipu","Poipu","Kauai County","Hawaii","It can be reached from Pe‘e Road south of Poipu Road, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=12807,10/22/2008,2/10/2023
12859,"8","Makawehi & P&#257;‘&#257; Dunes","K&#333;loa Heritage Trail — Ka Ala Hele Waiwai Ho‘olina o K&#333;loa","Preserving the Heritage of Po‘ip&#363; & K&#333;loa",,"Po‘ip&#363; Beach Foundation",21.87480,-159.43790,"1571 Poipu Road","Poipu","Poipu","Kauai County","Hawaii","It can be reached from Ainako Street south of Poipu Road, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=12859,10/23/2008,2/10/2023
12864,"9","Pu‘uwanawana Volcanic Cone","K&#333;loa Heritage Trail — Ka Ala Hele Waiwai Ho‘olina o K&#333;loa","Preserving the Heritage of Po‘ip&#363; & K&#333;loa",,"Po‘ip&#363; Beach Foundation",21.88160,-159.44900,,"Poipu","Poipu","Kauai County","Hawaii","It is on Ala Kinolike Highway north of Poipu Road, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=12864,10/23/2008,2/10/2023
12866,"10","Hapa Road","K&#333;loa Heritage Trail — Ka Ala Hele Waiwai Ho‘olina o K&#333;loa","Preserving the Heritage of Po‘ip&#363; & K&#333;loa",,"Po‘ip&#363; Beach Foundation",21.87833,-159.45750,"2222 Poipu Road","Poipu","Poipu","Kauai County","Hawaii","It is on Poipu Road east of the Poipu Road traffic circle, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=12866,10/23/2008,2/10/2023
13007,"11","K&#333;loa Jodo Mission","K&#333;loa Heritage Trail — Ka Ala Hele Waiwai Ho‘olina o K&#333;loa","Preserving the Heritage of Po‘ip&#363; & K&#333;loa",,"Po‘ip&#363; Beach Foundation",21.90500,-159.46250,"3480 Waikomo Road","Koloa",,"Kauai County","Hawaii","It is on Waikomo Road south of Koloa Road, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=13007,10/26/2008,3/30/2020
13010,"13","Yamamoto Store & K&#333;loa Hotel","K&#333;loa Heritage Trail — Ka Ala Hele Waiwai Ho‘olina o K&#333;loa","Preserving the Heritage of Po‘ip&#363; & K&#333;loa",,"Po‘ip&#363; Beach Foundation",21.90361,-159.46583,,"Koloa",,"Kauai County","Hawaii","It is on Koloa Road (Hawaii Route 530) west of Maluhia Road ( Route 520), on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=13010,10/26/2008,10/28/2008
13023,"14","K&#333;loa Missionary Church","K&#333;loa Heritage Trail — Ka Ala Hele Waiwai Ho‘olina o K&#333;loa","Preserving the Heritage of Po‘ip&#363; & K&#333;loa",,"Po‘ip&#363; Beach Foundation",21.90139,-159.46611,,"Koloa",,"Kauai County","Hawaii","It is on Poipu Road (Hawaii Route 520) south of Koloa Road ( Route 530), on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=13023,10/26/2008,10/26/2008
13082,,"Rainbow Tower & Hilton Lagoon",,"Waik&#299;k&#299; Historic Trail",,,21.28194,-157.83861,,"Honolulu","Waikiki","Honolulu County","Hawaii","It can be reached from Holomoana Street south of Ala Moana Boulevard. ",,https://www.hmdb.org/m.asp?m=13082,10/28/2008,6/8/2024
