MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
4643,"294","Nez Perce War",,,,"Idaho Historical Society",45.80192,-116.28703,,"Grangeville",,"Idaho County","Idaho","It is on U.S. 95 at milepost 227, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=4643,1/9/2008,3/6/2024
21988,"361","Lower Boise",,,,"Idaho Historical Society",43.72454,-116.79927,,"Notus",,"Canyon County","Idaho","It is on U.S. 20/26 just east of Notus Road, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=21988,8/29/2009,12/28/2024
21992,"85","Old Fort Boise",,,,"Idaho Historical Society",43.77977,-116.93235,,"Parma",,"Canyon County","Idaho","It is on Parma Road, 0 miles west of Parma Rd., on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=21992,8/29/2009,12/28/2024
21995,"78","Marie Dorion",,,,"Idaho Historical Society",43.77979,-116.93240,,"Parma",,"Canyon County","Idaho","It is on Parma Road, 0 miles Parma Road, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=21995,8/29/2009,10/21/2020
22181,"375","Oregon Trail",,,,"Idaho Historical Society",43.47782,-116.10733,,"Boise",,"Ada County","Idaho","It is on Interstate 84, 1 mile north of Black's Creek Road, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=22181,9/6/2009,9/6/2009
22326,"455","Emigrant Crossing",,,,"Idaho Historical Society",43.68826,-116.68826,,"Caldwell",,"Canyon County","Idaho","It is on U.S. 30, 0 miles east of West Plymouth Road, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=22326,9/9/2009,12/28/2024
22328,"75","The Ward Massacre",,,,"Idaho Historical Society",43.67696,-116.60863,,"Middleton",,"Canyon County","Idaho","It is on Lincoln Road, 0.2 miles east of Middleton Road, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=22328,9/9/2009,12/28/2024
22333,,"Peaceful Trading Turns Hostile","Ward Massacre",,,,43.67719,-116.60894,,"Middleton",,"Canyon County","Idaho","It is on Lincoln Road, 0.2 miles east of Middleton Road, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=22333,9/10/2009,12/28/2024
22336,,"To the Memory of the Pioneers","Ward Massacre Memorial",,,"Pioneer Chapter, Daughters of the American Revolution",43.67717,-116.60888,,"Middleton",,"Canyon County","Idaho","It is on Lincoln Road, 0.2 miles east of Middleton Road, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=22336,9/10/2009,12/28/2024
22366,,"Violence is Avenged","Ward Massacre",,,,43.67722,-116.60887,,"Middleton",,"Canyon County","Idaho","It is on Lincoln Road, 0.2 miles Middleton Road, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=22366,9/12/2009,12/28/2024
22398,,"Hostility Erupts Into Violence","Ward Massacre",,,,43.67723,-116.60894,,"Middleton",,"Canyon County","Idaho","It is on Lincoln Road, 0.2 miles east of Middleton Road, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=22398,9/13/2009,12/28/2024
22586,"343","Diversion Dam",,,,"Idaho Historical Society",43.53899,-116.09270,,"Boise",,"Ada County","Idaho","It is on State Highway 21 at milepost 8,, 0.3 miles east of Warm Springs Avenue, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=22586,9/20/2009,9/20/2009
22595,"318","More's Creek",,,,"Idaho Historical Society",43.59111,-115.99867,,"Boise",,"Ada County","Idaho","It is on State Highway 21 at milepost 17,, 0.2 miles south of Arrowrock Road, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=22595,9/21/2009,9/21/2009
22597,"376","Arrowrock Dam",,,,"Idaho Historical Society",43.59107,-115.99870,,"Boise",,"Ada County","Idaho","It is on State Highway 21 at milepost 17,, 0.2 miles south of Arrowrock Road, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=22597,9/21/2009,8/19/2020
22599,"266","The Old Toll Road",,,,"Idaho Historical Society",43.62671,-115.98828,,"Idaho City",,"Boise County","Idaho","It is on State Highway 21 at milepost 20,, 0.2 miles south of Stewart Way, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=22599,9/21/2009,12/28/2024
22600,"188","Grimes' Creek",,,,"Idaho Historical Society",43.72588,-115.95110,,"Idaho City",,"Boise County","Idaho","It is at the intersection of State Highway 21 at milepost 28 and Grimes Creek Road, on the left when traveling north on State Highway 21. ",,https://www.hmdb.org/m.asp?m=22600,9/21/2009,12/28/2024
22601,"186","Idaho City",,,,"Idaho Historical Society",43.81669,-115.85722,"3860 Highway 21","Idaho City",,"Boise County","Idaho","It is on State Highway 21 at milepost 38,, 0.1 miles west of Lodgepole Lane, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=22601,9/21/2009,9/21/2009
22616,"444","Lowman",,,,"Idaho Historical Society",44.08224,-115.60996,,"Lowman",,"Boise County","Idaho","It is on State Highway 21 at milepost 72,, 0.2 miles east of Banks Lowman Road, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=22616,9/22/2009,9/22/2009
22637,"442","Emma Edwards",,,,"Idaho Historical Society",44.07185,-115.53127,,"Lowman",,"Boise County","Idaho","It is on State Highway 21 at milepost 77,, 0.6 miles east of Kirkham Road, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=22637,9/22/2009,1/3/2025
22638,"435","Emile Grandjean",,,,"Idaho Historical Society",44.17344,-115.24959,,"Grandjean",,"Boise County","Idaho","It is on State Highway 21 at milepost 95,, 1.4 miles north of Grandjean Road, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=22638,9/22/2009,12/28/2024
