MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
2400,,"The Journey Begins Here",,,2003,"Illinois Society Children of the American Revolution State President’s Project",38.80516,-90.11339,,"Hartford",,"Madison County","Illinois","It is on Levee Road near State Route 3 (Illinois Route 3). ",,https://www.hmdb.org/m.asp?m=2400,9/15/2007,3/6/2024
4595,,"The Lincoln Depot",,,1966,"The Lincoln Depot, Inc., and the Illinois State Historical Society",39.79928,-89.64260,,"Springfield","Downtown","Sangamon County","Illinois","It is at the intersection of Monroe Street and 10th Street (railroad), on the right when traveling east on Monroe Street. ",,https://www.hmdb.org/m.asp?m=4595,1/6/2008,12/14/2024
4621,,"Camp Butler",,,1934,"State of Illinois",39.83225,-89.55737,,"Springfield","Camp Butler National Cemetery","Sangamon County","Illinois","It is at the intersection of Camp Butler Road and Old River Road, on the left when traveling east on Camp Butler Road. <font color=red> Reported missing.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=4621,1/7/2008,12/14/2024
4622,,"Lincoln-Herndon Law Offices",,,,,39.80049,-89.64810,,"Springfield","Downtown","Sangamon County","Illinois","It can be reached from the intersection of E Adams Street and South 6th Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=4622,1/8/2008,12/14/2024
4656,,"Lincoln-Herndon Law Offices",,,1991,"Illinois State Historical Society and the Illinois Department of Transportation",39.80028,-89.64802,,"Springfield","Downtown","Sangamon County","Illinois","It is on South Sixth Street near the Old State Capital Plaza, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=4656,1/10/2008,12/14/2024
4683,,"Victory, World War I Black Soldiers’ Memorial",,,1927,"the people of the State of Illinois, represented in the 54th General Assembly",41.83075,-87.61714,,"Chicago","Douglas (Bronzeville)","Cook County","Illinois","It is at the intersection of Dr. Martin Luther King Drive and East 35th Street, in the median on Dr. Martin Luther King Drive. ",,https://www.hmdb.org/m.asp?m=4683,1/13/2008,1/30/2023
4720,,"Lincoln 1861 Inaugural Train Stop",,,1932,"Alliance Chapter, Daughters of American Revolution Urbana, Champaign and citizens of Tolono.",39.98458,-88.26330,,"Tolono",,"Champaign County","Illinois","It is at the intersection of N. Long Street (U.S. 45) and West Strong Street, on the left when traveling south on N. Long Street. ",,https://www.hmdb.org/m.asp?m=4720,1/14/2008,10/28/2019
4722,,"Abraham Lincoln Delivered an Impromptu Address",,,1926,"Governor Bradford Chapter, Daughters of the American Revolution",40.12735,-87.63559,"116 North Gilbert Street","Danville",,"Vermilion County","Illinois","It is at the intersection of North Gilbert Street and Lafayette Street, on the left when traveling north on North Gilbert Street. ",,https://www.hmdb.org/m.asp?m=4722,1/14/2008,11/17/2019
4744,,"Historic Millstone",,,,"(Donated by) Mr. and Mrs. Dan Williams Beckwith",40.12734,-87.63559,,"Danville",,"Vermilion County","Illinois","It is at the intersection of Lafayette Street and North Gilbert Street, on the right when traveling west on Lafayette Street. ",,https://www.hmdb.org/m.asp?m=4744,1/15/2008,1/15/2008
4747,,"Abraham Lincoln",,,,,40.12734,-87.63559,,"Danville",,"Vermilion County","Illinois","It is at the intersection of Lafayette Street and North Gilbert Street, on the right when traveling west on Lafayette Street. ",,https://www.hmdb.org/m.asp?m=4747,1/15/2008,1/15/2008
