MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
228,"49.1975.2","Indianapolis Motor Speedway",,,1975,"Presented by Historic Landmarks Foundation of Indiana",39.78989,-86.23371,"4790 West 16th Street","Indianapolis","Speedway","Marion County","Indiana","It can be reached from 4th Street. ",,https://www.hmdb.org/m.asp?m=228,4/13/2006,2/4/2023
231,,"The First Methodist Church in Anderson Was Built Here",,,,,40.10503,-85.68196,,"Anderson",,"Madison County","Indiana","It is at the intersection of Brown-Delaware Street and West 11th Street, on the right when traveling south on Brown-Delaware Street. ",,https://www.hmdb.org/m.asp?m=231,4/12/2006,7/14/2019
232,,"Public Square",,,1976,"the Current Events Club in Honor of the Bicentennial.",40.10720,-85.67913,"16 E. 9th Street","Anderson",,"Madison County","Indiana","It is at the intersection of East 9th Street and Madison Street on East 9th Street. ",,https://www.hmdb.org/m.asp?m=232,4/13/2006,4/1/2024
233,"76000028","Madison County Historic Home",,,1976,"Anderson Council of Women, registered with the National Register of Historic Places",40.10978,-85.67817,"626 Main Street","Anderson",,"Madison County","Indiana","It is at the intersection of Main Street and East 6th Street on Main Street. ",,https://www.hmdb.org/m.asp?m=233,4/13/2006,7/9/2022
236,"49.2005.1","Robert F. Kennedy Speech on Death of Martin L. King",,,2005,"Indiana Historical Bureau and City of Indianapolis, Mayor Bart Peterson",39.79037,-86.14601,"Martin Luther King Park","Indianapolis","Near Northside","Marion County","Indiana","It can be reached from the intersection of East 17th Street and Broadway Street. ",,https://www.hmdb.org/m.asp?m=236,4/13/2006,2/4/2023
237,"32.2000.1","Danville’s Main Street Historic District",,,2000,"Indiana Historical Bureau, Main Street Historical Association of Danville, and Town of Danville",39.76086,-86.52695,"256/260 W. Main Street","Danville",,"Hendricks County","Indiana","It is on West Main Street (U.S. 36) west of Cross Street (State Road 39), on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=237,4/13/2006,9/5/2023
238,"32.2001.1","Danville’s Carnegie Library",,,2001,"Indiana Historical Bureau and Danville Junior History Club sponsored by Danville Public Library",39.75885,-86.52276,"101 South Indiana Street","Danville",,"Hendricks County","Indiana","It is at the intersection of South Indiana Street and East Broadway Street on South Indiana Street. ",,https://www.hmdb.org/m.asp?m=238,4/11/2006,1/4/2020
239,"32.2001.2","Central Normal College",,,2001,"Indiana Historical Bureau and Danville Senior History Club sponsored by Danville Public Library",39.76082,-86.52031,,"Danville",,"Hendricks County","Indiana","It is on East Main Street (U.S. 36) near North Wayne Street, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=239,4/11/2006,9/16/2023
244,,"Madonna of the Trail",,,1928,"National Society of the Daughters of the American Revolution",39.83035,-84.87256,,"Richmond",,"Wayne County","Indiana","It is on East Main Street (U.S. 40) near North 22th Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=244,4/12/2006,11/14/2020
264,"89.1962.1","Oliver P. Morton Home",,,1962,"Indiana Civil War Centennial Commission",39.81757,-85.00028,"319 West Main Street","Centerville",,"Wayne County","Indiana","It is on West Main Street east of Willow Grove Road, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=264,4/16/2006,4/19/2022
265,"89.1992.1","Overbeck House and Studio",,,1992,"Indiana Historical Bureau and Jerry and Phyllis Mattheis",39.81284,-85.16193,,"Cambridge City",,"Wayne County","Indiana","It is at the intersection of East Main Street (U.S. 40) and South Pearl Street, on the left when traveling west on East Main Street. ",,https://www.hmdb.org/m.asp?m=265,4/16/2006,6/27/2020
267,"49.1966.2","The Central Canal",,,1966,"Indiana Sesquicentennial Commission",39.85535,-86.15975,,"Indianapolis","Butler-Tarkington","Marion County","Indiana","It is at the intersection of West Westfield Boulevard and North Illinois Street, on the left when traveling east on West Westfield Boulevard. ",,https://www.hmdb.org/m.asp?m=267,4/17/2006,11/17/2023
