MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
2565,,"Iowa’s Confederate General",,,2007,"Iowa Sons of Confederate Veterans; Texas Sons of Confederate Veterans; Marmaduke Chapter of Military Order of Stars & Bars; Douds Stone, Iowa’s Confederate General",40.72557,-91.85497,,"Bentonsport",,"Van Buren County","Iowa","It is on Main Street (County Road J 40), on the right. ",,https://www.hmdb.org/m.asp?m=2565,9/23/2007,11/19/2019
8938,,"The Bill of Rights","The First 10 Amendments to the Constitution as Ratified by the States","December 15, 1791",2008,"Poweshiek County, Iowa; MyBillofrights.org; Hazel Sig-Hester; Frank Brownell",41.58515,-92.52428,"302 E. Main","Montezuma",,"Poweshiek County","Iowa","It is on East Main Street (State Highway 85) east of Front Street (U.S. 63). ",,https://www.hmdb.org/m.asp?m=8938,7/8/2008,12/4/2024
9547,,"Fort Severson",,,,,43.42253,-93.01096,"1068 456th Street","Carpenter",,"Mitchell County","Iowa","It can be reached from 456th Street, 0.8 miles east of Zinnia Avenue (County Highway S68), on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=9547,7/27/2008,7/7/2020
16572,,"Worth County Courthouse Cannon",,,1996,"the Worth County Sesquicentennial Commission",43.44443,-93.21830,"1000 Central Avenue","Northwood",,"Worth County","Iowa","It is at the intersection of Central Avenue (County Road 105) and 10th Street (U.S. 65) on Central Avenue. ",,https://www.hmdb.org/m.asp?m=16572,3/2/2009,10/3/2023
16582,,"South Shell Rock Lutheran",,,1996,"the Worth County Sesquicentennial Commission",43.44410,-93.24175,"820 County Road 105","Northwood",,"Worth County","Iowa","It is on County Road 105 west of Nettle Avenue, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=16582,3/2/2009,11/20/2020
16939,,"Deer Creek Lutheran Church Bell",,,,,43.42921,-93.02401,"4598 Zinnia Avenue","Carpenter",,"Mitchell County","Iowa","It can be reached from the intersection of Zinnia Avenue and 460th Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=16939,3/14/2009,12/5/2024
20995,,"Mt. Pisgah – Mormon Pioneer Way Station / Chief Pied Riche Tells the Spirit of Mt. Pisgah",,,,,41.05092,-94.10038,,"Talmage",,"Union County","Iowa","It is on Mt Pisgah Road, ½ mile south of 170th Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=20995,7/22/2009,7/7/2020
22662,,"Mormon Battalion Mustering Grounds",,,1986,"Church of Jesus Christ of Latter-day Saints",41.22558,-95.82284,"1600 South Highway 275","Council Bluffs",,"Pottawattamie County","Iowa","It can be reached from U.S. Highway 275 (U.S. 275) 0.1 miles Iowa Highway 92 (State Highway 92). ",,https://www.hmdb.org/m.asp?m=22662,9/23/2009,11/10/2015
22824,,"Post 298 Veterans' Memorial",,,,"American Legion Post 298",42.03543,-91.67032,,"Hiawatha",,"Linn County","Iowa","It is on Blairs Ferry Rd, 0.1 miles west of Center Point Road, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=22824,9/30/2009,8/31/2020
22944,,"Francis J Pierce","Earlville, Iowa",,2007,"Carpenter-Diesch-White American Legion Post 436",42.48025,-91.26930,,"Earlville",,"Delaware County","Iowa","It is on Park Street, 0.1 miles east of 3rd Street, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=22944,10/8/2009,11/20/2024
22957,,"Methodist Chapel",,,1978,"Dubuque Rotary Club",42.49890,-90.66777,,"Dubuque",,"Dubuque County","Iowa","It is at the intersection of Locust Street and Sixth Street, on the left when traveling north on Locust Street. ",,https://www.hmdb.org/m.asp?m=22957,10/4/2009,1/4/2025
23107,,"Winterset Civil War Memorial",,,1867,"Grateful Public",41.33483,-94.01177,,"Winterset",,"Madison County","Iowa","It is on East Court Avenue, 0.1 miles north of North Second Street, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=23107,10/10/2009,9/7/2023
23148,,"Winterset Veterans Memorial",,,1974,"American Legion Grier Rogers Post 184",41.33015,-94.00932,,"Winterset",,"Madison County","Iowa","It is on East Summit Street south of South 4th Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=23148,10/11/2009,10/11/2009
23157,,"Winterset World War I Memorial",,,1920,,41.32988,-94.00927,,"Winterset",,"Madison County","Iowa","It is on East Summit Street, 0.1 miles south of South Fourth Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=23157,10/11/2009,5/24/2022
23170,,"Cutler-Donahoe Covered Bridge - 1870",,,,,41.33102,-94.00453,,"Winterset",,"Madison County","Iowa","It is on South 9th Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=23170,10/11/2009,11/22/2023
27084,,"First Permanent Jewish House of Worship in Iowa",,,2006,"Jewish American Society for Historic Preservation, City of Keokuk, Iowa Jewish Historical Society",40.39802,-91.38388,,"Keokuk",,"Lee County","Iowa","It is on 7th and Blondeau. ",,https://www.hmdb.org/m.asp?m=27084,2/11/2010,12/21/2023
