MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
4301,,"Dalton Defenders",,,,,37.03778,-95.62639,,"Coffeyville",,"Montgomery County","Kansas","It can be reached from 113 East Eighth Street. ",,https://www.hmdb.org/m.asp?m=4301,12/20/2007,3/6/2024
4347,,"John Brown of Kansas",,,1935,"The Woman's Relief Corps, Department of Kansas (Auxiliary to the Grand Army).",38.49797,-94.95895,,"Osawatomie",,"Miami County","Kansas","It is at the intersection of 10th Street and Main Street, on the right when traveling north on 10th Street. ",,https://www.hmdb.org/m.asp?m=4347,12/23/2007,4/3/2025
4359,"46","Marais des Cygnes Massacre",,,,"Kansas Historical Society and State Highway Commission",38.25178,-94.68013,,"Trading Post",,"Linn County","Kansas","It is on U.S. 69 near Kansas Highway 52. ",,https://www.hmdb.org/m.asp?m=4359,12/28/2007,1/11/2022
4954,,"Little House On The Prairie","Historical Site",,1984,"Little House On The Prairie, Inc.",37.12497,-95.86230,,"Wayside",,"Montgomery County","Kansas","It is on U.S. 75 near CR 3000, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=4954,1/26/2008,6/28/2024
6937,"47","Battle of Mine Creek",,,,"Kansas Historical Society and State Highway Commission",38.13333,-94.71372,,"Pleasanton",,"Linn County","Kansas","It is on U.S. 69, on the right when traveling south. <font color=red> Reported missing.</font>",Reported Missing,https://www.hmdb.org/m.asp?m=6937,4/9/2008,1/16/2022
11565,"77","Big Basin",,,,"Kansas State Historical Society and Kansas Deptartment of Transportation",37.23960,-100.00044,,"Ashland",,"Clark County","Kansas","It is on U.S. 160 at milepost 138, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=11565,9/18/2008,2/20/2022
11593,,"Three-Way Interlocking Crossing",,,,"Columbus Lions Club",37.17045,-94.83872,"100 South Tennessee Avenue","Columbus",,"Cherokee County","Kansas","It is on South Tennessee Avenue. ",,https://www.hmdb.org/m.asp?m=11593,9/20/2008,8/19/2010
11604,,"""Ghost Riders of the Chisholm Trail""",,,1995,"a group of history-preserving citizens of Caldwell, Kansas",37.00133,-97.60791,,"Caldwell",,"Sumner County","Kansas","It is on South Fall Creek Road (U.S. 81), on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=11604,9/30/2008,4/8/2025
17340,,"The Buffalo Soldier Monument",,,1992,"The Buffalo Soldier Monument Committee",39.34597,-94.91913,,"Fort Leavenworth",,"Leavenworth County","Kansas","It can be reached from Grant Avenue. ",,https://www.hmdb.org/m.asp?m=17340,3/26/2009,11/25/2022
19728,,"Santa Fe Trail Crossed Here",,,1986,"Santa Fe Trail Historical Society of Douglas County Kansas",38.78222,-95.48222,,"Globe",,"Douglas County","Kansas","It is on U.S. 56, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=19728,6/12/2009,12/9/2021
19729,,"Globe",,,1985,"Sante Fe Trail Historical Society of Douglas County, Kansas",38.79690,-95.39992,,"Centropolis",,"Douglas County","Kansas","It is at the intersection of Lake Road and N 400 Road, on the right when traveling south on Lake Road. ",,https://www.hmdb.org/m.asp?m=19729,6/12/2009,5/19/2023
19839,"90","The City of Leavenworth",,,,,39.32877,-94.91708,,"Leavenworth",,"Leavenworth County","Kansas","It is on Metropolitian Street (State Highway 92) ¼ mile north of State Highway 7, on the right. ",,https://www.hmdb.org/m.asp?m=19839,6/13/2009,9/6/2020
19976,,"Baker University","The First College In Kansas",,1908,"Class of 1891 on its Fiftieth Anniversary",38.77752,-95.18502,"513 5th Street","Baldwin City",,"Douglas County","Kansas","It is on 5th Street, on the right. ",,https://www.hmdb.org/m.asp?m=19976,6/18/2009,11/24/2020
20050,,"Battle of Black Jack",,,1913,"Post 40 Grand Army of the Republic & Women's Relief Corps #102",38.76396,-95.13096,"163 E 2000 Rd","Baldwin City",,"Douglas County","Kansas","It is at the intersection of East 2000th Road and North 175th Road, on the right when traveling south on East 2000th Road. ",,https://www.hmdb.org/m.asp?m=20050,6/18/2009,6/4/2023
20051,,"The Battle of Black Jack","""Civil War in Kansas!""",,2009,"Black Jack Battlefield Trust",38.76403,-95.13097,"163 E 2000 Rd","Baldwin City",,"Douglas County","Kansas","It is at the intersection of East 2000th Road and North 175th Road, on the right when traveling south on East 2000th Road. ",,https://www.hmdb.org/m.asp?m=20051,6/18/2009,3/23/2025
20059,"7","Battle of Black Jack",,,,"Kansas Historical Society and State Highway Commission",38.76737,-95.12877,,"Baldwin City",,"Douglas County","Kansas","It is on U.S. 56, 0.1 miles east of East 2000 Road. ",,https://www.hmdb.org/m.asp?m=20059,6/19/2009,6/4/2023
20062,,"Black Jack Park",,,1984,,38.76737,-95.12877,,"Baldwin City",,"Douglas County","Kansas","It is on U.S. 56, 0.1 miles East 2000 Road, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=20062,6/21/2009,6/4/2023
20065,,"Santa Fe Trail",,,1907,"Johnson County and the Old Settler's Association",38.88222,-94.81972,"100 North Santa Fe Street","Olathe",,"Johnson County","Kansas","It is on North Santa Fe Street. ",,https://www.hmdb.org/m.asp?m=20065,6/21/2009,1/7/2022
20073,"8","Baldwin",,,,"Kansas Historical Society and State Highway Commission",38.77422,-95.16405,,"Baldwin City",,"Douglas County","Kansas","It is on U.S. 56, 0.1 miles east of North 250th Road, on the right. ",,https://www.hmdb.org/m.asp?m=20073,6/21/2009,1/2/2022
20074,,"Santa Fe Trail",,,1906,"Old Settlers of Gardner",38.81205,-94.92488,"218 East Shawnee Street","Gardner",,"Johnson County","Kansas","It is at the intersection of Shawnee Street and Elm Street, on the right when traveling north on Shawnee Street. ",,https://www.hmdb.org/m.asp?m=20074,6/21/2009,6/21/2009
20075,,"Trail Park",,,1983,"two Baker Alumnae, Class of 1932",38.79083,-95.18667,,"Baldwin City",,"Douglas County","Kansas","It is at the intersection of North 6th Street and North 400 Road, on the left when traveling north on North 6th Street. ",,https://www.hmdb.org/m.asp?m=20075,6/19/2009,6/19/2009
