MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
313,"812","Renowned Congressman",,,1965,"Kentucky Historical Society and Kentucky Department of Highways",38.06080,-84.90981,,"Lawrenceburg",,"Anderson County","Kentucky","It is on Business (U.S. 127). ",,https://www.hmdb.org/m.asp?m=313,4/29/2006,6/3/2021
319,"1385","Sand Cave",,,1970,"The Kentucky Historical Society and the Department of Highways",37.15016,-86.04363,"1240 Old Mammoth Cave Rd","Cave City",,"Edmonson County","Kentucky","It is on Old Mammoth Cave Road (at milepost 15), 1.2 miles north of Mammoth Cave Road (Kentucky Route 70), on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=319,4/29/2006,10/21/2020
321,"1489","Cave City Raid",,,1974,"Kentucky Historical Society and Kentucky Department of Highways",37.13881,-85.95935,,"Cave City",,"Barren County","Kentucky","It is on W. Broadway Street (State Highway 70) near N. 1st Street, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=321,4/30/2006,6/3/2021
322,"4a","Morgan's Cave City Raid",,,,"Kentucky Heartlands Civil War Trails Commission",37.13882,-85.95937,,"Cave City",,"Barren County","Kentucky","It is at the intersection of W. Broadway Street (State Highway 70) and N. 1st Street, on the right when traveling west on W. Broadway Street. ",,https://www.hmdb.org/m.asp?m=322,4/30/2006,10/5/2020
323,"913","Catholic Pioneers",,,,"The Kentucky Historical Society and the Department of Highways",37.67411,-85.44694,,"Holy Cross",,"Marion County","Kentucky","It is at the intersection of Loretto Road (Kentucky Route 49) and Holy Cross Road ( Route 457) on Loretto Road. ",,https://www.hmdb.org/m.asp?m=323,4/30/2006,11/4/2020
324,"1604","Wickland",,,1977,"The Kentucky Historical Society and the Department of Highways",37.81150,-85.45427,"550 Bloomfield Road","Bardstown",,"Nelson County","Kentucky","It is on Bloomfield Road (U.S. 62) 0.4 miles east of East Stephen Foster Avenue (U.S. 150). ",,https://www.hmdb.org/m.asp?m=324,4/30/2006,9/2/2024
325,"1285","Salem Academy",,,1969,"The Kentucky Historical Society and the Department of Highways",37.81514,-85.46475,"517 North 3rd Street","Bardstown",,"Nelson County","Kentucky","It is on North 3rd Street (U.S. 150) north of Beall Street, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=325,4/30/2006,11/20/2019
3032,"57","Jefferson Davis Birthplace",,,,"Kentucky Department of Highways",36.84333,-87.30028,,"Fairview",,"Todd County","Kentucky","It is on Jefferson Davis Highway near Pembroke-Fairview Road ( Route 115), on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=3032,10/19/2007,1/22/2021
3034,,"Zero Milestone Jefferson Davis Highway",,,1930,"United Daughters of the Confederacy",36.84333,-87.30056,,"Fairview",,"Todd County","Kentucky","It is on Jefferson Davis Highway near Pembroke-Fairview Road (Route 115), on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=3034,10/19/2007,11/20/2019
3035,"1073","Jefferson Davis' Salute to Kentucky",,,1967,"Kentucky Historical Society, Kentucky Department of Highways.",36.84194,-87.30028,,"Fairview",,"Todd County","Kentucky","",,https://www.hmdb.org/m.asp?m=3035,10/19/2007,2/1/2021
4741,"1215","Man o' War","Fair Play - Mahubah, by Rock Sand",,1968,"The Thoroughbred Club of America, Kentucky Historical Society, Kentucky Department of Highways",38.14932,-84.52015,"4089 Iron Works Pike","Lexington",,"Fayette County","Kentucky","It is on Iron Works Pike. ",,https://www.hmdb.org/m.asp?m=4741,1/15/2008,1/4/2020
4768,"793","Chief Paduke",,,,"Paducah Junior Chamber of Commerce",37.07891,-88.62071,,"Paducah",,"McCracken County","Kentucky","It is on Jefferson Street near North 19th Street, in the median. ",,https://www.hmdb.org/m.asp?m=4768,1/16/2008,11/20/2019
4769,,"Wacinton","(To have understanding)",,,,37.08363,-88.63550,"2915 Park Avenue","Paducah",,"McCracken County","Kentucky","It is on Park Avenue (Business U.S. 60) near Noble Park Street. ",,https://www.hmdb.org/m.asp?m=4769,1/16/2008,7/13/2024
4770,,"My Old Kentucky Home",,,1923,"Bardstown Chamber of Commerce",37.80647,-85.45550,"120 Federal Hill Manor","Bardstown",,"Nelson County","Kentucky","It can be reached from Federal Hill Manor near Old Bloomfield Pike. ",,https://www.hmdb.org/m.asp?m=4770,1/17/2008,8/28/2024
5193,"58","Battle of Perryville",,,,"Kentucky Department of Highways",37.65038,-84.95233,,"Perryville",,"Boyle County","Kentucky","It is on West 2nd Street (U.S. 150) near Buell Street (U.S. 68), on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=5193,2/6/2008,6/17/2017
5825,"2150","Rosemary Clooney",,,2004,"Kentucky Historical Society - Kentucky Department of Highways",38.64679,-83.76498,"9 East Third Street","Maysville",,"Mason County","Kentucky","It is on East Third Street east of Market Street. ",,https://www.hmdb.org/m.asp?m=5825,3/2/2008,4/24/2018
6039,,"Lincoln Knob Creek Farm",,,,,37.61139,-85.63833,,"Hodgenville",,"Larue County","Kentucky","It is on U.S. 31E. ",,https://www.hmdb.org/m.asp?m=6039,3/8/2008,11/20/2019
6068,"120","Lincoln Knob Creek Farm",,,,"Kentucky Department of Highways",37.61127,-85.63767,,"Hodgenville",,"Larue County","Kentucky","It is on Bardstown Road (U.S. 31E). ",,https://www.hmdb.org/m.asp?m=6068,3/9/2008,11/20/2019
9724,"51","Cane Ridge Meeting House",,,,"Kentucky Department of Highways",38.22136,-84.16742,,"Paris",,"Bourbon County","Kentucky","It is at the intersection of Cane Ridge Road (Kentucky Route 537) and Steele Road on Cane Ridge Road. ",,https://www.hmdb.org/m.asp?m=9724,7/31/2008,6/3/2021
9726,"1767","Church of Christ, Union",,,1983,"Kentucky Historical Society",37.57156,-84.28875,,"Berea",,"Madison County","Kentucky","It is at the intersection of Main Street S and Prospect Street ( Route 21) on Main Street S. ",,https://www.hmdb.org/m.asp?m=9726,7/31/2008,1/4/2025
9727,"1847","Woodford County Courthouses",,,1988,"Kentucky Historical Society",38.05252,-84.73045,,"Versailles",,"Woodford County","Kentucky","It is at the intersection of South Main Street (U.S. 62) and Court Street on South Main Street. ",,https://www.hmdb.org/m.asp?m=9727,7/31/2008,3/9/2023
9728,"113","Daniel Boone's Grave",,,,"Kentucky Department of Highways",38.19378,-84.86613,,"Frankfort",,"Franklin County","Kentucky","It can be reached from East Main (U.S. 460 / 6) near Glenn's Creek Road. ",,https://www.hmdb.org/m.asp?m=9728,7/31/2008,1/10/2025
9753,"1465","Lt. Presley N. O'Bannon, USMC",,,1973,"Kentucky Historical Society & Kentucky Department of Transportation",38.19389,-84.86494,,"Frankfort",,"Franklin County","Kentucky","It is on East Main Street (U.S. 60/460). ",,https://www.hmdb.org/m.asp?m=9753,7/31/2008,3/22/2023
9811,"2002","CCC at Cumberland Falls / Civilian Conservation Corps",,,1997,"Kentucky Historical Society & Kentucky Department of Highways",36.84008,-84.33957,"7351 Highway 90","Honeybee",,"Whitley County","Kentucky","It is at the intersection of Kentucky Route 90, on the right when traveling west on Kentucky Route 90. ",,https://www.hmdb.org/m.asp?m=9811,8/3/2008,3/13/2023
9813,"1517","Kiwanis Trail",,,1975,"Kentucky Historical Society & Kentucky Department of Highways",36.84022,-84.33953,"7351 Highway 90","Corbin",,"Whitley County","Kentucky","It is at the intersection of Kentucky Route 90, on the right when traveling south on Kentucky Route 90. ",,https://www.hmdb.org/m.asp?m=9813,8/3/2008,12/20/2013
9814,"1801","Cumberland Falls MoonBow",,,1987,,36.83826,-84.34390,,"Corbin",,"Whitley County","Kentucky","It is on Kentucky Route 90, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=9814,8/3/2008,3/29/2022
9815,"105","Frankfort",,,,"Kentucky Department of Highways",38.19808,-84.86579,,"Frankfort",,"Franklin County","Kentucky","It is at the intersection of East Main Street (U.S. 60) and Glenns Creek Road, on the right when traveling west on East Main Street. ",,https://www.hmdb.org/m.asp?m=9815,8/3/2008,11/20/2019
9817,"1955","Early Tunnel in Kentucky / Frankfort Union Station",,,1995,"Kentucky Historical Society & Kentucky Department of Highways",38.19855,-84.87490,,"Frankfort",,"Franklin County","Kentucky","It is at the intersection of Broadway Street and Elk Alley on Broadway Street. ",,https://www.hmdb.org/m.asp?m=9817,8/3/2008,3/24/2022
9822,"610","Confederate Governor",,,,"Kentucky Historical Society & Kentucky Department of Highways",38.17478,-84.60923,,"Georgetown",,"Scott County","Kentucky","It is on Ironworks Pike (County Route 1973) 2 miles west of Payne's Depot Road (U.S. 62). ",,https://www.hmdb.org/m.asp?m=9822,8/3/2008,8/5/2008
