MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
6218,,"Batteries 2 and 3",,,,"National Park Service, U.S. Department of the Interior",29.94150,-89.99423,,"Chalmette",,"St. Bernard Parish","Louisiana","It can be reached from Battlefield Road. ",,https://www.hmdb.org/m.asp?m=6218,3/15/2008,3/6/2024
6219,,"Redoubt and Battery 1",,,,"National Park Service",29.94106,-89.99446,,"Chalmette",,"St. Bernard Parish","Louisiana","It can be reached from Battlefield Road. <font color=red> Reported missing.</font>",Reported Missing,https://www.hmdb.org/m.asp?m=6219,3/16/2008,1/14/2023
6221,,"The Battle on the West Bank",,,,"National Park Service, U.S. Department of the Interior",29.94101,-89.99456,,"Chalmette",,"St. Bernard Parish","Louisiana","It can be reached from Battlefield Road. <font color=red> Reported missing.</font>",Reported Missing,https://www.hmdb.org/m.asp?m=6221,3/15/2008,1/14/2023
6222,,"In Memory of Major Samuel Spotts U.S.A.",,,,,29.94072,-89.99526,,"Chalmette",,"St. Bernard Parish","Louisiana","It can be reached from Battlefield Road. ",,https://www.hmdb.org/m.asp?m=6222,3/16/2008,1/13/2023
6223,,"Rodriguez Canal",,,,"National Park Service",29.94178,-89.99405,,"Chalmette",,"St. Bernard Parish","Louisiana","It can be reached from Battlefield Road. ",,https://www.hmdb.org/m.asp?m=6223,3/16/2008,3/19/2017
6243,,"British Strategy",,,,"National Park Service",29.94039,-89.99243,,"Chalmette",,"St. Bernard Parish","Louisiana","It is on Battlefield Road, on the left when traveling east. <font color=red> Reported missing.</font>",Reported Missing,https://www.hmdb.org/m.asp?m=6243,3/16/2008,1/14/2023
6244,,"Lethal Exposure",,,,"National Park Service",29.94000,-89.98994,,"Chalmette",,"St. Bernard Parish","Louisiana","It is on Battlefield Road, on the left when traveling north. <font color=red> Reported missing.</font>",Reported Missing,https://www.hmdb.org/m.asp?m=6244,3/16/2008,1/14/2023
6248,,"“Where Has Our Equipment Gone?”",,,,"National Park Service",29.94157,-89.98906,,"Chalmette",,"St. Bernard Parish","Louisiana","It is on Battlefield Road, on the left when traveling north. <font color=red> Reported missing.</font>",Reported Missing,https://www.hmdb.org/m.asp?m=6248,3/16/2008,1/14/2023
6251,,"The Battle Ends",,,,"National Park Service",29.94419,-89.98925,,"Chalmette",,"St. Bernard Parish","Louisiana","It is on Battlefield Road, on the left when traveling west. <font color=red> Reported missing.</font>",Reported Missing,https://www.hmdb.org/m.asp?m=6251,3/16/2008,1/14/2023
6271,,"Batteries 5 and 6",,,,"National Park Service",29.94500,-89.99249,,"Chalmette",,"St. Bernard Parish","Louisiana","It is on Battlefield Road, on the left when traveling south. <font color=red> Reported missing.</font>",Reported Missing,https://www.hmdb.org/m.asp?m=6271,3/16/2008,1/14/2023
6273,,"Battery 4",,,,"National Park Service",29.94299,-89.99372,,"Chalmette",,"St. Bernard Parish","Louisiana","It is on Battlefield Road, on the left when traveling south. <font color=red> Reported missing.</font>",Reported Missing,https://www.hmdb.org/m.asp?m=6273,3/16/2008,1/14/2023
7575,,"C.S.A. Brigadier General Tom Green",,,2008,"Louisiana Society Order of The Confederate Rose",31.93462,-93.29976,,"Lake End",,"Red River Parish","Louisiana","It is on the Lock and Dam No. 4 access road, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=7575,5/6/2008,4/24/2022
7848,,"Fort Buhlow and Fort Randolph",,,,"T. O. Moore Chapter of the United Daughters of the Confederacy",31.32721,-92.44822,,"Pineville",,"Rapides Parish","Louisiana","It is on Monroe Highway (U.S. 71/165) near Rainbow Drive, on the left when traveling east. <font color=red> Reported missing.</font>",Reported Missing,https://www.hmdb.org/m.asp?m=7848,5/21/2008,3/22/2020
10104,,"England AFB Heritage Park",,,,,31.32610,-92.52932,,"Alexandria",,"Rapides Parish","Louisiana","It is on England Drive, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=10104,8/10/2008,1/4/2020
10107,,"Republic F-84F Thunderstreak",,,,,31.32637,-92.52913,,"Alexandria",,"Rapides Parish","Louisiana","It is on England Drive, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=10107,8/10/2008,1/4/2020
10109,,"Republic F-105 Thunderchief",,,,,31.32655,-92.52925,,"Alexandria",,"Rapides Parish","Louisiana","It is on England Drive, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=10109,8/10/2008,1/4/2020
10110,,"Fairchild Republic A-10 Thunderbolt II",,,,,31.32660,-92.52942,,"Alexandria",,"Rapides Parish","Louisiana","It is on England Drive, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=10110,8/10/2008,1/4/2020
10111,,"LTV Aerospace Vought A-7D Corsair II",,,,,31.32648,-92.52962,,"Alexandria",,"Rapides Parish","Louisiana","It is on England Drive, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=10111,8/10/2008,1/4/2020
10112,,"North American F-86 Sabre",,,,,31.32627,-92.52968,,"Alexandria",,"Rapides Parish","Louisiana","It is on England Drive, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=10112,8/10/2008,3/18/2017
10581,,"Frogmore Mound","Ancient Mounds Trail",,,,31.60444,-91.67111,"11054 Highway 84","Frogmore",,"Concordia Parish","Louisiana","It is at the intersection of Highway 84 and Frogmore Plantation Road on Highway 84. ",,https://www.hmdb.org/m.asp?m=10581,8/22/2008,4/3/2018
10582,,"Relocation of Vidalia","1938–1939",,,,31.56444,-91.41972,,"Vidalia",,"Concordia Parish","Louisiana","It can be reached from Concordia Avenue. ",,https://www.hmdb.org/m.asp?m=10582,8/22/2008,1/4/2020
10583,,"Sidney A. Murray, Jr., Hydroelectric Station","1990",,,,31.56472,-91.41944,,"Vidalia",,"Concordia Parish","Louisiana","It can be reached from Concordia Avenue. ",,https://www.hmdb.org/m.asp?m=10583,8/22/2008,1/4/2020
12678,,"Gilbert Academy and New Orleans University",,,1993,"Gilbert Academy Alumni Association",29.92765,-90.11163,"5318 St. Charles Ave","New Orleans","Uptown/Carrollton","Orleans Parish","Louisiana","It is at the intersection of St. Charles Avenue and Valmont Street, on the right when traveling east on St. Charles Avenue. ",,https://www.hmdb.org/m.asp?m=12678,10/22/2008,2/12/2023
12679,,"New Orleans",,,1968,"Louisiana Tourist Development Commission",29.95731,-90.06209,,"New Orleans","French Quarter","Orleans Parish","Louisiana","It is on Decatur Street south of St Ann Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=12679,10/20/2008,2/12/2023
13036,,"Homer Adolph Plessy","1862-1925",,,,29.95922,-90.07185,,"New Orleans","Iberville","Orleans Parish","Louisiana","It can be reached from Basin Street. ",,https://www.hmdb.org/m.asp?m=13036,10/31/2008,2/12/2023
13039,,"Jefferson City",,,1979,"Louisiana Department of Culture, Recreation and Tourism",29.92098,-90.11500,,"New Orleans","West Riverside","Orleans Parish","Louisiana","It is at the intersection of Jefferson Ave and Magazine Street, in the median on Jefferson Ave. ",,https://www.hmdb.org/m.asp?m=13039,10/27/2008,2/12/2023
13167,,"Shangarai Chasset - Gates of Mercy",,,,"Jewish American Society for Historic Preservation",29.95852,-90.07020,,"New Orleans","French Quarter","Orleans Parish","Louisiana","It is on North Rampart Street, in the median. ",,https://www.hmdb.org/m.asp?m=13167,11/2/2008,6/21/2024
13501,,"St. Louis Cemetery No. 1",,,1972,"New Orleans Archdiocesan Cemeteries",29.95913,-90.07107,,"New Orleans","French Quarter","Orleans Parish","Louisiana","It can be reached from Basin Street. ",,https://www.hmdb.org/m.asp?m=13501,11/12/2008,6/21/2024
13502,,"The St. Charles Line",,,1981,"Department of Culture, Recreation and Tourism",29.94351,-90.13380,,"New Orleans","Leonidas","Orleans Parish","Louisiana","It is on South Carrollton Avenue, in the median. ",,https://www.hmdb.org/m.asp?m=13502,11/12/2008,2/12/2023
13503,,"Town of Carrollton",,,1981,"Department of Culture, Recreation and Tourism",29.94419,-90.13292,,"New Orleans","East Carrollton","Orleans Parish","Louisiana","It is on South Carrollton Avenue, 0 miles west of Maple Blvd., in the median. ",,https://www.hmdb.org/m.asp?m=13503,11/12/2008,2/12/2023
13504,,"The Steamer New Orleans",,,1963,"Department of Commerce and Industry",29.95682,-90.06254,,"New Orleans","French Quarter","Orleans Parish","Louisiana","It is on Decatur Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=13504,11/12/2008,2/12/2023
13699,,"Marie Laveau",,,,,29.95908,-90.07128,,"New Orleans","French Quarter","Orleans Parish","Louisiana","It can be reached from Basin Street. ",,https://www.hmdb.org/m.asp?m=13699,11/21/2008,2/12/2023
