MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
1048,,"Bonney Park",,,,,44.09230,-70.22500,,"Auburn",,"Androscoggin County","Maine","It can be reached from Main Street (Maine Route 136). ",,https://www.hmdb.org/m.asp?m=1048,5/28/2007,1/4/2020
1050,,"Cities of the Androscoggin","Lewiston-Auburn",,,,44.09231,-70.22510,,"Auburn",,"Androscoggin County","Maine","It can be reached from Main Street (Maine Route 136). ",,https://www.hmdb.org/m.asp?m=1050,5/28/2007,3/6/2023
2087,,"A. J. “Allie” Cole",,,,,45.71275,-68.47417,,"Medway",,"Penobscot County","Maine","It is on Interstate 95. ",,https://www.hmdb.org/m.asp?m=2087,8/15/2007,11/2/2020
2088,,"Fort Kent",,,1974,,47.25268,-68.59503,,"Fort Kent",,"Aroostook County","Maine","It is on Blockhouse Road. ",,https://www.hmdb.org/m.asp?m=2088,8/15/2007,9/23/2020
3813,,"Bass Harbor Head Light",,,,,44.22257,-68.33752,,"Bass Harbor",,"Hancock County","Maine","It is on Lighthouse Road. ",,https://www.hmdb.org/m.asp?m=3813,11/29/2007,1/10/2025
4938,,"Paul Bunyan of Bangor, Maine",,,,"Bangor Chamber of Commerce",44.78859,-68.77837,,"Bangor",,"Penobscot County","Maine","It is on Main Street (U.S. 1A/202) near Emerson Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=4938,1/24/2008,9/19/2024
20614,"1","Franklin Street Wharf","Portland Freedom Trail",,2007,"Maine Freedom Trails",43.65831,-70.24942,"40 Commerical Street","Portland","East Bayside","Cumberland County","Maine","It is at the intersection of Commercial Street (U.S. 1) and Franklin Arterial (U.S. 1), on the right when traveling north on Commercial Street. ",,https://www.hmdb.org/m.asp?m=20614,7/20/2009,2/13/2023
21398,,"Home of Joshua Lawrence Chamberlain","1828     1914",,1934,"Daughters of the American Revolution, State of Maine Society",43.91037,-69.96371,,"Brunswick",,"Cumberland County","Maine","It is at the intersection of Maine Street and Potter Street, on the right when traveling south on Maine Street. ",,https://www.hmdb.org/m.asp?m=21398,8/5/2009,8/22/2023
21458,,"The Penobscot Expedition","1779",,,"Daughters of the American Revolution",44.55709,-68.80766,,"Bucksport",,"Waldo County","Maine","It is on U.S. 1, 0.2 miles north of Frank George Road (U.S. 1), on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=21458,8/8/2009,11/2/2020
21473,,"Defenders of the Union",,,1912,"Town of Hancock",44.52838,-68.25352,,"Hancock",,"Hancock County","Maine","It is at the intersection of U.S. 1 and Point Road, on the right when traveling east on U.S. 1. ",,https://www.hmdb.org/m.asp?m=21473,8/9/2009,8/9/2009
22180,,"David Glasgow Farragut",,,,"Portsmouth Naval Shipyard",43.08228,-70.73910,"1 Charles Morris Ave","Kittery",,"York County","Maine","It is on Morris Avenue east of Issac Hull Avenue, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=22180,9/5/2009,11/18/2021
22187,,"New Park [New Shipyard Mall]","USS GRAYLING (SSN-646) Memorial",,2000,"Portsmouth Naval Shipyard",43.08167,-70.73850,"116 Mac Donough Ave","Kittery",,"York County","Maine","It can be reached from Mac Donough Avenue. ",,https://www.hmdb.org/m.asp?m=22187,9/11/2009,11/18/2021
23389,,"Fort Williams",,,,"South Portland - Cape Elizabeth Historical Society",43.62298,-70.20923,,"Cape Elizabeth",,"Cumberland County","Maine","It can be reached from Shore Road. ",,https://www.hmdb.org/m.asp?m=23389,10/17/2009,12/30/2024
25378,,"Battery Blair",,,,,43.62252,-70.21102,,"Cape Elizabeth",,"Cumberland County","Maine","It can be reached from Shore Road. ",,https://www.hmdb.org/m.asp?m=25378,12/11/2009,12/30/2024
25385,,"Fort Williams",,,,,43.62244,-70.20980,,"Cape Elizabeth",,"Cumberland County","Maine","It can be reached from Shore Road. ",,https://www.hmdb.org/m.asp?m=25385,12/11/2009,12/30/2024
25389,,"A Town Within A Town",,,,,43.62244,-70.20980,,"Cape Elizabeth",,"Cumberland County","Maine","It can be reached from Shore Road. ",,https://www.hmdb.org/m.asp?m=25389,12/11/2009,12/30/2024
25390,,"CCC Headquarters",,,,,43.62244,-70.20980,,"Cape Elizabeth",,"Cumberland County","Maine","It can be reached from Shore Road. ",,https://www.hmdb.org/m.asp?m=25390,12/11/2009,12/30/2024
