MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
25,,"State of Maryland","1776–1964",,1964,"Maryland Historical Society",39.49749,-76.23272,,"Aberdeen",,"Harford County","Maryland","It can be reached from John F. Kennedy Memorial Highway (Interstate 95) north of Maryland Route 543, in the median. ",,https://www.hmdb.org/m.asp?m=25,12/28/2005,12/28/2024
57,,"Col. James McHenry of Baltimore","(1753 - 1816)",,,"Maryland Bicentennial Commission and the Maryland Historical Society",39.54609,-79.35120,,"McHenry",,"Garrett County","Maryland","It is on Garrett Highway (U.S. 219), on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=57,1/2/2006,9/30/2023
58,,"Deep Creek Lake","Garrett County",,,"Commissioner, Swepson Earle",39.52414,-79.33658,"57 Pete's Drive","McHenry",,"Garrett County","Maryland","It is on Garrett Highway (U.S. 219) south of Lake Shore Drive, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=58,1/2/2006,9/28/2020
59,,"Rockville",,,,"Maryland Civil War Centennial Commission",39.08398,-77.15162,,"Rockville",,"Montgomery County","Maryland","It is on Courthouse Square near North and South Washington Street, on the left when traveling west. <font color=red> Reported permanently removed.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=59,1/9/2006,7/16/2022
60,,"Rockville","County Seat of Montgomery (formerly part of Frederick) County",,1956,"State Roads Commission",39.08334,-77.15301,"99 South Washington Street","Rockville",,"Montgomery County","Maryland","It is at the intersection of South Washington Street and West Jefferson Street (Maryland Route 28), on the left when traveling north on South Washington Street. ",,https://www.hmdb.org/m.asp?m=60,1/10/2006,12/29/2024
61,,"Saint Mary’s Church","Lost Rockville - 1801 to 1850",,2001,"City of Rockville, Maryland, and The Rockville Historic District Commission",39.08212,-77.14577,"8 Baltimore Rd","Rockville",,"Montgomery County","Maryland","It is at the intersection of Viers Mill Road (Maryland Route 28) and Rockville Pike ( Route 355), on the right when traveling west on Viers Mill Road. <font color=red> Reported permanently removed.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=61,1/10/2006,6/6/2021
65,,"Court House Square","""Burning with Enthusiasm""","Gettysburg Campaign",,"Maryland Civil War Trails",39.08374,-77.15109,"29 Courthouse Square","Rockville",,"Montgomery County","Maryland","It is on Maryland Avenue south of East Montgomery Avenue, on the right when traveling south. <font color=red> Reported permanently removed.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=65,1/15/2006,7/23/2022
73,,"Gettysburg Campaign","Invasion & Retreat",,,,39.08372,-77.15110,"29 Courthouse Sq","Rockville",,"Montgomery County","Maryland","It is on Maryland Avnue south of East Montgomery Avenue, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=73,1/17/2006,7/23/2022
74,,"The Prettyman House","Lost Rockville - 1801 to 1850",,2001,"City of Rockville, Maryland and The Rockville Historic District Commission",39.08306,-77.15619,"104 West Jefferson Street","Rockville",,"Montgomery County","Maryland","It is at the intersection of West Jefferson Street (Maryland Route 28) and South Van Buren Street, on the right when traveling east on West Jefferson Street. <font color=red> Reported permanently removed.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=74,1/18/2006,5/29/2024
77,,"Maj. Gen. Edward Braddock and His Men",,,,"Janet Montgomery Chapter, Daughters of the American Revolution",39.08367,-77.15125,,"Rockville",,"Montgomery County","Maryland","It is on Courthouse Square near East Jefferson Street ( Route 28), on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=77,1/18/2006,6/6/2021
78,,"Veirs Mill",,,,"Montgomery County Department of Park and Planning",39.07200,-77.10925,"2526 Veirs Mill Rd","Rockville","Aspen Hill","Montgomery County","Maryland","It is on Viers Mill Road (Maryland Route 586) near Twinbrook Parkway, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=78,1/18/2006,2/21/2023
83,,"The Georgetown Branch Railroad",,,,,38.98006,-77.09650,"4800 Bethesda Ave","Bethesda",,"Montgomery County","Maryland","It can be reached from the intersection of Bethesda Avenue and Woodmont Avenue, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=83,1/24/2006,4/7/2023
