MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
1614,,"Commonwealth of Toil","Longshoremen’s Union",,,"Massachusetts AFL-CIO",41.63492,-70.92116,,"New Bedford",,"Bristol County","Massachusetts","It is on Front Street near Union Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=1614,7/14/2007,1/12/2020
1615,,"Frederick Douglass","1818–1895",,1996,,41.63520,-70.92756,"133 William Street","New Bedford",,"Bristol County","Massachusetts","It is on William Street near North 6th Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=1615,7/14/2007,11/22/2019
1616,,"Lewis Temple","Blacksmith","Inventor of the Iron Toggle Harpoon Tip",1987,,41.63495,-70.92707,"613 Pleasant Street","New Bedford",,"Bristol County","Massachusetts","It is on Pleasant Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=1616,7/14/2007,11/22/2019
1617,,"Prince Henry the Navigator of Portugal","1394 – 1460",,1940,"the People of Portuguese descent in New England and their friends.",41.68749,-71.13027,,"Fall River",,"Bristol County","Massachusetts","It is at the intersection of Eastern Avenue and Pleasant Street, in the median on Eastern Avenue. ",,https://www.hmdb.org/m.asp?m=1617,7/11/2007,3/13/2024
1618,,"Adin Ballou Memorial",,,1900,,42.13113,-71.54102,,"Hopedale",,"Worcester County","Massachusetts","It is on Hopedale Street near Peace Street, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=1618,7/14/2007,10/22/2019
1619,,"Central Street",,,,"City of Lowell",42.64331,-71.30852,"159 Central Street","Lowell",,"Middlesex County","Massachusetts","It can be reached from Central Street near Warren Street. ",,https://www.hmdb.org/m.asp?m=1619,7/14/2007,7/14/2007
1620,,"The Worker",,,,"Lowell Heritage State Park and Lowell National Historical Park",42.64486,-71.31289,,"Lowell",,"Middlesex County","Massachusetts","It is on Kirk Street near French Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=1620,7/14/2007,11/22/2019
1626,,"Whaleman’s Memorial",,,1913,"William Wallace Crapo (1830–1926), New Bedord lawyer and congressional representative 1875–1883.",41.63517,-70.92713,"613 Pleasant St.","New Bedford",,"Bristol County","Massachusetts","It is on Pleasant Street. ",,https://www.hmdb.org/m.asp?m=1626,7/15/2007,7/15/2007
2642,,"The View from the French King Bridge",,,1932,,42.59767,-72.49653,,"Erving",,"Franklin County","Massachusetts","It is on Mohawk Trail (Massachusetts Route 2), on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=2642,9/22/2007,7/11/2020
2850,,"Hingham Massachusetts",,,1939,"Old Colony Chapter, Daughters of the American Revolution",42.24298,-70.88793,,"Hingham",,"Plymouth County","Massachusetts","It is on North Street. ",,https://www.hmdb.org/m.asp?m=2850,10/9/2007,10/10/2007
2851,,"Reverend Peter Hobart",,,,,42.24347,-70.88652,,"Hingham",,"Plymouth County","Massachusetts","It is on North Street near Station Street. ",,https://www.hmdb.org/m.asp?m=2851,10/10/2007,11/22/2019
2896,,"Plymouth Rock",,,,"Commonwealth of Massachusetts",41.95787,-70.66211,,"Plymouth",,"Plymouth County","Massachusetts","It is at the intersection of Water Street and North Street, on the left when traveling south on Water Street. ",,https://www.hmdb.org/m.asp?m=2896,10/11/2007,5/14/2023
3814,,"Great Point Light","Rededicated September 6, 1986",,,,41.39007,-70.04824,,"Nantucket","Wauwinet","Nantucket County","Massachusetts","It is on Great Point Beach Road. ",,https://www.hmdb.org/m.asp?m=3814,11/29/2007,11/1/2024
4369,,"54th Infantry - 55th Infantry - 5th Cavalry","Massachusetts Volunteer Militia",,,,42.23478,-71.13240,"31 Parkson St","Boston","Hyde Park","Suffolk County","Massachusetts","It is at the intersection of Standbro Street and Hyde Park Avenue, on the right when traveling east on Standbro Street. ",,https://www.hmdb.org/m.asp?m=4369,12/24/2007,2/2/2023
6207,,"Massasoit",,,1921,"Improved Order of Red Men",41.95806,-70.66250,,"Plymouth",,"Plymouth County","Massachusetts","It is on Water Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=6207,3/16/2008,11/24/2021
6324,,"In Commemoration",,,1973,"The City Of Boston",42.35233,-71.05225,,"Boston","Downtown","Suffolk County","Massachusetts","It can be reached from the intersection of Congress Street and Dorchester Avenue, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=6324,3/19/2008,1/30/2023
7791,,"Shays’ Rebellion",,,1900,"George Washington Chapter Sons of the American Revolution",42.10881,-72.57568,"1 Federal St","Springfield","McKnight","Hampden County","Massachusetts","It is on State Street near Federal Street, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=7791,5/20/2008,9/30/2020
12264,,"Fitchburg Civil War Memorial",,,1873,,42.58389,-71.80139,,"Fitchburg",,"Worcester County","Massachusetts","It is on Main Street near Newton Place. ",,https://www.hmdb.org/m.asp?m=12264,10/9/2008,5/13/2019
16723,,"White's Factory","(1831)",,1994,"Achusnet Historical Commission & David White, President, White's Dairy",41.69551,-70.91591,,"Acushnet",,"Bristol County","Massachusetts","It is on Hamlin Street. ",,https://www.hmdb.org/m.asp?m=16723,3/4/2009,9/29/2020
