MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
1191,"L1647","Manistee Fire Hall",,,1990,,44.24568,-86.31617,"281 First Street","Manistee",,"Manistee County","Michigan","It is on First Street near Hancock Street. ",,https://www.hmdb.org/m.asp?m=1191,6/18/2007,1/18/2022
1192,"L0124","Ramsdell Theatre","Registered Michigan Historic Site",,1980,,44.24585,-86.32382,"101 Maple Street","Manistee",,"Manistee County","Michigan","It is on Maple Street near 1st Street. ",,https://www.hmdb.org/m.asp?m=1192,6/18/2007,2/25/2022
1593,"L1256","New Buffalo Welcome Center",,,1986,"Bureau of History, Michigan Department of State",41.76500,-86.74060,,"New Buffalo",,"Berrien County","Michigan","It is on Interstate 94. ",,https://www.hmdb.org/m.asp?m=1593,7/14/2007,10/6/2024
1603,"S0239","The Dewey Cannon",,,1963,"Michigan Historical Commission",41.80147,-86.60868,,"Three Oaks",,"Berrien County","Michigan","It can be reached from East Central Avenue near North Elm Street. ",,https://www.hmdb.org/m.asp?m=1603,7/13/2007,11/23/2019
1605,"L0734","Wesley United Methodist Church",,,1982,"Michigan History Division, Department of State",41.82894,-86.25600,"302 Cedar Street","Niles",,"Berrien County","Michigan","It is on Cedar Street. ",,https://www.hmdb.org/m.asp?m=1605,7/14/2007,7/14/2007
1606,"S0344","Saint Mary’s",,,1971,,41.82511,-86.26374,"211 South Lincoln","Niles",,"Berrien County","Michigan","It is on South Lincoln Avenue (Business U.S. 12) near Clay Street. ",,https://www.hmdb.org/m.asp?m=1606,7/14/2007,7/21/2007
1607,"L1902","Second Baptist Church",,,1994,,41.83177,-86.25238,"601 Ferry St.","Niles",,"Berrien County","Michigan","It is on Ferry Street near North 5th Street (Michigan Highway 51). ",,https://www.hmdb.org/m.asp?m=1607,7/14/2007,7/14/2007
1628,"S4","Fort St. Joseph",,,1957,,41.81271,-86.26147,,"Niles",,"Berrien County","Michigan","It is on South Bond St. near Fort Street. ",,https://www.hmdb.org/m.asp?m=1628,7/11/2007,7/10/2022
1629,"L1643","Four Flags Hotel",,,1990,"the Bureau of History, Michigan Department of State",41.82985,-86.25475,"404 East Main Street","Niles",,"Berrien County","Michigan","It is on East Main Street (Business U.S. 12) near 4th Street. ",,https://www.hmdb.org/m.asp?m=1629,7/15/2007,11/25/2024
1632,"S0339","Ring Lardner",,,1971,"Michigan Historical Commission",41.82261,-86.25517,"519 Bond St.","Niles",,"Berrien County","Michigan","It is on Bond Street north of Fort Street. ",,https://www.hmdb.org/m.asp?m=1632,7/15/2007,10/17/2024
1634,"L0062","Trinity Church",,,1966,"Michigan Historical Commission",41.82766,-86.25489,"9 S Fourth St.","Niles",,"Berrien County","Michigan","It is on South Fourth Street near Broadway Street. ",,https://www.hmdb.org/m.asp?m=1634,7/15/2007,3/19/2009
1635,"L477","Ferry Street School",,,1980,"Michigan History Division, Department of State",41.83177,-86.25218,"620 Ferry Street","Niles",,"Berrien County","Michigan","It is on Ferry Street near North 6th Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=1635,7/15/2007,6/14/2023
1706,"L0475","The Chapin House / Henry Austin Chapin",,,1979,,41.82981,-86.25375,"508 E Main St.","Niles",,"Berrien County","Michigan","It is on East Main Street. ",,https://www.hmdb.org/m.asp?m=1706,7/18/2007,11/23/2019
1707,"S0655","John and Horace Dodge / The Dodge Brothers",,,1996,"Michigan Historical Division, Michigan Department of State",41.84413,-86.25048,"1724 N. 5th St","Niles",,"Berrien County","Michigan","It is on North Fifth Street. ",,https://www.hmdb.org/m.asp?m=1707,7/18/2007,11/23/2019
1873,"L1466","Pears Mill","Registered Michigan Historic Site",,1989,"Bureau of History, Michigan Department of State",41.82694,-86.36110,"123 S. Oak","Buchanan",,"Berrien County","Michigan","It is on South Oak Street south of Front Street. ",,https://www.hmdb.org/m.asp?m=1873,7/28/2007,4/1/2022
1987,,"Island-Hopping the Straits",,,,,45.78377,-84.72313,,"Mackinaw City",,"Cheboygan County","Michigan","It can be reached from North Huron Avenue, on the right when traveling north. <font color=red> Reported permanently removed.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=1987,8/5/2007,12/7/2024
1995,,"Mackinac Bridge","Courageous Members of Organized Labor",,1958,,45.78788,-84.73221,,"Mackinaw City",,"Emmet County","Michigan","It can be reached from North Huron Avenue, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=1995,8/5/2007,1/30/2021
4117,,"The Iron Brigade / The Twenty-Fourth Michigan Volunteer Infantry Regiment",,,1994,"Sons of Union Veterans of the Civil War, M.O.L.L.U.S., 24th Michigan Volunteer Infantry Regiment, Inc.",41.76505,-86.74071,,"New Buffalo",,"Berrien County","Michigan","It is on Interstate 94. ",,https://www.hmdb.org/m.asp?m=4117,12/11/2007,10/6/2024
4414,"84","Menominee Area",,,1957,"Michigan Historical Commission",45.10760,-87.61950,,"Menominee",,"Menominee County","Michigan","It is on Bridge Street (U.S. 41) south of 10th Avenue, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=4414,12/30/2007,1/29/2022
4439,"120","Lake Michigan",,,1957,"Michigan Historical Commission",45.88420,-84.83590,,"St. Ignace","Moran Township","Mackinac County","Michigan","It can be reached from U.S. 2, 0.2 miles east of Cheeseman Road, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=4439,12/31/2007,6/19/2024
4446,"L1255","Epoufette",,,1980,"Hendricks Township; Bureau of History, Michigan Department of State",46.05720,-85.16270,,"Epoufette","Hendricks Township","Mackinac County","Michigan","It is on U.S. 2 west of Hiawatha Trail Road, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=4446,1/1/2008,6/18/2024
4452,,"Point Iroquois",,,,,46.48380,-84.63160,,"Brimley",,"Chippewa County","Michigan","It is on West Lake Shore Drive, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=4452,1/3/2008,1/14/2014
