MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
2756,,"Birthplace of Greyhound Lines",,,1953,"Greyhound Corporation",47.43834,-92.93955,"1201 Greyhound Blvd.","Hibbing","Kelly Lake","Saint Louis County","Minnesota","It can be reached from Greyhound Boulevard/3rd Avenue East, 0.2 miles north of 13th Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=2756,10/4/2007,2/12/2023
2758,,"Edgar A. Culbertson","BM1",,,"the people of Duluth",46.77992,-92.09166,,"Duluth","Canal Park","Saint Louis County","Minnesota","It can be reached from Canal Park Drive, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=2758,10/5/2007,2/12/2023
2802,"9","The Great Hinckley Fire",,,1900,"The State of Minnesota",46.01109,-92.92365,,"Hinckley",,"Pine County","Minnesota","It is on Fire Monument Road (State Highway 48) 0.2 miles east of Morris Avenue (County Road 140), on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=2802,10/7/2007,4/3/2021
2833,,"Hull-Rust-Mahoning Mine",,,1999,"the Minnesota Historical Society",47.44768,-92.94676,,"Hibbing","Kelly Lake","Saint Louis County","Minnesota","It can be reached from Greyhound Boulevard/3rd Avenue East, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=2833,10/8/2007,2/12/2023
2840,,"George R. Stuntz",,,1935,"the Hibbing First Settlers’ Association and the people of Hibbing",47.40189,-92.94180,,"Hibbing","Kelly Lake","Saint Louis County","Minnesota","It is at the intersection of 1st Avenue East and Hematite Street, on the right when traveling south on 1st Avenue East. ",,https://www.hmdb.org/m.asp?m=2840,10/8/2007,2/12/2023
2872,,"John Mariucci",,,1989,"The American Hockey Players",47.47058,-92.52795,"801 Hat Trick Avenue","Eveleth",,"Saint Louis County","Minnesota","It is on Hat Trick Avenue, ½ mile north of Jones Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=2872,10/10/2007,11/23/2019
2876,,"Daniel De Gresolon, Sieur Du Lhut",,,1938,"Greysolon Du Lhut Chapter, Daughters of the American Revolution, in June",46.77969,-92.09313,,"Duluth","Canal Park","Saint Louis County","Minnesota","It can be reached from South Lake Avenue, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=2876,10/10/2007,2/12/2023
2883,,"Illumination History of the Aerial Lift Bridge",,,,,46.77955,-92.09302,,"Duluth","Canal Park","Saint Louis County","Minnesota","It can be reached from South Lake Avenue, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=2883,10/11/2007,2/12/2023
2891,,"Paul Wellstone Memorial and Historic Site",,,,,47.40333,-92.45855,"7365 Bodas Road","Eveleth",,"Saint Louis County","Minnesota","It is on Bodas Road (County Road 95) 0.2 miles east of Scout Camp Road (County Road 536), on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=2891,10/11/2007,9/27/2022
2910,,"Lewis G. Castle",,,1959,"Duluth Chamber of Commerce",46.77992,-92.09160,,"Duluth","Canal Park","Saint Louis County","Minnesota","It can be reached from Canal Park Drive when traveling south. ",,https://www.hmdb.org/m.asp?m=2910,10/11/2007,2/12/2023
