MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
755,,"Madison County Courthouse",,,1977,"Mississippi Department of Archives and History",32.61331,-90.03549,,"Canton",,"Madison County","Mississippi","It is at the intersection of North Liberty Street (U.S. 51) and East Peace Street (Mississippi Highway 22), on the right when traveling south on North Liberty Street. ",,https://www.hmdb.org/m.asp?m=755,12/12/2006,7/18/2017
4477,"MS-54","Birthplace of Elvis Presley",,,1977,"Mississippi Department of Archives and History",34.25995,-88.67984,"306 Elvis Presley Dr.","Tupelo",,"Lee County","Mississippi","It is on Elvis Presley Drive, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=4477,1/4/2008,11/23/2019
4479,,"Natchez",,,1949,"Mississippi Department of Archives and History",31.56166,-91.40667,,"Natchez",,"Adams County","Mississippi","It is at the intersection of S. Broadway St and Bontura Street, on the right when traveling south on S. Broadway St. ",,https://www.hmdb.org/m.asp?m=4479,1/5/2008,2/2/2020
4555,,"The Natchez Trace",,,1909,"Daughters of the American Revolution",31.56234,-91.40604,,"Natchez",,"Adams County","Mississippi","It is on N. Broadway Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=4555,1/6/2008,1/8/2022
5142,,"U.S.S. Mississippi",,,,,32.30472,-90.18275,"400 High Street","Jackson","Belhaven","Hinds County","Mississippi","It is on High Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=5142,2/4/2008,3/1/2025
5738,,"General Sturgis' Supreme Effort",,,1957,"Act of Legislature of the State of Mississippi, J.P.Coleman, Governor",34.50611,-88.72861,,"Baldwyn",,"Lee County","Mississippi","It is on MS Hwy 370, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=5738,2/25/2008,12/24/2024
5739,,"Battle of Tupelo",,,,"State of Mississippi",34.25534,-88.73651,,"Tupelo",,"Lee County","Mississippi","It is at the intersection of West Main Street (U.S. 278) and Monument Drive, on the right when traveling east on West Main Street. ",,https://www.hmdb.org/m.asp?m=5739,2/25/2008,12/19/2015
5991,,"The Surrender Interview Site","July 3, 1863",,,,32.35734,-90.84467,,"Vicksburg National Military Park",,"Warren County","Mississippi","It is on Pemberton Avenue. ",,https://www.hmdb.org/m.asp?m=5991,3/6/2008,12/2/2023
6784,,"Battle of Tupelo","The Western Campaign, 1864",,,"National Park Service, U.S. Department of the Interior",34.25560,-88.73679,,"Tupelo",,"Lee County","Mississippi","It is at the intersection of West Main Street (U.S. 278) and Monument Drive, on the right when traveling east on West Main Street. ",,https://www.hmdb.org/m.asp?m=6784,3/31/2008,6/22/2022
8365,,"Battle of Brices Cross Roads","June 10, 1864","The Western Campaign, 1864",,"National Park Service, United States Department of the Interior",34.50611,-88.72861,,"Baldwyn",,"Lee County","Mississippi","It is at the intersection of Bethany Road (State Highway 370) and County Route 833, on the right when traveling west on Bethany Road. ",,https://www.hmdb.org/m.asp?m=8365,6/17/2008,9/26/2015
8457,,"Baldwin Locomotive No. 601",,,1987,"Mississippi Department of Archives and History",33.49984,-88.41208,,"Columbus",,"Lowndes County","Mississippi","It is on 3rd Avenue North west of 19th Street North. ",,https://www.hmdb.org/m.asp?m=8457,6/21/2008,10/5/2020
8477,,"Beersheba Cumberland Presbyterian Church and Cemetery",,,1992,"Mississippi Department of Archives and History.",33.46906,-88.30130,"1736 Beersheba Rd","Columbus",,"Lowndes County","Mississippi","It is on Beersheba Road. ",,https://www.hmdb.org/m.asp?m=8477,6/22/2008,1/22/2017
8484,,"Bethel Presbyterian Church",,,1989,"Mississippi Department of Archives and History",33.35577,-88.52312,,"Columbus",,"Lowndes County","Mississippi","It is on Gun Club Road. ",,https://www.hmdb.org/m.asp?m=8484,6/23/2008,8/26/2015
8485,,"Brownlee Family Cemetery - 1825",,,1977,"Mississippi Department of Archives and History",33.41940,-88.33538,,"New Hope",,"Lowndes County","Mississippi","It is at the intersection of State Highway 69 and Golding Road on State Highway 69. ",,https://www.hmdb.org/m.asp?m=8485,6/25/2008,8/12/2021
8486,,"Church of the Annunciation",,,1975,"Mississippi Department of Archives and History",33.49449,-88.42399,,"Columbus",,"Lowndes County","Mississippi","It is on 8th Street near College Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=8486,6/25/2008,10/5/2020
8487,,"Columbus",,,1949,"Mississippi Historical Commission",33.49433,-88.43255,,"Columbus",,"Lowndes County","Mississippi","It is on Main Street (State Highway 182) near Old Highway 82W. ",,https://www.hmdb.org/m.asp?m=8487,6/25/2008,8/26/2015
8552,,"Confederate Decoration Day",,,1957,"Mississippi Historical Commission",33.49266,-88.43027,,"Columbus",,"Lowndes County","Mississippi","It is on 3rd Street South near 3rd Avenue South. ",,https://www.hmdb.org/m.asp?m=8552,6/26/2008,3/26/2022
8553,,"C.S.A. Arsenal",,,1957,"Mississippi Historical Commission",33.48715,-88.42413,,"Columbus",,"Lowndes County","Mississippi","It is on 9th Avenue South. ",,https://www.hmdb.org/m.asp?m=8553,6/26/2008,4/10/2024
8554,,"Demonstration School",,,1991,"Mississippi Department of Archives and History",33.49178,-88.42000,,"Columbus",,"Lowndes County","Mississippi","It is on 11th Street South, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=8554,6/26/2008,4/10/2024
8555,,"First Christian Church",,,1966,"Mississippi Historical Commission",33.49645,-88.42733,,"Columbus",,"Lowndes County","Mississippi","It is at the intersection of 2nd Avenue North and N. 6th Street on 2nd Avenue North. ",,https://www.hmdb.org/m.asp?m=8555,6/26/2008,12/2/2008
8556,,"First Home of Tennessee Williams",,,1974,"Mississippi Department of Archives and History",33.49468,-88.43033,"300 Main Street","Columbus",,"Lowndes County","Mississippi","It is on Main Street. ",,https://www.hmdb.org/m.asp?m=8556,6/26/2008,1/5/2025
8557,,"First Methodist Church",,,1967,"Mississippi Historical Commission",33.49523,-88.42680,,"Columbus",,"Lowndes County","Mississippi","It is on Main Street. ",,https://www.hmdb.org/m.asp?m=8557,6/26/2008,4/10/2024
8582,,"Franklin Academy",,,1958,"Mississippi Historical Commission",33.49755,-88.42843,"501 3rd Avenue North","Columbus",,"Lowndes County","Mississippi","It is on 3rd Avenue North near N. 5th Street (U.S. 45). ",,https://www.hmdb.org/m.asp?m=8582,6/27/2008,8/27/2015
8583,,"Friendship Cemetery",,,1967,"Mississippi Historical Commission",33.49542,-88.42595,,"Columbus",,"Lowndes County","Mississippi","It is at the intersection of Main Street (State Highway 182) and 7th Street, in the median on Main Street. ",,https://www.hmdb.org/m.asp?m=8583,6/27/2008,11/23/2019
8584,,"James T. Harrison Home",,,,,33.49952,-88.42403,"419 9th Street North","Columbus",,"Lowndes County","Mississippi","It is at the intersection of 9th Street North and Military Road on 9th Street North. ",,https://www.hmdb.org/m.asp?m=8584,6/28/2008,4/10/2024
8585,,"Military Road",,,1952,"Mississippi Historical Commission",33.50683,-88.41992,,"Columbus",,"Lowndes County","Mississippi","It is at the intersection of Military Road (State Highway 12) and 11th Avenue North, on the right when traveling south on Military Road. ",,https://www.hmdb.org/m.asp?m=8585,7/1/2008,7/4/2008
8586,,"Mississippi State College for Women",,,1950,"Mississippi Historical Commission",33.49488,-88.42042,,"Columbus",,"Lowndes County","Mississippi","It is at the intersection of College Street and 11th Street South, on the right when traveling east on College Street. ",,https://www.hmdb.org/m.asp?m=8586,7/1/2008,4/10/2024
8622,,"Rural Hill School",,,1999,"Mississippi Department of Archives and History",33.52790,-88.30335,,"Columbus",,"Lowndes County","Mississippi","It is at the intersection of Omega Drive and Miller Road on Omega Drive. ",,https://www.hmdb.org/m.asp?m=8622,7/1/2008,4/10/2024
8623,,"S.D. Lee Home",,,,"Mississippi Historical Commission",33.49831,-88.42612,"316 7th Street North","Columbus",,"Lowndes County","Mississippi","It is on 7th Street North north of 3rd Avenue North, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=8623,6/29/2008,4/10/2024
8624,,"St. Paul's Episcopal Church",,,1977,"Mississippi Department of Archives and History",33.49372,-88.42948,,"Columbus",,"Lowndes County","Mississippi","It is at the intersection of 2nd Avenue and 4th Street South on 2nd Avenue. ",,https://www.hmdb.org/m.asp?m=8624,7/6/2008,8/28/2015
