MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
4401,,"Tom Sawyer’s Fence",,,,"Mark Twain Museum",39.71197,-91.35760,"206 Hill St","Hannibal",,"Marion County","Missouri","It is on Hill Street just west of North Main Street. ",,https://www.hmdb.org/m.asp?m=4401,12/29/2007,11/23/2024
4662,,"Becky Thatcher's Home",,,1934,"Mark Twain Museum",39.71185,-91.35788,"211 Hill Street","Hannibal",,"Marion County","Missouri","It is on Hill Street west of Main Street, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=4662,1/10/2008,9/20/2020
4946,,"In Memory of Robert E. Lee","Engineer, St. Louis Harbor","1837-1841",1977,"The Missouri Committee R.E. Lee Memorial Association",38.62392,-90.18393,"50 S Leonor K Sullivan Blvd","St. Louis","Downtown","St. Louis","Missouri","It is on South Leonor K Sullivan Boulevard, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=4946,1/25/2008,4/2/2023
4989,,"Saint Joseph",,,1953,"State Historical Society of Missouri and State Highway Commission",39.75630,-94.84898,"914 Penn Street","St. Joseph",,"Buchanan County","Missouri","It is on Penn Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=4989,1/27/2008,4/26/2022
6706,,"Mutual Musicians Association Building",,,1981,"National Park Service",39.09023,-94.56204,"1823 Highland Avenue","Kansas City","East Side","Jackson County","Missouri","It is at the intersection of Highland Avenue, on the right when traveling north on Highland Avenue. ",,https://www.hmdb.org/m.asp?m=6706,3/28/2008,3/6/2025
8113,"XIV","Death of Brigadier General Nathaniel Lyon",,,1928,"The University Club of Springfield, Missouri",37.10498,-93.41162,,"Battlefield","Brookline","Greene County","Missouri","It can be reached from Tour Road, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=8113,6/2/2008,9/2/2024
12342,,"New Madrid & Island No. Ten","A State Divided: The Civil War in Missouri",,,"Missouri Department of Natural Resources",36.58318,-89.52677,,"New Madrid",,"New Madrid County","Missouri","It is at the intersection of Levee Road and Main Street, on the right when traveling east on Levee Road. ",,https://www.hmdb.org/m.asp?m=12342,10/10/2008,11/23/2024
17477,,"Kennett",,,1957,"State Historical Society of Missouri and State Highway Commission",36.23720,-90.05559,,"Kennett",,"Dunklin County","Missouri","It is at the intersection of College Street and North Court Square, on the right on College Street. ",,https://www.hmdb.org/m.asp?m=17477,3/30/2009,11/22/2024
17483,,"The Village of Kennett",,,,,36.23800,-90.05554,,"Kennett",,"Dunklin County","Missouri","It is at the intersection of College Street and Cedar Street, on the right when traveling north on College Street. ",,https://www.hmdb.org/m.asp?m=17483,3/30/2009,3/30/2009
17721,,"Mississippi County",,,1959,"State Historical Society of Missouri and State Highway Commission",36.92207,-89.30301,,"Charleston",,"Mississippi County","Missouri","It is on East Marshall Street (U.S. 62), on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=17721,4/6/2009,11/23/2024
