MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
4326,,"Bozeman Trail",,,,,45.60043,-109.06610,,"Columbus",,"Stillwater County","Montana","It can be reached from Interstate 90. ",,https://www.hmdb.org/m.asp?m=4326,12/20/2007,3/13/2024
7022,,"Little Bighorn Battlefield National Monument",,,,"National Park Service, U.S. Department of the Interior",45.57050,-107.42787,,"Crow Agency",,"Big Horn County","Montana","It can be reached from Interstate 90 at milepost 510 near U.S. 212. ",,https://www.hmdb.org/m.asp?m=7022,4/11/2008,12/27/2024
9697,,"Bearpaw Shale and the Inland Ocean",,,,,46.98989,-107.85969,,"Mosby",,"Garfield County","Montana","It is on State Highway 200, 1.4 miles east of Garfield/Petroleum County Line, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=9697,7/30/2008,12/27/2024
9698,,"Fort Musselshell",,,,,46.98983,-107.85944,,"Mosby",,"Garfield County","Montana","It is on Route 200, 1.4 miles east of Garfield/Petroleum County line (Montana Highway 200), on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=9698,7/30/2008,12/27/2024
9700,,"Kerchival City",,,,,46.98990,-107.85960,,"Mosby",,"Garfield County","Montana","It is on State Highway 200, 1.4 miles east of Garfield/Petroleum County line. ",,https://www.hmdb.org/m.asp?m=9700,7/30/2008,12/27/2024
21636,,"Little Bighorn Battlefield",,,,,45.52223,-107.37758,,"Crow Agency",,"Big Horn County","Montana","It is on Little Bighorn Battlefield Road, in the median. ",,https://www.hmdb.org/m.asp?m=21636,8/16/2009,8/8/2015
21638,,"Custer Last Seen","(Little Bighorn Battlefield)",,,,45.53400,-107.39219,,"Crow Agency",,"Big Horn County","Montana","It is on Little Bighorn Battlefield Road. ",,https://www.hmdb.org/m.asp?m=21638,8/16/2009,8/16/2009
21640,,"Weir Point Fight","(Little Bighorn Battlefield)",,,,45.53577,-107.39419,,"Crow Agency",,"Big Horn County","Montana","It is on Little Bighorn Battlefield Road. ",,https://www.hmdb.org/m.asp?m=21640,8/16/2009,1/5/2025
21642,,"Medicine Tail Coulee Ford","(Little Bighorn Battlefield)",,,,45.54860,-107.41146,,"Crow Agency",,"Big Horn County","Montana","It is on Little Bighorn Battlefield Road. ",,https://www.hmdb.org/m.asp?m=21642,8/16/2009,8/16/2009
21643,,"Calhoun Hill","(Little Bighorn Battlefield)",,,,45.56417,-107.41779,,"Crow Agency",,"Big Horn County","Montana","It is on Little Bighorn Battlefield Road. ",,https://www.hmdb.org/m.asp?m=21643,8/16/2009,10/14/2020
21644,,"Companies F and I","(Little Bighorn Battlefield)",,,,45.56593,-107.42234,,"Crow Agency",,"Big Horn County","Montana","It is on Battlefield Tour Road. ",,https://www.hmdb.org/m.asp?m=21644,8/16/2009,9/16/2024
21645,,"Companies C & E","(Little Bighorn Battlefield)",,,,45.57037,-107.42732,,"Crow Agency",,"Big Horn County","Montana","It is on Little Bighorn Battlefield Road. ",,https://www.hmdb.org/m.asp?m=21645,8/16/2009,10/14/2020
23926,,"The Bob Marshall Wilderness Country",,,,"Montana State Highway Commission",46.99503,-113.02422,,"Ovando",,"Powell County","Montana","It is on State Highway 200, 0.1 miles east of Roller Coaster Road, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=23926,11/6/2009,11/7/2021
28814,,"The Place Where the White Horse Went Down",,,,,45.80242,-108.48083,,"Billings",,"Yellowstone County","Montana","It is on 6th Avenue Bypass, 0.1 miles south of East Airport Road, on the left when traveling south. <font color=red> Reported permanently removed.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=28814,3/24/2010,8/1/2024
