MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
2147,,"Native Americans in the Lower Platte Valley",,,,"Nebraska Department of Roads & Nebraska State Historical Society",41.08421,-96.27543,,"Ashland",,"Saunders County","Nebraska","It is on the Westbound Rest Stop (Interstate 80 at milepost 431), on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=2147,8/23/2007,12/22/2024
2501,"130","Windlass Hill Pioneer Homestead",,,1967,"Ash Hollow Centennial Assocation and Nebraska Historical Society",41.28381,-102.11945,,"Lewellen",,"Garden County","Nebraska","It is on U.S. 26. ",,https://www.hmdb.org/m.asp?m=2501,9/18/2007,11/30/2021
2503,"15","Ash Hollow",,,,"Lewellen Lions Club and Historical Land Mark Council",41.30020,-102.11946,,"Lewellen",,"Garden County","Nebraska","It is on U.S. 26. ",,https://www.hmdb.org/m.asp?m=2503,9/18/2007,12/21/2024
2505,"160","Ash Hollow Geology",,,,"Nebraksa Geological Society and Nebraska State Historical Society",41.30166,-102.12088,,"Lewellen",,"Garden County","Nebraska","It is on U.S. 26. ",,https://www.hmdb.org/m.asp?m=2505,9/18/2007,10/28/2019
3705,,"The Mormon Pioneer Trail / The Rapture of Spring",,,,,41.49913,-102.61857,,"Lisco",,"Garden County","Nebraska","It is on U.S. 26. ",,https://www.hmdb.org/m.asp?m=3705,11/20/2007,12/21/2024
4529,"42","Bordeaux Trading Post",,,,"Citizens of Chadron, Historical Land Mark Council",42.82639,-102.93889,"6321 Highway 20","Chadron",,"Dawes County","Nebraska","It is on U.S. 20. ",,https://www.hmdb.org/m.asp?m=4529,1/7/2008,11/2/2020
4530,"304","The Fort Pierre-Fort Laramie Trail",,,,"Nebraska State Historical Society",42.83467,-103.06700,,"Chadron",,"Dawes County","Nebraska","It is on U.S. 385 near U.S. 20. ",,https://www.hmdb.org/m.asp?m=4530,1/5/2008,5/31/2011
7767,"457","The Death of Marshal Suverkrubbe",,,,"Fort Calhoun Enhancement Committee and the Nebraska State Historical Society",41.45152,-96.02634,,"Fort Calhoun",,"Washington County","Nebraska","It is on S. 14th Street (U.S. 75) 0.1 miles south of Madison St, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=7767,5/18/2008,1/20/2020
7793,"217","Cuming City Cemetery and Nature Preserve",,,,"Cuming City Cemetery Association, Nebraska State Historical Society",41.58889,-96.17345,,"Blair",,"Washington County","Nebraska","It is on County Road 14, ½ mile west of U.S. 75, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=7793,5/19/2008,7/18/2012
7794,"342","Lewis and Clark Campsites","August 3 and 4, 1804",,,"Nebraska State Historical Society, National Park Service",41.53489,-96.13106,"1278 Wilbur St., Blair, NE 68008","Blair",,"Washington County","Nebraska","",,https://www.hmdb.org/m.asp?m=7794,5/19/2008,10/28/2019
