MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
432,,"Friday’s Added Station",,,2004,,38.96411,-119.93909,,"Glenbrook",,"Douglas County","Nevada","It is on US Highway 50 (U.S. 50) near Lake Parkway, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=432,7/12/2006,2/21/2022
1266,,"Remember Metropolis",,,1989,"Desccendents of Metropolis Settlers",41.22802,-115.05789,,"Wells",,"Elko County","Nevada","It is on County Route 754, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=1266,6/25/2007,1/20/2020
1279,"56","Virgin Valley",,,1969,"Nevada State Park System and Southern Nevada Historical Society",36.80412,-114.06855,"35 West Mesquite Boulevard","Mesquite",,"Clark County","Nevada","It is at the intersection of West Mesquite Boulevard (Nevada Route 144) and Yucca Street, on the right when traveling west on West Mesquite Boulevard. ",,https://www.hmdb.org/m.asp?m=1279,6/26/2007,10/14/2020
1282,"4","Tithing Lot",,,2003,"City of Mesquite",36.80407,-114.06689,"9 E Mesquite Blvd.","Mesquite",,"Clark County","Nevada","It is on East Mesquite Boulevard, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=1282,6/26/2007,12/20/2020
1289,"58","Old Boundary","Nevada’s Southern Boundary 1861-1867",,1978,"Nevada State Park System, Southern Nevada Historical Society",37.04461,-114.98441,,"Alamo",,"Lincoln County","Nevada","It is on U.S. 93 at milepost 13,, 30 miles south of Alamo, Nevada, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=1289,6/27/2007,10/18/2013
1290,"38","Pahranagat Valley",,,1968,"Nevada State Park System, Lincoln County Area Development Committee",37.36222,-115.15918,,"Alamo",,"Lincoln County","Nevada","It is at the intersection of U.S. 93 and First South, on the left when traveling north on U.S. 93. ",,https://www.hmdb.org/m.asp?m=1290,6/27/2007,8/20/2024
1291,"205","Crystal Springs",,,1976,"Nevada State Park System, Nevada Historical Society",37.53263,-115.23353,,"Rachel",,"Lincoln County","Nevada","It is at the intersection of Nevada Route 375 and  Route 318, on the left when traveling north on Nevada Route 375. ",,https://www.hmdb.org/m.asp?m=1291,6/27/2007,10/28/2020
1293,,"Cherry Creek School",,,1999,"Lucinda Jane Saunders Chapter 1881, E Clampus Vitus",39.90072,-114.88885,,"Cherry Creek",,"White Pine County","Nevada","It is on C Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=1293,6/27/2007,12/4/2022
1300,"206","Hiko",,,1976,"Nevada State Park System, Nevada Historical Society",37.59671,-115.22391,,"Crystal Springs",,"Lincoln County","Nevada","It is on Nevada Route 318 at milepost 5, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=1300,6/27/2007,1/6/2020
1301,"323","Settlement of Lund",,,1966,"Daughters of Utah Pioneers",38.85688,-115.00768,"100 South Main","Lund",,"White Pine County","Nevada","It is at the intersection of Main Street (Nevada Route 318) and 1st South, on the right when traveling north on Main Street. ",,https://www.hmdb.org/m.asp?m=1301,6/27/2007,6/27/2007
