MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
19825,,"Merci Box Car",,,,"Voiture 559",42.99632,-71.48188,,"Manchester","Rimmon Heights","Hillsborough County","New Hampshire","It is at the intersection of Reed Street and Reed Street just off Bremer Street when traveling south on Reed Street. ",,https://www.hmdb.org/m.asp?m=19825,6/13/2009,2/16/2023
23380,,"Oracle House","Circa 1702",,,,43.07696,-70.75283,,"Portsmouth",,"Rockingham County","New Hampshire","It is at the intersection of Marcy St. and Court St., on the right when traveling south on Marcy St.. ",,https://www.hmdb.org/m.asp?m=23380,10/17/2009,11/24/2019
31541,,"George Leonard Smith Gun",,,,,42.98051,-70.96133,,"Exeter","Exeter","Rockingham County","New Hampshire","It is at the intersection of Winter Street and Railroad Avenue and Columbus Avenue, on the right when traveling north on Winter Street. ",,https://www.hmdb.org/m.asp?m=31541,6/7/2010,2/16/2023
32090,"33","The Ridge",,,1965,"New Hampshire Division of Historical Resources",43.90538,-72.13688,,"Orford",,"Grafton County","New Hampshire","It is at the intersection of Main Street (New Hampshire Route 10) and Bridge Street, on the right when traveling north on Main Street. ",,https://www.hmdb.org/m.asp?m=32090,6/21/2010,6/27/2019
41156,,"Site of the First Mill At Falls of the Squamscott River",,,,"Town of Exeter, New Hampshire",42.98183,-70.94569,,"Exeter","Exeter","Rockingham County","New Hampshire","It is on String Bridge, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=41156,3/28/2011,2/16/2023
41157,,"Powder House","— 1771 —",,,"Town of Exeter, New Hampshire",42.98592,-70.94870,,"Exeter","Exeter","Rockingham County","New Hampshire","It can be reached from Jady Hill Avenue. ",,https://www.hmdb.org/m.asp?m=41157,3/28/2011,2/16/2023
41158,,"Powder House","— 1771 —",,,"Town of Exeter, New Hampshire",42.98568,-70.95142,,"Exeter","Exeter","Rockingham County","New Hampshire","It is on Swasey Parkway, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=41158,3/28/2011,2/16/2023
43498,,"The Webster Homestead",,,,"Town of Boscawen",43.31488,-71.62001,"188 King Street","Boscawen",,"Merrimack County","New Hampshire","It is at the intersection of King Street (U.S. 4) and Depot Street, on the right when traveling north on King Street. ",,https://www.hmdb.org/m.asp?m=43498,6/23/2011,6/23/2011
44289,"218","Pierce Bridge",,,2009,"NH Division of Historical Resources and the NH Department of Transportation",44.27172,-71.63083,"3738 Main Street","Bethlehem",,"Grafton County","New Hampshire","It is at the intersection of Main Street (U.S. 302) and Beech Hill Road, on the right when traveling east on Main Street. ",,https://www.hmdb.org/m.asp?m=44289,7/8/2011,12/23/2020
44299,"30","The Crawford Family",,,1998,"NH Division of Historical Resources and the NH Department of Transportation",44.26323,-71.45783,,"Carroll","Bretton Woods","Coos County","New Hampshire","It is at the intersection of U.S. 302 and Base Station Road, on the right when traveling west on U.S. 302. ",,https://www.hmdb.org/m.asp?m=44299,7/11/2011,1/5/2025
