MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
523,,"The Frelinghuysen Tavern",,,1960,"the Somerset County Historical Society",40.56160,-74.53144,,"Bound Brook",,"Somerset County","New Jersey","It is on East Main Street east of Mountain Avenue. ",,https://www.hmdb.org/m.asp?m=523,9/14/2006,3/13/2024
527,,"Penn Station","Historic Site",,,"The Newark Preservation and Landmarks Committee",40.73470,-74.16455,"1 Raymond Plaza West","Newark","Central Ward","Essex County","New Jersey","It can be reached from Raymond Plaza West north of Market Street. ",,https://www.hmdb.org/m.asp?m=527,9/15/2006,2/16/2023
3572,,"First High School",,,1990,"Kiwanis Club of Trenton",40.21695,-74.76029,,"Trenton","Mill Hill","Mercer County","New Jersey","It is at the intersection of Market Street and Mercer Street, on the right when traveling west on Market Street. ",,https://www.hmdb.org/m.asp?m=3572,11/16/2007,2/16/2023
3654,,"First Synagogue",,,,"Har Sinai Temple, Centennial Committee",40.22046,-74.76638,"20 West State Street","Trenton","Downtown","Mercer County","New Jersey","It is on West State Street, 0.1 miles west of Warren Street, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=3654,11/19/2007,2/16/2023
3655,,"Government House",,,,"Mayors Citizens Committee, Trenton, N.J.",40.22051,-74.76664,"20 West State Street","Trenton","Downtown","Mercer County","New Jersey","It is on West State Street, 0.2 miles North Warren Street, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=3655,11/19/2007,2/16/2023
3657,,"Abraham Hunt House",,,1902,"the Trenton High School Class of 1904",40.22041,-74.76599,,"Trenton","Downtown","Mercer County","New Jersey","It is at the intersection of North Warren Street and West State Street, on the right when traveling south on North Warren Street. ",,https://www.hmdb.org/m.asp?m=3657,11/19/2007,2/16/2023
3658,,"First Professional Basketball Game",,,,,40.22041,-74.76599,"20 West State Street","Trenton","Downtown","Mercer County","New Jersey","It is at the intersection of North Warren Street and West State Street, on the right when traveling south on North Warren Street. ",,https://www.hmdb.org/m.asp?m=3658,11/19/2007,2/16/2023
3737,,"Mill Hill Historic District",,,1980,"the Old Mill Hill Society",40.21836,-74.76155,,"Trenton","Mill Hill","Mercer County","New Jersey","It is on S. Montgomery Street just north of Livingston Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=3737,11/29/2007,7/19/2023
3739,,"Washington’s Triumphal Arch",,,1989,"Kiwanis Club of Trenton",40.21841,-74.76404,,"Trenton","Mill Hill","Mercer County","New Jersey","It is at the intersection of South Broad Street and Lafayette Street, on the right when traveling north on South Broad Street. ",,https://www.hmdb.org/m.asp?m=3739,11/29/2007,2/16/2023
3740,,"Mahlon Stacy’s Grist Mill",,,,"Trenton Bicentennial Committee",40.21793,-74.76395,,"Trenton","Mill Hill","Mercer County","New Jersey","It is on South Broad Street, 0.2 miles south of Lafayette Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=3740,11/30/2007,2/16/2023
3744,,"Site of the Golden Swan",,,,"Trenton Bicentennial Committee",40.21930,-74.76625,,"Trenton","Downtown","Mercer County","New Jersey","It is at the intersection of West Front Street and South Warren Street, on the right when traveling east on West Front Street. ",,https://www.hmdb.org/m.asp?m=3744,11/30/2007,2/16/2023
