MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
703,,"Casa de Armijo",,,,,35.09586,-106.66941,"208 San Felipe St NW","Albuquerque","Old Town","Bernalillo County","New Mexico","It is at the intersection of San Felipe St., NW and S Plaza St NW, on the right when traveling north on San Felipe St., NW. ",,https://www.hmdb.org/m.asp?m=703,11/21/2006,2/2/2023
4314,,"Trinity Site",,,1965,"White Sands Missile Range",33.67730,-106.47528,,"White Sands Proving Grounds",,"Socorro County","New Mexico","",,https://www.hmdb.org/m.asp?m=4314,12/20/2007,7/14/2024
4378,,"Tucumcari Mountain",,,,,35.17900,-103.72556,,"Tucumcari",,"Quay County","New Mexico","It is on East Main St (U.S. 54), on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=4378,12/29/2007,5/18/2023
5979,,"Stephen Tyng Mather",,"July 4, 1887 - Jan. 22, 1930",,"National Park Service",32.17675,-104.44137,"727 NM-7","Carlsbad",,"Eddy County","New Mexico","It can be reached from State Road 7, 6.8 miles west of U.S. 62. ",,https://www.hmdb.org/m.asp?m=5979,3/5/2008,4/14/2022
6549,,"Oñate’s Route / El Camino Real","On the Camino Real / The King's Highway",,,,32.00642,-106.58178,,"Anthony",,"Doña Ana County","New Mexico","It can be reached from northbound I-10 (Interstate 10) when traveling north. ",,https://www.hmdb.org/m.asp?m=6549,3/25/2008,1/1/2025
6552,,"Brazito Battlefield",,,,,32.00643,-106.58173,,"Anthony",,"Doña Ana County","New Mexico","It can be reached from Interstate 10 when traveling north. ",,https://www.hmdb.org/m.asp?m=6552,3/25/2008,1/4/2021
6553,,"Butterfield Trail/Espejo's Expedition","/On the Camino Real",,,"New Mexico Historic Preservation Division",32.00648,-106.58168,,"Anthony",,"Doña Ana County","New Mexico","It can be reached from Interstate 10. ",,https://www.hmdb.org/m.asp?m=6553,3/25/2008,11/25/2019
6677,,"Confederate Soldiers",,,,,35.09608,-106.66980,,"Albuquerque","Old Town","Bernalillo County","New Mexico","It can be reached from San Felipe Street NW. ",,https://www.hmdb.org/m.asp?m=6677,3/27/2008,2/2/2023
6987,,"Butterfield Overland Trail","South Central Region",,,"District IV New Mexico State Garden Clubs, Inc.",32.27432,-106.79533,,"Mesilla",,"Doña Ana County","New Mexico","It is on Calle de Guadalupe, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=6987,4/10/2008,9/4/2012
6988,,"Plaza de Mesilla",,,1977,,32.27412,-106.79525,,"Mesilla",,"Doña Ana County","New Mexico","It is on Calle de Parian, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=6988,4/10/2008,1/4/2021
6989,,"All Servicemen and Women",,,1957,"Ray McCorkle Post No. 3242, Veterans of Foreign Wars",32.27412,-106.79525,,"Mesilla",,"Doña Ana County","New Mexico","It is on Calle de Parian, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=6989,4/10/2008,4/10/2008
6991,,"Head Quarters, Dept. of New Mexico","Fort Fillmore, Nov. 15th, 1854",,,,32.27412,-106.79525,,"Mesilla",,"Doña Ana County","New Mexico","It is on Calle de Parian, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=6991,4/11/2008,4/29/2022
6992,,"The Gadsden Purchase Celebration",,,,,32.27412,-106.79525,,"Mesilla",,"Doña Ana County","New Mexico","It is on Calle de Parian, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=6992,4/11/2008,4/29/2022
8504,,"Albuquerque","On the Camino Real","Population 331,767 ~ Elevation 5,310",,"New Mexico Historic Preservation Division",35.06537,-106.77415,,"Albuquerque","West Of Westland","Bernalillo County","New Mexico","It is on Central Avenue (U.S. 66) 0.7 miles east of Paseo Del Volcan Road SW, on the right when traveling east. <font color=red> Reported missing.</font>",Reported Missing,https://www.hmdb.org/m.asp?m=8504,6/23/2008,2/2/2023
14129,,"El Morro National Monument Inscription Rock",,,,"State of New Mexico",35.04324,-108.33807,,"Ramah",,"Cibola County","New Mexico","It is on State Road 53, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=14129,12/6/2008,1/1/2025
15072,,"McDonald Ranch House Trinity Site","National Historic Landmark","1972",1984,"US Army White Sands Missile Range",33.65058,-106.46024,,"White Sands Proving Grounds",,"Socorro County","New Mexico","It is on WSMR S Route 321. ",,https://www.hmdb.org/m.asp?m=15072,1/5/2009,1/1/2025
15073,,"Trinity Site",,,,,33.88444,-106.67167,,"White Sands Proving Grounds",,"Socorro County","New Mexico","It is on U.S. 380 near WSMR P Route 7 (State Road 525). ",,https://www.hmdb.org/m.asp?m=15073,1/5/2009,1/1/2025
22805,"177","Farmington, New Mexico",,,1952,"Daughters of the Utah Pioneers, To-tah Camp, San Juan Co., N.M.",36.73438,-108.20935,"400 West Apache Street","Farmington",,"San Juan County","New Mexico","It is on Locke Avenue, 0 miles north of Apache Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=22805,9/29/2009,9/20/2015
22861,,"Footloose in Farmington:","A Historic Perspective of Downtown",,,,36.72923,-108.20550,"108 West Main Street","Farmington",,"San Juan County","New Mexico","It is at the intersection of Main Street and Orchard Avenue, on the right when traveling west on Main Street. ",,https://www.hmdb.org/m.asp?m=22861,9/30/2009,9/20/2015
24312,,"Fort Craig",,,,,33.62974,-107.01317,,"San Marcial",,"Socorro County","New Mexico","It can be reached from Fort Craig Road, 5 miles east of I-25. ",,https://www.hmdb.org/m.asp?m=24312,11/10/2009,7/14/2024
24314,,"Peralta",,,,"New Mexico Historic Preservation Division",34.83733,-106.69061,"3675 NM-47","Peralta",,"Valencia County","New Mexico","It is at the intersection of Peralta Boulevard and State Road 47, on the right when traveling north on Peralta Boulevard. ",,https://www.hmdb.org/m.asp?m=24314,11/10/2009,10/14/2021
24745,,"Hatch","Population 1,028  -  Elevation 4,055",,,,32.66583,-107.16017,,"Hatch",,"Doña Ana County","New Mexico","It is on Hartman Street. ",,https://www.hmdb.org/m.asp?m=24745,11/24/2009,11/22/2024
25111,,"Smokey Bear",,,1976,,33.54640,-105.57438,"118 Smokey Bear Blvd","Capitan",,"Lincoln County","New Mexico","It can be reached from the intersection of Smokey Bear Boulevard (U.S. 380) and Stanton Avenue (County Road 206). ",,https://www.hmdb.org/m.asp?m=25111,12/7/2009,9/24/2020
