MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
842,"G-27","Horner Military School",,,1939,"the Department of Conservation and Development",36.31556,-78.58194,,"Oxford",,"Granville County","North Carolina","It is at the intersection of Williamsboro Street (Business U.S. 158) and Military Street, on the right when traveling east on Williamsboro Street. <font color=red> Reported permanently removed.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=842,2/4/2007,9/4/2021
862,,"Mt. Tabor",,,,,34.15069,-78.87278,,"Tabor City",,"Columbus County","North Carolina","It is at the intersection of East 5th Street (Business U.S. 701) and Pireway Road (North Carolina Highway 904), on the right when traveling south on East 5th Street. ",,https://www.hmdb.org/m.asp?m=862,2/13/2007,1/31/2021
863,,"The Tabor City Tribune",,,,,34.15500,-78.86194,"1108 East 5th Street","Tabor City",,"Columbus County","North Carolina","It is on East 5th Street (Business U.S. 701) south of Bypass U.S. 701, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=863,2/14/2007,1/31/2021
864,"I-77","Cape Fear Baptist Church",,,1992,"the Division of Archives and History",34.91270,-78.85694,,"Hope Mills",,"Cumberland County","North Carolina","It is at the intersection of State Highway 87 and Blossom Road (Local Route 2234), on the right when traveling north on State Highway 87. ",,https://www.hmdb.org/m.asp?m=864,2/15/2007,1/28/2025
1579,,"Signers of Mecklenburg Declaration of Independence","May 20, 1775",,1967,"Alexandriana Daughters of the American Revolution Chapter",35.35790,-80.82294,"9921 Old Statesville Rd","Charlotte","Henderson Circle","Mecklenburg County","North Carolina","It is on Old Statesville Road (State Highway 115) south of Independence Hill Road. ",,https://www.hmdb.org/m.asp?m=1579,7/15/2007,2/19/2025
1583,"L-2","Confederate Prison",,,1936,"State Historical Commission",35.66460,-80.46676,,"Salisbury",,"Rowan County","North Carolina","It is at the intersection of East Innes Street and Long Street on East Innes Street. ",,https://www.hmdb.org/m.asp?m=1583,7/15/2007,11/8/2024
1946,"I-59","Dunn’s Creek Quaker Meeting",,,1972,"the State Department of Archives and History",34.95521,-78.84413,,"Grays Creek",,"Cumberland County","North Carolina","It is at the intersection of State Highway 87 and Butler Nursery Road (Local Route 2221), on the right when traveling north on State Highway 87. ",,https://www.hmdb.org/m.asp?m=1946,7/31/2007,10/23/2024
2277,"P-18","Newton Academy",,,1992,"Division of Archives and History",35.57611,-82.54694,,"Asheville",,"Buncombe County","North Carolina","It is on Biltmore Avenue near Doctors Drive, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=2277,9/5/2007,3/17/2024
2279,"P-37","Rutherford Trace",,,,"North Carolina Division of Archives and History",35.56417,-82.54278,,"Asheville",,"Buncombe County","North Carolina","It is on Hendersonville Road, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=2279,9/5/2007,6/22/2021
2284,"J-30","Confederate Hospital",,,1950,"Archives, Conservation and Highway Dpartments",36.07526,-79.78855,,"Greensboro","Downtown","Guilford County","North Carolina","It is on Summit Avenue (U.S. 29) near North Davie Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=2284,9/5/2007,2/16/2023
