MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
4822,,"North Dakota Badlands",,,,"U.S. Department of the Interior",46.96667,-103.45000,,"Medora",,"Billings County","North Dakota","It is on Scenic Loop Drive, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=4822,1/20/2008,6/12/2020
33313,,"Fort Clark Historic Site",,,1975,"State Historical Society of North Dakota",47.25297,-101.27818,,"Fort Clark",,"Mercer County","North Dakota","It is on unnamed paved road, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=33313,7/24/2010,1/5/2025
33610,,"Lewis & Clark at the Knife River Indian Villages","Lewis & Clark in North Dakota",,,"Knife River Indian Villages National Historic Site, National Park Service and Lewis and Clark National Trails Association",47.33169,-101.38461,,"Stanton",,"Mercer County","North Dakota","It is on County Route 31, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=33610,7/26/2010,1/5/2025
33923,,"Fort Dilts Historic Site",,,1952,"Local Residents",46.27907,-103.77648,,"Rhame",,"Bowman County","North Dakota","It is on Fort Dilts Road, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=33923,8/2/2010,9/18/2020
36352,,"Seaman",,,,,47.29748,-101.08820,,"Washburn",,"McLean County","North Dakota","It can be reached from 28th Av SW. ",,https://www.hmdb.org/m.asp?m=36352,10/3/2010,9/23/2024
43838,,"Sakakawea Statue",,,,,46.81981,-100.78143,,"Bismarck",,"Burleigh County","North Dakota","It is on East Boulvard Avenue. ",,https://www.hmdb.org/m.asp?m=43838,6/27/2011,6/27/2011
44700,,"The Honorable John Burke","of North Dakota",,,,46.82037,-100.78227,,"Bismarck",,"Burleigh County","North Dakota","It is on East Boulevard Avenue. ",,https://www.hmdb.org/m.asp?m=44700,7/18/2011,4/14/2022
44701,,"All Veterans Memorial",,,,,46.81817,-100.78114,,"Bismarck",,"Burleigh County","North Dakota","It is on E. Boulevard Ave.. ",,https://www.hmdb.org/m.asp?m=44701,7/18/2011,12/25/2024
44704,,"Combat Wounded Veterans","Military Order of the Purple Heart","1782 - 1932",,"Dept. of North Dakota Military Order of the Purple Heart",46.81822,-100.78097,,"Bismarck",,"Burleigh County","North Dakota","It is on E. Boulevard Ave.. ",,https://www.hmdb.org/m.asp?m=44704,7/18/2011,7/18/2011
44706,,"Boxcar used in the 1st World War",,,,,46.81841,-100.77994,,"Bismarck",,"Burleigh County","North Dakota","It is on East Boulevard Ave.. ",,https://www.hmdb.org/m.asp?m=44706,7/18/2011,2/22/2019
