MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
125,"7-45","Bank of the Alexandrian Society",,,1990,"Granville Ohio Historical Society and the Ohio Historical Society",40.06774,-82.51953,"115 East Broadway","Granville",,"Licking County","Ohio","It is on East Broadway (Ohio Route 661) east of Main Street ( Route 661), on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=125,2/27/2006,9/21/2022
126,"4-45","The Robbins Hunter Museum Avery-Downer House",,,1987,"Licking County Historical Society and The Ohio Historical Society",40.06768,-82.51801,"221 East Broadway","Granville",,"Licking County","Ohio","It is on East Broadway (Ohio Route 661) west of Pearl Street ( Route 661), on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=126,2/27/2006,7/7/2022
243,,"Morgan’s Raid",,,1968,"Carroll County Historical Society",40.62047,-80.90150,,"Salineville",,"Carroll County","Ohio","It is on Salineville Road NE (Ohio Route 39) east of Oasis Road NE, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=243,4/11/2006,9/28/2024
246,,"The Bicentennial Legacy Monument",,,1999,"Bicentennial Legacy Committee",39.94217,-82.01111,,"Zanesville",,"Muskingum County","Ohio","It is on Market Street west of North 2nd Street, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=246,4/13/2006,11/14/2019
268,"8-15","Log House Museum",,,1983,"Historical Society of Columbiana and Fairfield Township and The Ohio Historical Society",40.88876,-80.69346,"10 East Park Avenue","Columbiana",,"Columbiana County","Ohio","It is at the intersection of North Main Street (Ohio Route 164) and East Park Avenue ( Route 344) on North Main Street. ",,https://www.hmdb.org/m.asp?m=268,4/17/2006,1/11/2025
274,,"Eagle’s Nest",,,,,39.94843,-82.26867,,"Thornville",,"Licking County","Ohio","It is on National Road (U.S. 40) east of Open Woods Road, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=274,4/19/2006,7/14/2019
275,"7-60","Second Capital of Ohio",,,1991,"Pioneer and Historical Society of Muskingum County, the Muskingum County Commissioners, and the Ohio Historical Society",39.94038,-82.00696,,"Zanesville",,"Muskingum County","Ohio","It is on Main Street (U.S. 40) east of 4th Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=275,4/19/2006,9/5/2022
277,,"Sixth Street Bridge",,,,,39.93528,-82.00779,,"Zanesville",,"Muskingum County","Ohio","It is on Muskingum Avenue west of Putnam Avenue ( Route 93). ",,https://www.hmdb.org/m.asp?m=277,4/19/2006,7/14/2019
279,,"Findley Settlement",,,,,39.99353,-81.73821,,"New Concord",,"Muskingum County","Ohio","It is on West Main Street (U.S. 40) west of College Drive, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=279,4/19/2006,9/25/2022
280,,"College Drive Presbyterian Church",,,,,39.99450,-81.73497,,"New Concord",,"Muskingum County","Ohio","It is on College Drive north of West Main Street (U.S. 40), on the right. ",,https://www.hmdb.org/m.asp?m=280,4/19/2006,7/14/2019
281,,"Robert Francis Harper",,,,,39.99353,-81.73480,"20 W Main St","New Concord",,"Muskingum County","Ohio","It is at the intersection of West Main Street (U.S. 40) and College Drive, on the right when traveling east on West Main Street. ",,https://www.hmdb.org/m.asp?m=281,4/20/2006,8/14/2024
282,,"Birthplace of William Rainey Harper","1856-1906",,,,39.99354,-81.73493,"22 W Main St","New Concord",,"Muskingum County","Ohio","It is at the intersection of West Main Street (U.S. 40) and College Drive, on the right when traveling east on West Main Street. ",,https://www.hmdb.org/m.asp?m=282,4/20/2006,8/14/2024
283,,"Muskingum College",,,,,39.99475,-81.73519,,"New Concord",,"Muskingum County","Ohio","It is on College Drive north of Main Street (U.S. 40), in the median. ",,https://www.hmdb.org/m.asp?m=283,4/20/2006,7/14/2019
