MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
1155,,"Dekum Building",,,,"the State of Oregon",45.51930,-122.67513,"519 SW 3rd Ave","Portland","Southwest Portland","Multnomah County","Oregon","It is on Southwest 3rd Avenue near S.W. Washington Avenue. ",,https://www.hmdb.org/m.asp?m=1155,6/13/2007,3/17/2024
3121,,"Original Stash",,,2003,,45.29100,-122.41333,,"Viola",,"Clackamas County","Oregon","It can be reached from South Fellows Road. ",,https://www.hmdb.org/m.asp?m=3121,10/24/2007,1/21/2020
8573,,"The Vietnam Monument","Never to be Forgotten",,1987,"Veterans of Foreign Wars Post 4273 and Auxiliary",45.39611,-122.25962,"17998 Meinig Ave.","Sandy",,"Clackamas County","Oregon","It is at the intersection of Woodburn-Sandy Highway/Meinig Avenue (State Highway 211) and Mount Hood Highway/Pioneer Boulevard (U.S. 26), on the right when traveling north on Woodburn-Sandy Highway/Meinig Avenue. ",,https://www.hmdb.org/m.asp?m=8573,6/27/2008,9/27/2024
8667,"M13","Willamette Falls Locks","Oregon History",,,,45.35175,-122.62623,,"West Linn",,"Clackamas County","Oregon","It is on Northbound Rest Area (Interstate 205), on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=8667,6/30/2008,4/11/2018
8669,"M15","Dr. John McLoughlin 1784 - 1857","Oregon History",,,,45.35165,-122.62642,,"West Linn",,"Clackamas County","Oregon","It is on Northbound Rest Area (Interstate 205), on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=8669,6/30/2008,1/29/2024
8670,"M16","George Abernethy","Oregon History",,,,45.35165,-122.62642,,"West Linn",,"Clackamas County","Oregon","It is on Northbound Rest Area (Interstate 205), on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=8670,6/30/2008,12/3/2019
8673,,"Joseph L. Meek","Born 1810 - Died 1875",,1995,"M. Utz",45.35787,-122.60994,"610 Mcloughlin Blvd","Oregon City",,"Clackamas County","Oregon","It is at the intersection of McLoughlin Boulevard (Pacific Highway) (State Highway 99) and 6th Street on McLoughlin Boulevard (Pacific Highway). ",,https://www.hmdb.org/m.asp?m=8673,6/30/2008,9/27/2024
8692,,"Dr. Forbes Barclay","1812 - 1873",,1948,"Susannah Lee Barlow Chapter, Daughters of the American Revolution",45.35746,-122.60537,"719 Center Street","Oregon City",,"Clackamas County","Oregon","It is on Center Street near 8th Street. ",,https://www.hmdb.org/m.asp?m=8692,7/1/2008,10/14/2020
8693,,"McLoughlin House","National Historic Site",,1950,"National Park Service, United States Department of the Interior",45.35718,-122.60568,"713 Center St","Oregon City",,"Clackamas County","Oregon","It is on Center Street near 7th Street. ",,https://www.hmdb.org/m.asp?m=8693,7/1/2008,3/26/2024
8698,,"Eva Emery Dye",,,1989,"McLoughlin Memorial Association",45.35709,-122.60578,"713 Center St","Oregon City",,"Clackamas County","Oregon","It is on Center Street near 7th Street. ",,https://www.hmdb.org/m.asp?m=8698,7/1/2008,12/3/2019
8699,,"Dr. John McLoughlin","""Father of Oregon""",,1933,,45.35172,-122.61438,,"Oregon City",,"Clackamas County","Oregon","It is at the intersection of McLoughlin Boulevard (Oregon Route 99) and S. 2nd Street, on the right when traveling south on McLoughlin Boulevard. ",,https://www.hmdb.org/m.asp?m=8699,7/2/2008,12/3/2019
8700,"M11","Oregon City","Oregon History",,,,45.35197,-122.61419,,"Oregon City",,"Clackamas County","Oregon","It is on McLoughlin Boulevard (Oregon Route 99) near S. 2nd Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=8700,7/1/2008,4/10/2025
