MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
59975,,"Defending San Juan / Defensa de San Juan",,,,"National Park Service, U.S. Department of the Interior",18.46640,-66.13640,,"Toa Baja","Palo Seco","Municipio de Toa Baja","Puerto Rico","It is on State Highway 870. ",,https://www.hmdb.org/m.asp?m=59975,10/2/2012,6/9/2023
60029,,"A Never-Ending Challenge / Un Trabajo Que Nunca Se Acaba",,,,"National Park Service, U.S. Department of the Interior",18.46620,-66.13640,,"Toa Baja","Palo Seco","Municipio de Toa Baja","Puerto Rico","It is on State Highway 870. ",,https://www.hmdb.org/m.asp?m=60029,10/5/2012,6/8/2023
60031,,"Imagine Life Here / Imagine Vivir Aquí",,,,"National Park Service, U.S. Department of the Interior",18.46662,-66.13637,,"Toa Baja","Palo Seco","Municipio de Toa Baja","Puerto Rico","It is on State Highway 870. ",,https://www.hmdb.org/m.asp?m=60031,10/5/2012,6/9/2023
60032,,"Crossfire / Fuego cruzado",,,,"National Park Service",18.46640,-66.13660,,"Toa Baja","Palo Seco","Municipio de Toa Baja","Puerto Rico","It is on State Highway 870. ",,https://www.hmdb.org/m.asp?m=60032,10/5/2012,6/8/2023
60046,,"In Defense of San Juan / En defenso de San Juan","San Juan National Historic Site","National Park Service, U.S. Department of the Interior",,"National Park Service, U.S. Department of the Interior",18.46740,-66.11120,,"San Juan","San Cristóbal","Municipio de San Juan","Puerto Rico","It is on Bulevar del Valle. ",,https://www.hmdb.org/m.asp?m=60046,10/8/2012,11/27/2023
60047,,"What About Water? / ¿De Dónde Viene el Agua?","San Juan National Historic Site","National Park Service, U.S. Department of the Interior",,"National Park Service, U.S. Department of the Interior",18.46740,-66.11120,,"San Juan","San Cristóbal","Municipio de San Juan","Puerto Rico","It is on Bulevar del Valle. ",,https://www.hmdb.org/m.asp?m=60047,10/8/2012,9/28/2023
60048,,"Firepower","Poderío de la artillería",,,,18.46740,-66.11120,,"San Juan","San Cristóbal","Municipio de San Juan","Puerto Rico","It is on Bulevar del Valle. ",,https://www.hmdb.org/m.asp?m=60048,10/8/2012,2/16/2023
60050,,"Three Flags","Tres Banderas",,,"National Park Service, U.S. Department of the Interior",18.46740,-66.11120,,"San Juan","San Cristóbal","Municipio de San Juan","Puerto Rico","It is on Bulevar del Valle. ",,https://www.hmdb.org/m.asp?m=60050,10/8/2012,1/2/2025
60051,,"The Heart of San Cristobal","El Corazón de San Cristóbal",,,,18.46740,-66.11120,,"San Juan","San Cristóbal","Municipio de San Juan","Puerto Rico","It is on Bulevar del Valle. ",,https://www.hmdb.org/m.asp?m=60051,10/8/2012,4/7/2023
60060,,"Defending San Juan / Defensa de San Juan",,,,,18.46820,-66.12110,,"San Juan","Ballajá","Municipio de San Juan","Puerto Rico","It is on Calle Del Morro. ",,https://www.hmdb.org/m.asp?m=60060,10/8/2012,6/14/2023
