MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
1611,"30","Wilkinson Mill","1810","National Historic Mechanical Engineering Landmark",1977,"American Society of Mechanical Engineers",41.87755,-71.38271,"67 Roosevelt Avenue","Pawtucket",,"Providence County","Rhode Island","It can be reached from Roosevelt Avenue. ",,https://www.hmdb.org/m.asp?m=1611,7/14/2007,5/7/2023
1612,,"The Old Slater Mill",,,,"State of Rhode Island",41.87771,-71.38261,"67 Roosevelt Avenue","Pawtucket",,"Providence County","Rhode Island","It can be reached from Roosevelt Avenue. ",,https://www.hmdb.org/m.asp?m=1612,7/14/2007,8/20/2021
1613,,"First Successful Cotton Mill in America",,,1940,"the National Association of Cotton Manufacturers and the Rhode Island Textile Association",41.87778,-71.38258,"67 Roosevelt Avenue","Pawtucket",,"Providence County","Rhode Island","It can be reached from Roosevelt Avenue. ",,https://www.hmdb.org/m.asp?m=1613,7/14/2007,6/21/2020
2924,,"Nine Men’s Misery",,,1928,"The State of Rhode Island",41.93977,-71.40660,"24 Salvas Ct","Cumberland","The Monastery","Providence County","Rhode Island","It can be reached from Diamond Hill Road (Rhode Island Route 114) 1 mile south of Angell Road ( Route 116). ",,https://www.hmdb.org/m.asp?m=2924,10/12/2007,7/17/2024
8407,,"The Black Regiment","Battle of Rhode Island",,1976,"Newport, Rhode Island Branch, NAACP [National Association for the Advancement of Colored People], Bicentennial Commission.",41.60137,-71.25862,,"Portsmouth",,"Newport County","Rhode Island","It is at the intersection of West Main Road (Rhode Island Route 114) and  Route 24 on West Main Road. ",,https://www.hmdb.org/m.asp?m=8407,6/19/2008,1/5/2025
17230,,"Mohegan Bluffs","Elevation 163 Ft.",,1942,"Block Island Historical Society",41.15420,-71.55300,"122 Mohegan Trail","New Shoreham","Block Island","Washington County","Rhode Island","It can be reached from Spring Street. ",,https://www.hmdb.org/m.asp?m=17230,3/21/2009,7/17/2024
17231,,"Fresh Pond","Elevation 78 Ft.","1661",1942,"Block Island Historical Society",41.16310,-71.57950,"569 Lakeside Dr","New Shoreham","Block Island","Washington County","Rhode Island","It is at the intersection of Lakeside Drive and Old Center Road on Lakeside Drive. ",,https://www.hmdb.org/m.asp?m=17231,3/21/2009,7/15/2024
22879,,"The Great Swamp Fight","19 December 1675",,1906,"the Societies of Colonial Wars of Rhode Island and Massachusetts",41.46863,-71.59560,"4425 S County Trail","Charlestown","West Kingston","Washington County","Rhode Island","It can be reached from South County Trail (Rhode Island Route 2) 1.4 miles south of Kingstown Road ( Route 132), on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=22879,10/14/2009,10/13/2024
29314,,"Carter Jackson Monument",,,1889,"Joseph Peace Hazard",41.44854,-71.47356,"4847 Tower Hill Road","South Kingstown","Wakefield-Peacedale","Washington County","Rhode Island","It is on Tower Hill Road (U.S. 1) 1.1 miles north of  Route 108, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=29314,3/30/2010,6/26/2023
29616,,"7th Day Baptist Churches of Hopkinton and Westerly",,,,"Seventh-Day Baptist Churches of Hopkinton and Westerly",41.39982,-71.79970,,"Hopkinton","Ashaway","Washington County","Rhode Island","It is at the intersection of Nooseneck Hill Road (U.S. 3) and Chase Hill Road, on the right when traveling south on Nooseneck Hill Road. ",,https://www.hmdb.org/m.asp?m=29616,4/15/2010,6/26/2023
