MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
35,"26 11","Galivants Ferry",,,2004,"Horry County",34.05515,-79.24490,,"Galivants Ferry",,"Horry County","South Carolina","It is at the intersection of Highway 501 (U.S. 501) and South Carolina Highway 216, on the right when traveling south on Highway 501. ",,https://www.hmdb.org/m.asp?m=35,12/28/2005,3/18/2024
50,"22 33","Ward House","Liberty Lodge",,1994,"Pawleys Island Civic Association",33.41840,-79.12856,"520 State Route S-22-10","Pawleys Island",,"Georgetown County","South Carolina","It is on State Road S-22-10, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=50,1/1/2006,12/13/2019
51,"22 30","R. F. W. Allston House",,,1994,"Pawleys Island Civic Association",33.42087,-79.12703,,"Pawleys Island",,"Georgetown County","South Carolina","It is on State Road S-22-10. ",,https://www.hmdb.org/m.asp?m=51,1/1/2006,11/2/2024
53,"22 32","All Saints Summer Parsonage / The Rectory",,,1993,"Pawleys Island Civic Association",33.41810,-79.12875,,"Pawleys Island",,"Georgetown County","South Carolina","It is on State Road S-22-10, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=53,1/1/2006,7/14/2019
54,"22 35","All Saints Academy Summer House",,,1993,"Pawleys Island Civic Association",33.41760,-79.12900,"530 Myrtle Avenue","Pawleys Island",,"Georgetown County","South Carolina","It is on Myrtle Avenue south of County Road S-22-266, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=54,1/1/2006,12/13/2019
55,"22 34","Nesbit / Norburn House",,,1993,"Pawleys Island Civic Association",33.41658,-79.12950,,"Pawleys Island",,"Georgetown County","South Carolina","It is on State Road S-22-10, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=55,1/1/2006,12/13/2019
56,"22-29","Joseph Blyth Allston House (Pawley House)",,,1993,"Pawleys Island Civic Association",33.41615,-79.12961,,"Pawleys Island",,"Georgetown County","South Carolina","It is on State Road S-22-10, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=56,1/1/2006,1/11/2025
847,"26-9","True Vine Missionary Baptist Church",,,1999,"the congregation",33.82194,-78.90611,,"Grahamville",,"Horry County","South Carolina","It is on State Highway 90 west of Conway Bypass (State Highway 22), on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=847,2/6/2007,1/31/2021
848,,"Benjamin Grier Collins",,,1930,,33.85000,-79.05639,,"Conway",,"Horry County","South Carolina","It is on Main Street (Business U.S. 701) near 16th Avenue / Collins Park Road, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=848,2/6/2007,10/7/2024
849,"26-4","Fort Randall",,,1976,"the Horry County Historic Preservation Commission",33.84265,-78.64813,"1201 Sea Mountain Hwy","North Myrtle Beach",,"Horry County","South Carolina","It is at the intersection of Sea Mountain Highway (South Carolina Route 9) and Hill Street, on the right when traveling north on Sea Mountain Highway. ",,https://www.hmdb.org/m.asp?m=849,2/7/2007,4/2/2025
852,,"William Bartram Trail","Traced 1773–1777","South Atlantic Region",,"The Garden Club of South Carolina in cooperation with The Department of Highways & Public Transportation of S.C.",33.66972,-78.90528,,"Myrtle Beach",,"Horry County","South Carolina","It is at the intersection of Ocean Boulevard (State Highway 73) and South 20th Avenue, on the right when traveling north on Ocean Boulevard. ",,https://www.hmdb.org/m.asp?m=852,2/8/2007,1/19/2024
853,,"Intra-Coastal Waterway","Little River to Winyah Bay, S.C.",,,,33.68790,-79.00500,,"Socastee",,"Horry County","South Carolina","It is on Dick Pond Road (former Highway 544) west of Socastee Boulevard (State Highway 707), on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=853,2/8/2007,11/24/2020
855,"26-13","Socastee",,,2004,"Horry County",33.68889,-79.00583,,"Socastee",,"Horry County","South Carolina","It is at the intersection of Dick Pond Road (former Highway 544) and Peachtree (Local Route 26-611), on the right when traveling east on Dick Pond Road (former Highway 544). ",,https://www.hmdb.org/m.asp?m=855,2/9/2007,9/18/2017
859,,"The Wade Hampton Oak",,,,"The Alazea Garden Club of Conway",33.83745,-79.04742,,"Conway",,"Horry County","South Carolina","It is at the intersection of Main Street (Business U.S. 701) and 5th Avenue, on the right when traveling north on Main Street. ",,https://www.hmdb.org/m.asp?m=859,2/9/2007,11/20/2020
866,,"Centennial Time Capsule",,,2003,"the Horry County Government, Conway, SC",33.83242,-79.04862,"1301 Second Avenue","Conway",,"Horry County","South Carolina","It is at the intersection of 2nd Avenue and Beaty Street, on the right when traveling east on 2nd Avenue. ",,https://www.hmdb.org/m.asp?m=866,2/18/2007,7/14/2019
1700,,"Baron DeKalb",,,,"the Hobkirk Chapter, Daughters of the American Revolution",34.35762,-80.61028,,"Camden",,"Kershaw County","South Carolina","It is on Flat Rock Road, 2.2 miles north of Kershaw Highway (U.S. 521), on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=1700,7/15/2007,4/9/2023
4290,"15-17","Anderson Field / Walterboro Army Air Field",,,1997,"Walter-Colleton Co. Airport Commission & The Colleton Historical and Preservation Society",32.91635,-80.63789,"537 Aviation Way","Walterboro",,"Colleton County","South Carolina","It is on Aviation Way, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=4290,12/19/2007,1/27/2011
4292,"27 9","Narrow Gauge Locomotive No. 7",,,1961,"Town of Hardeeville",32.28567,-81.07932,,"Hardeeville",,"Jasper County","South Carolina","It is at the intersection of Main St (State Highway 46) and Charles St, on the right when traveling east on Main St. ",,https://www.hmdb.org/m.asp?m=4292,12/19/2007,7/7/2013
4293,"27 18","Coosawhatchie",,,2001,"Citizens and Friends of Coosawhatchie",32.58876,-80.92959,,"Coosawhatchie",,"Jasper County","South Carolina","It is on State Highway 462. ",,https://www.hmdb.org/m.asp?m=4293,12/18/2007,8/31/2022
4324,,"The Tuskegee Airman of World War II",,,,,32.91658,-80.63770,"537 Aviation Way","Walterboro",,"Colleton County","South Carolina","It is on Aviation Way, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=4324,12/20/2007,11/15/2020
4673,"27-11","Gillisonville Baptist Church",,,1984,"The Congregation",32.60747,-80.99867,,"Gillisonville",,"Jasper County","South Carolina","It is on U.S. 278, ¼ mile north of  Highway 462, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=4673,1/11/2008,1/12/2025
4674,"27-6","Gillisonville",,,1984,"Citizens of Gillisonville and Jasper County Bicentennial Committee",32.60920,-80.99980,,"Gillisonville",,"Jasper County","South Carolina","It is on Grays Highway (U.S. 278) 0.1 miles north of  Highway 462, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=4674,1/11/2008,11/16/2020
4767,,"Lucile Ellerbe Godbold",,,1982,"Citizens of Estill South Carolina",32.75586,-81.24136,,"Estill",,"Hampton County","South Carolina","It is on Columbia Highway (U.S. 321), on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=4767,1/16/2008,12/13/2019
4776,"27-22","The Battle of Pocotaligo",,,2002,"S.C. Society Of The Military Order Of The Stars and Bars",32.63198,-80.87588,,"Pocotaligo",,"Jasper County","South Carolina","It is on Trask Parkway (U.S. 17/21), on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=4776,1/17/2008,8/2/2018
4803,"25-8","Old Pocotaligo Road, March From The Sea",,,1991,"Hampton County Historical Society",32.84255,-81.12478,,"Hampton",,"Hampton County","South Carolina","It is at the intersection of Pocotaligo Road (County Route 68) and Savannah Highway (U.S. 601), on the left when traveling south on Pocotaligo Road. ",,https://www.hmdb.org/m.asp?m=4803,1/19/2008,12/22/2011
4817,"27-1","Robertville",,,1971,"The Board Of Deacons Of Robertville Baptist Church",32.58665,-81.19925,,"Robertville",,"Jasper County","South Carolina","It is at the intersection of Columbia Highway (U.S. 321) and SC-S-27-26, on the right when traveling south on Columbia Highway. ",,https://www.hmdb.org/m.asp?m=4817,1/20/2008,12/14/2019
4856,"22-45","Robert Stewart House",,,1997,"Georgetown County Historical Society",33.36860,-79.28680,,"Georgetown",,"Georgetown County","South Carolina","It is on Front Street north of King Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=4856,1/20/2008,5/12/2013
4857,"22-44","Beth Elohim Cemetery",,,1997,"Georgetown County Historical Society",33.37000,-79.28000,,"Georgetown",,"Georgetown County","South Carolina","It is on Broad Street east of Church Street / Ocean Highway (U.S. 17), on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=4857,1/20/2008,12/13/2019
4860,,"These Two Cannons",,,1986,"the Navy Club of Georgetown and presented to the City of Georgetown",33.36710,-79.28505,,"Georgetown",,"Georgetown County","South Carolina","It is on Front Street near Orange Street. ",,https://www.hmdb.org/m.asp?m=4860,1/21/2008,5/17/2008
4868,"22-27","Hot and Hot Fish Club",,,1978,"Georgetown County Historical Society",33.51603,-79.05110,,"Murrells Inlet",,"Georgetown County","South Carolina","It is on Jetty Drive north of Terrapin Road, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=4868,1/21/2008,2/2/2020
4870,"22-4","Prospect Hill",,,1991,"Georgetown County Historical Society",33.36778,-79.22111,,"Georgetown",,"Georgetown County","South Carolina","It is on Ocean Highway (U.S. 17) south of Arcadia Plantation Drive. ",,https://www.hmdb.org/m.asp?m=4870,1/21/2008,2/2/2020
4872,"22-8 (A-4)","Lafayette",,,1940,"Georgetown County",33.36450,-79.23500,,"Georgetown",,"Georgetown County","South Carolina","It is on Ocean Highway (U.S. 17) south of Hobcaw Road. ",,https://www.hmdb.org/m.asp?m=4872,1/21/2008,4/23/2018
4877,"22-5","Clifton Plantation",,,1981,"Georgetown County Historical Society",33.36454,-79.23495,,"Georgetown",,"Georgetown County","South Carolina","It is on Ocean Highway (U.S. 17) south of Hobcaw Road, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=4877,1/21/2008,2/2/2020
4889,"22-17","Antipedo Baptist Church / Old Baptist Cemetery",,,1983,"the First Baptist Church",33.37000,-79.27778,,"Georgetown",,"Georgetown County","South Carolina","It is at the intersection of Church Street (U.S. 17) and Screven Street, on the right when traveling west on Church Street. ",,https://www.hmdb.org/m.asp?m=4889,1/22/2008,4/23/2018
4977,,"The Rev. John G. Drayton",,,,"National Register of Historic Places",32.87315,-80.08816,"3550 Ashley River Road","Charleston",,"Charleston County","South Carolina","It is on Magnolia Plantation Road near Ashley River Road ( Highway 61). ",,https://www.hmdb.org/m.asp?m=4977,1/26/2008,11/2/2020
5084,"17-1","The Meeting House",,,1970,"Bear Swamp Baptist Church and the Friday Afternoon Book Club of Lake View, S.C.",34.34830,-79.14252,,"Lake View",,"Dillon County","South Carolina","It is on Bear Swamp Road (Local Road 17-56) south of State Highway 41, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=5084,1/31/2008,1/12/2024
5085,,"Drowning Creek",,,1987,"Drowning Creek Chapter, Daughters of the American Revolution. Honoring William Gairy Nichols, a local Historian, and the Bicentennial of the Constitution of U.S.A.",34.22804,-79.14034,,"Nichols",,"Marion County","South Carolina","It is on South Nichols Street (State Highway 9) east of Waccamaw Street, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=5085,1/31/2008,9/18/2020
5345,"26-3","Boundary House",,,2005,"Horry County, replacing a marker erected by the Horry County Historic Preservation Commission in 1976.",33.89153,-78.59479,,"Little River",,"Horry County","South Carolina","It is at the intersection of U.S. 17 and Heather Lakes Drive, on the left when traveling north on U.S. 17. ",,https://www.hmdb.org/m.asp?m=5345,2/13/2008,8/31/2022
5638,,"Brigadier General Stephen Elliott CSA","Born October 26, 1830 Died February 21 1866",,1968,"Stephen Elliott United Daughters of the Confederacy",32.43060,-80.66960,,"Beaufort",,"Beaufort County","South Carolina","It is at the intersection of Bay Street and U.S. 21, on the right when traveling east on Bay Street. ",,https://www.hmdb.org/m.asp?m=5638,2/22/2008,4/3/2023
5664,"7-10","Beaufort Arsenal",,,1961,"Beaufort County Historical Society",32.43268,-80.67043,"713 Craven Street","Beaufort",,"Beaufort County","South Carolina","It is on Craven Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=5664,2/24/2008,12/9/2021
5681,"7-21","Beaufort Female Benevolent Society",,,1989,"Beaufort County Historical Society, Beaufort Female Benevolent Society",32.43222,-80.67098,"308 Scott Street","Beaufort",,"Beaufort County","South Carolina","It is on Scott Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=5681,2/24/2008,12/22/2009
5785,"7-27","Sheldon Union Academy",,,2001,"Committee For Preservation Of African-American Landmarks",32.60410,-80.80307,,"Sheldon",,"Beaufort County","South Carolina","It is on Trask Parkway (U.S. 17 / 21) 0.1 miles north of Sheldon Drive when traveling north. ",,https://www.hmdb.org/m.asp?m=5785,2/28/2008,7/3/2019
5827,"7-22","St. Helena's Church",,,1992,"Beaufort County Historical Society and Preservation Trust for Historic St Helena's Episcopal Church",32.43404,-80.67512,"501 Church Street","Beaufort",,"Beaufort County","South Carolina","It is on Church Street south of King Street when traveling south. ",,https://www.hmdb.org/m.asp?m=5827,3/1/2008,11/1/2024
5853,"7-29","Michael C. Riley Schools",,,2002,"The Michael C. Riley High School Alumni Assc.",32.24104,-80.86254,,"Bluffton",,"Beaufort County","South Carolina","It is on Goethe Road, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=5853,3/1/2008,3/30/2023
5886,,"Beaufort County, South Carolina","Exploration and Settlement",,2007,"Beaufort County",32.43046,-80.67306,,"Beaufort",,"Beaufort County","South Carolina","It is on Bay Street. ",,https://www.hmdb.org/m.asp?m=5886,3/3/2008,1/17/2025
5935,,"Beaufort County, South Carolina","Colonial And Revolutionary Period","1711-1860",2007,"Beaufort County",32.43046,-80.67306,,"Beaufort",,"Beaufort County","South Carolina","It can be reached from Bay Street. ",,https://www.hmdb.org/m.asp?m=5935,3/3/2008,1/17/2025
5939,,"First Fort",,,,"Beaufort County Historical Society",32.43068,-80.67063,"801 Bay St","Beaufort",,"Beaufort County","South Carolina","It is on Bay Street near Scott Street, on the right when traveling east. <font color=red> Reported missing.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=5939,3/3/2008,3/11/2021
5940,,"Thomas Heyward, Jr.",,,1979,"Thomas Heyward Jr. Chapter, National Society - Daughters Of The American Revolution",32.43046,-80.67306,,"Beaufort",,"Beaufort County","South Carolina","It can be reached from Bay Street. ",,https://www.hmdb.org/m.asp?m=5940,3/3/2008,1/17/2025
5941,,"Beaufort County South Carolina","Civil War and Forward",,2007,"Beaufort County",32.43046,-80.67306,,"Beaufort",,"Beaufort County","South Carolina","It can be reached from Charles Street. ",,https://www.hmdb.org/m.asp?m=5941,3/3/2008,7/25/2011
6182,"27-4","Church of the Holy Trinity",,,1980,"The Congregation",32.47097,-80.96493,,"Ridgeland",,"Jasper County","South Carolina","It is at the intersection of State Highway S27-29 and Bees Creek Road (State Highway S27-13), on the left when traveling west on State Highway S27-29. ",,https://www.hmdb.org/m.asp?m=6182,3/14/2008,12/4/2012
6195,"27-8","General Robert E. Lee","Fighting Near Coosawhatchie",,1991,"Point South Merchants Association",32.63125,-80.87762,,"Yemassee",,"Jasper County","South Carolina","It is on Frontage road, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=6195,3/14/2008,9/18/2020
6210,"27-16","Grahamville",,,2000,"The Jasper County Historical Society",32.47086,-80.96491,,"Ridgeland",,"Jasper County","South Carolina","It is at the intersection of State Highway 29 and Bees Creek Road (State Highway 13), on the right when traveling west on State Highway 29. ",,https://www.hmdb.org/m.asp?m=6210,3/16/2008,3/16/2008
6353,"27-3","Purrysburg Township",,,1980,"Jasper County Bicentennial Committee",32.30574,-81.12014,,"Hardeeville",,"Jasper County","South Carolina","It is on Purrysburg Rd (State Highway S-27-34) near Honey Hill Road (State Highway S27-203), on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=6353,3/18/2008,7/20/2010
6395,"27-13","Great Swamp Baptist Church",,,1998,"Members of the Church",32.49453,-81.02035,,"Tillman",,"Jasper County","South Carolina","It is at the intersection of Malphrus Road (State Highway S-27-39) and Tarboro Road (State Highway S-27-22), on the right when traveling west on Malphrus Road. ",,https://www.hmdb.org/m.asp?m=6395,3/21/2008,3/21/2008
6406,"27-23","St. Paul's Methodist Church",,,2003,"Members and Friends of St. Paul's Methodist Church",32.48209,-80.98512,"7488 West Main Street","Ridgeland",,"Jasper County","South Carolina","It is on West Main Street (State Highway 336), on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=6406,3/21/2008,10/5/2023
6414,,"Old House Plantation",,,,,32.45689,-80.89714,,"Grahamville",,"Jasper County","South Carolina","It is on T. Heyward Tomb Driveway (Old State Highway 462), on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=6414,3/21/2008,11/5/2020
6415,"27-7","Tomb of Thomas Heyward, Jr.","1746-1809",,1955,"Beaufort County Historical Society",32.45808,-80.89771,,"Grahamville",,"Jasper County","South Carolina","It is on State Highway 462, 0.1 miles south of State Highway 27-336, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=6415,3/21/2008,9/18/2020
6536,"25-1","Hampton County",,,1957,"Hampton County and James Moore Chapter, U.D.C.",32.86635,-81.10865,,"Hampton",,"Hampton County","South Carolina","It is on Elm Street (U.S. 278) near Lee Avenue, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=6536,3/24/2008,4/21/2011
6537,"3-5","Town of Allendale",,,1980,"Allendale Civic League.",33.00483,-81.31605,"1296 South Main Street","Allendale",,"Allendale County","South Carolina","It is on South Main Street (U.S. 301), on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=6537,3/24/2008,3/24/2008
6611,"07-20","Pinckney Island",,,1987,"Beaufort County Historical Society",32.22944,-80.78472,,"Pinckney Island",,"Beaufort County","South Carolina","It is on Pinckney Wildlife Refuge north of William Wilton Parkway (Route 352), on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=6611,3/27/2008,3/20/2016
6625,"7-18","Fish Hall Plantation / Thomas Fenwick Drayton",,,1985,"Beaufort County Council",32.24553,-80.69655,"12 Adell Ln","Hilton Head Island",,"Beaufort County","South Carolina","It is on Fish Haul Road near Mitchelville Road, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=6625,3/26/2008,1/6/2025
6783,"7-23","Mitchelville Site",,,1995,"Town of Hilton Head Island and Chicora Foundation, Inc.",32.23473,-80.69178,,"Hilton Head Island",,"Beaufort County","South Carolina","It is on Beach City Road near Dillon Road, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=6783,3/31/2008,3/31/2008
6801,,"Fort Howell - 1864",,,1993,"Hilton Head Island Trust, Inc.",32.23426,-80.69210,,"Hilton Head Island",,"Beaufort County","South Carolina","It is at the intersection of Beach City Road and Dillon Road, on the left when traveling north on Beach City Road. ",,https://www.hmdb.org/m.asp?m=6801,4/1/2008,6/22/2017
6855,,"Kaminski House Museum",,,,,33.36778,-79.28710,,"Georgetown",,"Georgetown County","South Carolina","It can be reached from Front Street near King Street. ",,https://www.hmdb.org/m.asp?m=6855,4/2/2008,4/2/2008
6898,,"H.M.S. Seraph",,,,,32.79889,-79.95972,,"Charleston","Hampton Park Terrace","Charleston County","South Carolina","It is on Mary Murray Drive. ",,https://www.hmdb.org/m.asp?m=6898,4/5/2008,9/19/2023
6940,"7-16","Mather School",,,1982,"Mather School Alumnae Association",32.42005,-80.68842,,"Beaufort",,"Beaufort County","South Carolina","It is on Ribaut Road (State Highway 281) 0 miles south of Reynolds Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=6940,4/7/2008,10/18/2020
6985,"7-28","Battery Saxton",,,2001,"Historic Beaufort Foundation",32.44122,-80.70009,,"Beaufort",,"Beaufort County","South Carolina","It is on Boundary Street (U.S. 21), on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=6985,4/10/2008,12/10/2020
7015,,"Hilton Head Island Veterans Memorial",,,2005,,32.18791,-80.71906,,"Hilton Head Island",,"Beaufort County","South Carolina","It is on Shelter Cove Lane near Mall Boulevard, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=7015,4/11/2008,9/23/2012
7020,,"The Beacon","(Aircraft Guiding Light)",,,,32.91638,-80.63763,,"Walterboro",,"Colleton County","South Carolina","It is on Aviation Way, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=7020,4/14/2008,12/11/2024
