MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
556,,"The History Of Scotland Academy",,,,"Mrs. Linda M. Kluthe, Chairperson, Scotland Historic Preservation Commission and South Dakota Department of Transportation",43.15342,-97.71628,,"Scotland",,"Bon Homme County","South Dakota","It is on Fourth Street (State Highway 25) 0.1 miles north of Walnut Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=556,10/1/2006,7/14/2019
742,,"Courthouse Memorial",,,2004,"Yankton County Commission, J.C. (Jerry) Bienert, Brian J. Hunhoff, Bruce D. Jensen, Allen R. Sinclair, Wm. R. (Bill) Tamisiea",42.86978,-97.39650,,"Yankton",,"Yankton County","South Dakota","It is at the intersection of West Third Street and Broadway Avenue (U.S. 81), on the right when traveling east on West Third Street. ",,https://www.hmdb.org/m.asp?m=742,12/8/2006,8/4/2021
2114,,"Rushmore Workers",,,1995,"Don & Carolyn Clifford in remembrance of his fellow workers",43.87646,-103.45533,,"Keystone",,"Pennington County","South Dakota","It can be reached from State Highway 244, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=2114,8/18/2007,6/18/2024
4395,,"Peter Norbeck",,,,,43.85856,-103.43410,,"Keystone",,"Pennington County","South Dakota","It is on Iron Mountain Road (U.S. 16A). ",,https://www.hmdb.org/m.asp?m=4395,12/30/2007,8/13/2020
4399,,"Jungle on a Seabed",,,,,43.84344,-102.19472,,"Wall",,"Pennington County","South Dakota","It is on Badlands Loop Road (State Highway 240) 0.3 miles east of Conata Road (Road 509), on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=4399,12/30/2007,1/6/2008
4404,,"Born of Volcanos",,,,,43.86928,-102.23486,,"Wall",,"Pennington County","South Dakota","It can be reached from Badlands Loop Road (State Highway 240) 0.4 miles east of Sage Creek Rim Road, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=4404,12/30/2007,9/2/2020
4564,,"Sheepherder's Monuments",,,1959,"US Deptartment of the Interior",44.97216,-103.56570,,"Belle Fourche",,"Butte County","South Dakota","It can be reached from Theodore Roosevelt Expressway (U.S. 85), on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=4564,1/21/2008,1/18/2025
4612,,"Lasting Legacy",,,1989,"City of Belle Fourche",44.66250,-103.85483,,"Belle Fourche",,"Butte County","South Dakota","It is at the intersection of 5th Avenue (U.S. 85) and National St. on 5th Avenue. ",,https://www.hmdb.org/m.asp?m=4612,1/7/2008,1/7/2008
4867,,"Welcome to Belle Fourche","The Geo Center of the U.S.",,,"South Dakota State Historical Society, South Dakota Department of Transportation",44.67400,-103.85309,"415 5th Ave","Belle Fourche",,"Butte County","South Dakota","It is on 5th Ave (U.S. 85) near Edmunds Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=4867,1/21/2008,5/29/2023
23930,,"Codington County Courthouse",,,,,44.89890,-97.11421,"14 First Avenue SE","Watertown",,"Codington County","South Dakota","It is on First Avenue SE, 0.1 miles east of Broadway, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=23930,11/1/2009,1/11/2025
