MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
1259,,"Iosepa Historical Memorial",,,1989,"Iosepa Historical Society",40.53846,-112.74724,,"Grantsville",,"Tooele County","Utah","It is on Utah Route 196 at milepost 23,, 15 miles south of Interstate 80, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=1259,6/24/2007,1/25/2020
1276,,"This Lonely Fire Hydrant",,,1989,"Iosepa Historical Society, Edwin L. Kamaiioila ’Ohana. Plaque & marker donated by Rex & Phyllis Grosland, Hoopiiaina Ohana, Malu Cuma Wilford, Clifford Cory",40.53870,-112.74770,,"Grantsville",,"Tooele County","Utah","It is on Utah Route 196 at milepost 23,, 15 miles south of Interstate 80, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=1276,6/24/2007,6/24/2007
1277,"7","Utah’s First Capitol",,,1935,"Daughters of Utah Pioneers",38.96756,-112.32505,"50 W Capitol Ave.","Fillmore",,"Millard County","Utah","It can be reached from West Capitol Avenue. ",,https://www.hmdb.org/m.asp?m=1277,6/26/2007,1/25/2020
1288,,"Deseret Iron Works",,,1978,"Utah State Historical Society",37.68442,-113.06001,"400 N 100 East","Cedar City",,"Iron County","Utah","It is at the intersection of N 100 East and 400 North, on the left when traveling south on N 100 East. ",,https://www.hmdb.org/m.asp?m=1288,6/27/2007,5/7/2023
1308,"M-21","Washington Cotton Factory",,,,"Utah State Historical Society",37.12921,-113.51571,"385 W Telegraph Street","Washington",,"Washington County","Utah","",,https://www.hmdb.org/m.asp?m=1308,6/29/2007,6/29/2007
1315,,"The Granary",,,1994,"Washington City Historical Society",37.13047,-113.50886,"50 E Telegraph Rd.","Washington",,"Washington County","Utah","It can be reached from East Telegraph Road. ",,https://www.hmdb.org/m.asp?m=1315,6/30/2007,9/9/2012
1328,"100A","The Historic Hurricane Canal",,,,"Sons of Utah Pioneers",37.17961,-113.28257,"284 E 200 North","Hurricane",,"Washington County","Utah","It is on 200 North, in the median. ",,https://www.hmdb.org/m.asp?m=1328,7/1/2007,4/2/2008
1329,"15","Birth of Hurricane",,,1987,"Sons of Utah Pioneers",37.17953,-113.28265,"284 E 200 North","Hurricane",,"Washington County","Utah","It is on 200 North, in the median. ",,https://www.hmdb.org/m.asp?m=1329,7/1/2007,9/24/2019
1330,,"Operations Building",,,,,40.72772,-114.03699,,"Wendover",,"Tooele County","Utah","It can be reached from Historic Wendover Airfield. ",,https://www.hmdb.org/m.asp?m=1330,7/2/2007,1/25/2020
1332,,"“All Gave Some - Some Gave All”",,,1976,,39.41804,-112.77939,,"Delta",,"Millard County","Utah","It is on West 4500 N Street, 0.7 miles west of North 10000 W Street, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=1332,6/26/2007,5/6/2021
1346,,"Airmen’s Dining Hall and Barracks",,,,,40.73046,-114.02731,,"Wendover",,"Tooele County","Utah","It is on Historic Wendover Airfield. ",,https://www.hmdb.org/m.asp?m=1346,7/3/2007,1/25/2020
1353,,"Control Tower",,,,,40.72788,-114.03771,,"Wendover",,"Tooele County","Utah","It can be reached from Historic Wendover Airfield. ",,https://www.hmdb.org/m.asp?m=1353,7/3/2007,1/25/2020
1363,,"Primary Children’s Hospital",,,,,40.77165,-111.89357,"44 West North Temple","Salt Lake City","Capitol Hill","Salt Lake County","Utah","It is on North Temple Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=1363,7/3/2007,2/16/2023
1365,,"The Town of Bingham Canyon",,,1973,"Jack Tallis, Bingham businessman",40.53554,-112.14791,,"Bingham Canyon","Bingham Canyon","Salt Lake County","Utah","It can be reached from the intersection of Kennecott Access Road and  Route 111. ",,https://www.hmdb.org/m.asp?m=1365,7/4/2007,3/28/2025
1374,,"Iosepa Settlement Cemetery",,,,,40.53846,-112.74770,,"Grantsville",,"Tooele County","Utah","It can be reached from Utah Route 196 at milepost 23. ",,https://www.hmdb.org/m.asp?m=1374,7/5/2007,7/5/2007
1376,,"Modern Irrigation",,,1931,"Daughters of the American Revolution",40.76302,-111.88735,"111 E 300 South","Salt Lake City","Central City","Salt Lake County","Utah","It is on 300 South, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=1376,7/6/2007,2/16/2023
1379,"16","Legacy of the Black Pioneer",,,1987,"Sons of Utah Pioneers",40.69655,-111.82719,"2217 E Evergreen Ave","Salt Lake City","Canyon Rim","Salt Lake County","Utah","It is on East Evergreen Avenue, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=1379,7/6/2007,9/17/2024
1381,,"Old Brickyards",,,1990,"Iron County Historical Society",37.66359,-113.06757,"790 South Main Street","Cedar City",,"Iron County","Utah","It is at the intersection of Main Street and 800 South on Main Street. ",,https://www.hmdb.org/m.asp?m=1381,7/6/2007,9/15/2012
1382,,"South Rim of the Great Basin",,,,"Utah State Road Commission",37.57687,-113.16131,,"Kanarraville",,"Iron County","Utah","It is on Old U.S. 91, 2.9 miles Kanarraville, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=1382,7/6/2007,9/13/2012
1385,,"Gardeners’ Club Hall",,,1994,"Sons of Utah Pioneers",37.10954,-113.58306,"36 E. St. George Boulevard","St. George",,"Washington County","Utah","It can be reached from St. George Boulevard. ",,https://www.hmdb.org/m.asp?m=1385,7/7/2007,7/7/2007
1386,,"St. George Temple",,,1994,"Sons of Utah Pioneers",37.10933,-113.58316,"36 E. St. George Boulevard","St. George",,"Washington County","Utah","It can be reached from St. George Boulevard. ",,https://www.hmdb.org/m.asp?m=1386,7/7/2007,7/7/2007
1387,,"St. George Tabernacle",,,1994,"Sons of Utah Pioneers",37.10933,-113.58296,"36 E. St. George Boulevard","St. George",,"Washington County","Utah","It can be reached from St. George Boulevard. ",,https://www.hmdb.org/m.asp?m=1387,7/7/2007,7/7/2007
1388,"97","St. George Stake Tabernacle",,,1947,,37.10776,-113.58365,"18 South Main Street","St. George",,"Washington County","Utah","It is on Main Street. ",,https://www.hmdb.org/m.asp?m=1388,7/7/2007,7/7/2007
1389,,"The Woodward School",,,1994,"Sons of Utah Pioneers",37.10939,-113.58314,"36 E. St. George Boulevard","St. George",,"Washington County","Utah","It can be reached from St. George Boulevard. ",,https://www.hmdb.org/m.asp?m=1389,7/7/2007,7/7/2007
1390,,"The Woodward School",,,1992,"St. George Historic Preservation Committee",37.10791,-113.58516,"15 S 100 West","St. George",,"Washington County","Utah","It can be reached from S 100 West. ",,https://www.hmdb.org/m.asp?m=1390,7/7/2007,7/7/2007
1392,,"Dixie Academy",,,1994,"Sons of Utah Pioneers",37.10936,-113.58295,"36 E. St. George Boulevard","St. George",,"Washington County","Utah","It can be reached from St. George Boulevard. ",,https://www.hmdb.org/m.asp?m=1392,7/7/2007,7/7/2007
1393,,"St. George Social Hall “Opera House”",,,1994,"Sons of Utah Pioneers",37.10958,-113.58301,"36 E. St. George Boulevard","St. George",,"Washington County","Utah","It is on St. George Boulevard. ",,https://www.hmdb.org/m.asp?m=1393,7/7/2007,7/7/2007
1395,,"And the Desert Shall Blossom",,,1994,"Sons of Utah Pioneers",37.10944,-113.58294,"36 E. St. George Boulevard","St. George",,"Washington County","Utah","It can be reached from St. George Boulevard. ",,https://www.hmdb.org/m.asp?m=1395,7/7/2007,7/7/2007
1396,"14","The Dixie Pioneers",,,1936,"Daughters of Utah Pioneers",37.11028,-113.58141,"97 E St. George Blvd.","St. George",,"Washington County","Utah","It is on St. George Boulevard. ",,https://www.hmdb.org/m.asp?m=1396,7/7/2007,9/4/2012
1420,"39","Jordan & Salt Lake City Canal",,,1991,"Sons of Utah Pioneers",40.72535,-111.86057,"1100 E 2100 South","Salt Lake City","Sugar House","Salt Lake County","Utah","It is on E 2100 South, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=1420,7/7/2007,10/8/2024
1421,,"Philo T. Farnsworth",,,1993,"Beaver City and Beaver Travel Council",38.27398,-112.63997,"64 E Center Street","Beaver",,"Beaver County","Utah","It is on Center Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=1421,7/7/2007,12/23/2019
1423,,"Southern Expedition, 1849-1850",,,,,37.83631,-112.82754,"95 W old Highway 91","Parowan",,"Iron County","Utah","It can be reached from Old Highway 91 (U.S. 91). ",,https://www.hmdb.org/m.asp?m=1423,7/8/2007,9/18/2012
1424,,"Parley P. Pratt","1807–1857",,2001,"Parowan Heritage Foundation",37.83631,-112.82812,"95 W Old Highway 91","Parowan",,"Iron County","Utah","It can be reached from Old Highway 91. ",,https://www.hmdb.org/m.asp?m=1424,7/8/2007,12/23/2019
1427,,"The Roads to Utah’s Dixie",,,,,37.17613,-113.28866,"35 W State Street","Hurricane",,"Washington County","Utah","It is on State Street. ",,https://www.hmdb.org/m.asp?m=1427,7/8/2007,9/11/2012
1429,"N-404","Beaver Opera House",,,1988,"Utah State Historical Society",38.27427,-112.64004,"81 Center Street","Beaver",,"Beaver County","Utah","It is on Center Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=1429,7/8/2007,7/27/2014
1430,,"St. Mark’s/Westminster School of Nursing",,,,,40.68688,-111.85429,"1300 E 3900 South","Salt Lake City","Millcreek","Salt Lake County","Utah","It is on 3900 South, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=1430,7/8/2007,1/6/2025
1436,,"The Old Sugar House",,,1930,,40.72529,-111.86013,"1100 E 2100 South","Salt Lake City","Sugar House","Salt Lake County","Utah","It is on 2100 South, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=1436,7/8/2007,2/16/2023
1438,,"Topaz 1942–1946","Central Utah WRA Relocation Center",,,,39.35262,-112.57816,"150 W Main Street","Delta",,"Millard County","Utah","It is on Main Street. ",,https://www.hmdb.org/m.asp?m=1438,7/9/2007,1/25/2020
1439,"218","Escalante Trail",,,1955,"Daughters of Utah Pioneers",39.35270,-112.57840,"150 W Main Street","Delta",,"Millard County","Utah","It is on Main Street. ",,https://www.hmdb.org/m.asp?m=1439,7/9/2007,12/30/2024
1442,,"Washington City 1857",,,2000,"Washington City Historical Society",37.13009,-113.51343,"151 W Telegraph","Washington",,"Washington County","Utah","It is on Telegraph Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=1442,7/9/2007,9/20/2012
1444,,"Telegraph Street / Millcreek Mills",,,2000,"Washington City Historical Society",37.13009,-113.51343,"151 W Telegraph","Washington",,"Washington County","Utah","It is on Telegraph Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=1444,7/9/2007,9/20/2012
1449,,"Sesquicentennial Mormon Trail Wagontrain",,,1998,"Sons of Utah Pioneers",40.75271,-111.81695,"2601 Sunnyside Avenue","Salt Lake City","University","Salt Lake County","Utah","It can be reached from Sunnyside Avenue. ",,https://www.hmdb.org/m.asp?m=1449,7/9/2007,2/16/2023
1460,,"Base Chapel",,,,,40.73052,-114.02731,,"Wendover",,"Tooele County","Utah","It is on Historic Wendover Airfield. ",,https://www.hmdb.org/m.asp?m=1460,7/9/2007,1/25/2020
1462,,"Dixie Academy",,,,"St. George Historic Preservation Committee",37.10668,-113.58342,"86 S Main Street","St. George",,"Washington County","Utah","It is on Main Street. ",,https://www.hmdb.org/m.asp?m=1462,7/9/2007,7/9/2007
1525,,"This is the Place Monument",,,1947,,40.75205,-111.81635,"2601 East Sunnyside Avenue","Salt Lake City","University","Salt Lake County","Utah","It can be reached from Sunnyside Avenue. ",,https://www.hmdb.org/m.asp?m=1525,7/9/2007,1/13/2025
1560,,"20th Ward Meetinghouse",,,1992,"Utah State Historical Society",40.77181,-111.87504,"489 E 2nd Avenue","Salt Lake City","The Avenues","Salt Lake County","Utah","It is on 2nd Avenue, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=1560,7/5/2007,2/16/2023
2253,,"Memorial to Horace and Hannah Leavitt Fish",,,2001,"Descendants of Horace and Hannah Leavitt Fish",37.83631,-112.82748,"95 W Old Highway 91","Parowan",,"Iron County","Utah","It can be reached from Old Highway 91. ",,https://www.hmdb.org/m.asp?m=2253,9/2/2007,9/17/2012
4615,,"Newspaper Rock","State Historical Monument",,,"Utah Parks and Recreation",37.98896,-109.51832,,"Monticello",,"San Juan County","Utah","It is on Utah Route 211, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=4615,1/8/2008,8/30/2019
14341,,"American Legion Hiatt-Hunt Post 80","1946      Fifty Years       1996",,1996,"American Legion Hiatt-Hunt Post 80",37.57583,-113.69917,"1000 E Hwy 18","Enterprise",,"Washington County","Utah","It is at the intersection of Highway 18 and Bentley Lane, on the right when traveling south on Highway 18. ",,https://www.hmdb.org/m.asp?m=14341,12/10/2008,1/25/2020
14342,,"Thomas Sirls Terry","3 Oct 1825 – 12 Aug 1920",,1996,,37.57361,-113.70417,,"Enterprise",,"Washington County","Utah","It can be reached from Highway 18 near Highway 120. ",,https://www.hmdb.org/m.asp?m=14342,12/10/2008,12/23/2019
14343,,"Mary Ann Pulsipher Terry","20 Nov 1833 – 18 Sept 1913",,1996,,37.57361,-113.70417,,"Enterprise",,"Washington County","Utah","It can be reached from Highway 18 near Highway 120. ",,https://www.hmdb.org/m.asp?m=14343,12/10/2008,4/18/2018
14344,,"Eliza Jane Pulsipher Terry","26 July 1840 – 6 May 1919",,1996,,37.57361,-113.70417,,"Enterprise",,"Washington County","Utah","It can be reached from Highway 18 near Highway 120. ",,https://www.hmdb.org/m.asp?m=14344,12/10/2008,4/18/2018
14345,,"Hannah Louise Leavitt Terry","16 Mar 1855 – 5 Jan 1938",,1996,,37.57361,-113.70417,,"Enterprise",,"Washington County","Utah","It can be reached from Highway 18 near Highway 120. ",,https://www.hmdb.org/m.asp?m=14345,12/10/2008,4/18/2018
14694,,"The Burial Sites",,,1999,,37.47694,-113.63222,,"Central",,"Washington County","Utah","It can be reached from Highway 18. ",,https://www.hmdb.org/m.asp?m=14694,12/26/2008,9/11/2011
27020,"62","Panguitch Fort",,,1940,"Daughters of Utah Pioneers",37.82270,-112.43162,,"Panguitch",,"Garfield County","Utah","It is at the intersection of Center Street (U.S. 89) and 200 E Center Street, on the right when traveling east on Center Street. ",,https://www.hmdb.org/m.asp?m=27020,1/31/2010,6/22/2014
27040,"166","Panguitch Stake Tabernacle",,,1951,"Daughters of Utah Pioneers",37.82274,-112.43361,,"Panguitch",,"Garfield County","Utah","It is at the intersection of E. Center Street (U.S. 89) and 100 E, on the right when traveling west on E. Center Street. ",,https://www.hmdb.org/m.asp?m=27040,1/31/2010,6/22/2014
