MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
9230,,"Hubbardton Battle Monument",,,1859,"Citizens of Hubbardton and vicinity",43.69509,-73.13865,"5696 Monument Hill Road","Hubbardton",,"Rutland County","Vermont","It is on Monument Hill Road, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=9230,7/16/2008,6/13/2021
9232,,"Mt. Independence Military Road","Route to Hubbardton, 1777",,1949,"Vermont Historic Sites Commission",43.80327,-73.30512,,"Orwell",,"Addison County","Vermont","It is at the intersection of Vermont Route 22A and Main St (County Route 73), on the right when traveling south on Vermont Route 22A. <font color=red> Reported permanently removed.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=9232,7/16/2008,11/3/2020
9234,,"Military Road",,,1933,"Daughters of the American Revolution, Hands Cove Chapter",43.79510,-73.34899,,"Orwell",,"Addison County","Vermont","It is on Mt. Independence Road, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=9234,7/16/2008,11/3/2020
9275,,"Mount Independence","Bastion of the Revolution",,1976,"Vermont Society Sons of the American Revolution",43.82042,-73.38612,"497 Mount Independence Road","Orwell",,"Addison County","Vermont","It can be reached from Mount Independence Road, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=9275,7/18/2008,11/3/2020
11408,,"British Flank Near Mt. Zion",,,,"Hubbardton Battlefield State Historic Site",43.69486,-73.14089,,"Hubbardton",,"Rutland County","Vermont","It can be reached from Monument Hill Road, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=11408,9/12/2008,11/4/2020
13600,,"Bennington Battle Monument",,,1957,"Vermont Historic Sites Commission",42.88459,-73.21360,,"Old Bennington","Old Bennington","Bennington County","Vermont","It is at the intersection of Monument Ave. and Main Street ( Route 9), on the left when traveling north on Monument Ave.. ",,https://www.hmdb.org/m.asp?m=13600,11/16/2008,2/16/2023
13649,,"Battle of Bennington",,,,"Bennington Historical Museum",42.88916,-73.21620,"15 Monument Circle","Bennington","Old Bennington","Bennington County","Vermont","It is on Monument Circle, in the median. ",,https://www.hmdb.org/m.asp?m=13649,11/23/2008,2/16/2023
14828,,"Continental Storehouse Site",,,,,42.88912,-73.21630,,"Old Bennington","Old Bennington","Bennington County","Vermont","It is on Monument Circle, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=14828,12/30/2008,2/16/2023
15580,,"Larrabee’s Point",,,,"Lake Champlain Historic Landings Heritage Trail",43.85585,-73.37687,,"Shoreham",,"Addison County","Vermont","It is on Vermont Route 74, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=15580,1/24/2009,2/14/2021
17846,,"Fort Ticonderoga and Mount Defiance","Mount Independence State Historic Site",,,"Mount Independence State Historic Site",43.82892,-73.38582,,"Orwell",,"Addison County","Vermont","It can be reached from Mount Independence Road, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=17846,4/11/2009,11/3/2020
