MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
40333,,"Fort Christian",,,,"Virgin Island State Historic Preservation Office, Department of Planning & Natural Resources",18.34093,-64.92980,,"Charlotte Amalie",,"St. Thomas","Virgin Islands","It is on Tolbod Pldn just east of Forte Strade, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=40333,2/18/2011,6/11/2024
40456,,"St. Thomas' Liberty Bell Reproduction:",,,,,18.34113,-64.93062,,"Charlotte Amalie",,"St. Thomas","Virgin Islands","It is on Fort Pladsen, on the right. ",,https://www.hmdb.org/m.asp?m=40456,2/24/2011,9/5/2024
40457,,"St. Thomas Community Bandmaster",,,,,18.34112,-64.93023,,"Charlotte Amalie",,"St. Thomas","Virgin Islands","It is on Fort Strade, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=40457,2/25/2011,12/24/2019
40458,,"America's First Lady Addressed the People of St. Thomas","(Emancipation Park)",,,,18.34112,-64.93023,,"Charlotte Amalie",,"St. Thomas","Virgin Islands","It is on Fort Strade, on the left. ",,https://www.hmdb.org/m.asp?m=40458,2/24/2011,6/11/2024
40461,,"Arthur S. Fairchild",,,,"People of the Virgin Islands",18.36413,-64.92221,,"Enighed",,"St. Thomas","Virgin Islands","It is on Magens Bay Road (Local Route 35), in the median. ",,https://www.hmdb.org/m.asp?m=40461,2/24/2011,6/9/2024
40615,,"Frederick Lutheran Church",,,,,18.34169,-64.92983,,"Charlotte Amalie",,"St. Thomas","Virgin Islands","It is at the intersection of Norre Gade and Kirke Strade, on the right when traveling west on Norre Gade. ",,https://www.hmdb.org/m.asp?m=40615,3/3/2011,7/31/2023
60707,,"Fort Christiansvaern",,,,"National Park Service, U.S. Department of the Interior",17.74690,-64.70220,,"Christiansted",,"St. Croix","Virgin Islands","It is on Hospital Street. ",,https://www.hmdb.org/m.asp?m=60707,11/10/2012,1/6/2025
60709,,"Danish Customs House",,,,,17.74670,-64.70250,,"Christiansted",,"St. Croix","Virgin Islands","It is on Hospital Street. ",,https://www.hmdb.org/m.asp?m=60709,11/11/2012,6/11/2024
60711,,"Steeple Building",,,,"National Park Service, U.S. Department of the Interior",17.74650,-64.70240,,"Christiansted",,"St. Croix","Virgin Islands","It is on King Street. ",,https://www.hmdb.org/m.asp?m=60711,11/11/2012,6/11/2024
60712,,"Establishment of Virgin Islands National Park","A Grassroots Contribution",,,"National Park Service, U.S. Department of the Interior",18.33310,-64.79310,,"Cruz Bay",,"St. John","Virgin Islands","It is on North Shore Road. ",,https://www.hmdb.org/m.asp?m=60712,11/11/2012,6/11/2024
60713,,"Laurance Rockefeller","Philanthropist",,,"National Park Service, U.S. Department of the Interior",18.33310,-64.79310,,"Cruz Bay",,"St. John","Virgin Islands","It is on North Shore Road. ",,https://www.hmdb.org/m.asp?m=60713,11/11/2012,6/11/2024
60716,,"Philanthropy in the National Park Service",,,,"National Park Service, U.S. Department of the Interior",18.33310,-64.79310,,"Cruz Bay",,"St. John","Virgin Islands","It is on North Shore Road. ",,https://www.hmdb.org/m.asp?m=60716,11/11/2012,6/11/2024
60776,,"Annaberg Historic Trail","Annaberg Sugar Mill",,,"National Park Service, U.S. Department of the Interior",18.36293,-64.73022,,"St. John",,"St. John","Virgin Islands","It is on Virgin Islands Route 20. ",,https://www.hmdb.org/m.asp?m=60776,11/11/2012,1/3/2025
