MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
3734,,"Colville - Walla Walla Road",,,1929,"Eastern Washington Historical Society",47.64367,-117.77290,,"Hite",,"Spokane County","Washington","It is on U.S. 2 near S. Coulee Hite Road. ",,https://www.hmdb.org/m.asp?m=3734,11/27/2007,11/29/2009
3766,,"Wai-i-lat-pu",,,,"Cooperating Agencies",46.04995,-118.46610,,"Walla Walla",,"Walla Walla County","Washington","It is on Route 12, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=3766,11/28/2007,10/28/2020
3816,,"Battle of Four Lakes",,,1935,"Spokane County Pioneer Society, Medical Lake Commercial Club, and Four Lakes Grange",47.56175,-117.59630,,"Four Lakes",,"Spokane County","Washington","It is on S. Electric Ave. near West 1st Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=3816,11/29/2007,10/14/2020
3817,,"The Battle of Spokane Plains",,,,"Washington State Historical Society",47.64318,-117.64802,,"Fairchild",,"Spokane County","Washington","It is on South Dover Road near U.S. 2, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=3817,11/29/2007,10/14/2020
8382,,"The Finn Hall",,,,"Descendants and friends of Finnish Settlers, Woodland Bicentennial Committee, Washington State Highways Commission, Washington State Parks and Recreation Commission, Cowlitz County Parks and Recreation Dept.",45.94358,-122.69297,,"Woodland",,"Cowlitz County","Washington","It is on Finn Hall Road (Washington Route 503). ",,https://www.hmdb.org/m.asp?m=8382,6/18/2008,12/28/2024
8383,,"The Reservation Monument",,,1925,"Washington State Historical Society",45.62880,-122.66427,,"Vancouver","Hudson Bay","Clark County","Washington","It is at the intersection of E. Evergreen Way and Officers Row on E. Evergreen Way. ",,https://www.hmdb.org/m.asp?m=8383,6/18/2008,2/7/2023
8399,,"Woodland Community Veterans Memorial",,,2001,,45.90117,-122.74706,"230 Davidson Ave.","Woodland",,"Cowlitz County","Washington","It is at the intersection of Davidson Avenue and Goerig Street, on the right when traveling west on Davidson Avenue. ",,https://www.hmdb.org/m.asp?m=8399,6/19/2008,6/19/2008
8400,"15","Fort Vancouver",,,,"Historical Sites and Markers Commission, State Highway Commission",45.79927,-122.68005,,"Ridgefield",,"Clark County","Washington","It is on Southbound Gee Creek Rest Area (Interstate 5). ",,https://www.hmdb.org/m.asp?m=8400,6/19/2008,10/14/2020
8401,,"Theodore A. Penland Rose Garden",,,,"The Daughters of Union Veterans and the Woman’s Relief Corps, Auxiliary to the G.A.R. of Clark County, Washington",45.63698,-122.65635,"1601 East 4th Plain Boulevard","Vancouver","Central Park","Clark County","Washington","It is on C Street Circle, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=8401,6/19/2008,4/5/2023
8403,,"The First Fort Vancouver",,,,,45.62484,-122.64046,,"Vancouver","Hudson Bay","Clark County","Washington","It is at the intersection of Grand Boulevard and E. 6th Street, on the right when traveling north on Grand Boulevard. ",,https://www.hmdb.org/m.asp?m=8403,6/19/2008,2/7/2023
8405,,"The 321st Observation Squadron (1923-1941)",,,,"Vancouver National Historic Reserve",45.62417,-122.65728,"1115 E 5th St.,","Vancouver","Hudson Bay","Clark County","Washington","It is on E. 5th Street, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=8405,6/19/2008,2/7/2023
8406,,"From Military to Municipal Airfield",,,,"Vancouver National Historic Reserve",45.62045,-122.64973,,"Vancouver","Hudson Bay","Clark County","Washington","It is on S. V Street near Columbia House Boulevard. ",,https://www.hmdb.org/m.asp?m=8406,6/19/2008,2/7/2023
8423,,"First Japanese on the North American Continent",,,1989,"Hyogo Boy Scouts Rover Troop, 1989 Washington Centennial Commission, National Park Service and Japanese American Citizens League",45.62639,-122.65684,,"Vancouver","Hudson Bay","Clark County","Washington","It is on E. Evergreen Way, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=8423,6/20/2008,2/7/2023
8424,,"U. S. Grant Memorial","1853",,1927,"Cadets, Hill Military Academy, Portland, Oregon",45.62458,-122.65360,,"Vancouver","Hudson Bay","Clark County","Washington","It is on E. 5th Street near Davis Avenue, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=8424,6/20/2008,9/25/2023
8427,,"Carlton Foster Bond","1893 - 1980",,1996,"Kenneth E. & Eunice M. Teter",45.62428,-122.65685,"1115 E 5th St.","Vancouver","Hudson Bay","Clark County","Washington","It is on E. 5th Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=8427,6/20/2008,2/7/2023
8496,,"Vancouver Barracks Parade Ground",,,,"National Park Service",45.62772,-122.66026,"1101 E. Evergreen Way","Vancouver","Hudson Bay","Clark County","Washington","It is on E. Evergreen Way, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=8496,6/23/2008,2/7/2023
8499,,"The Grant House",,"Officers Row",,"Vancouver National Historic Reserve",45.62795,-122.66002,"1101 E. Evergreen Blvd.","Vancouver","Hudson Bay","Clark County","Washington","It is on E. Evergreen Boulevard, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=8499,6/23/2008,2/7/2023
8513,,"Harley H. Hall",,,,"The American Legion Post 176",45.72225,-122.65042,"14011 NE 20th Ave","Salmon Creek Heights","Pleasant Valley","Clark County","Washington","It is on NE 139th Street near NE 20th Ave. <font color=red> Reported permanently removed.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=8513,6/23/2008,2/7/2023
8515,,"Captain George Vancouver Monument Plaza","1792 Discovery",,1992,,45.62179,-122.67389,"100 Columbia Street","Vancouver","Esther Short","Clark County","Washington","It is on Columbia Street near 3rd Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=8515,6/24/2008,2/7/2023
8516,,"Captain George Vancouver Monument","Boat of Discovery",,1992,,45.62179,-122.67389,"100 Columbia Street","Vancouver","Esther Short","Clark County","Washington","It is on Columbia Street near 3rd Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=8516,6/24/2008,2/7/2023
8517,,"Covington House",,,,,45.65265,-122.66639,"4201 Main St.","Vancouver","Lincoln","Clark County","Washington","It is on Main Street near E. 40th Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=8517,6/24/2008,2/7/2023
8519,,"Cannon Replica Project",,,1991,"City of Vancouver",45.62843,-122.66363,,"Vancouver","Hudson Bay","Clark County","Washington","It is at the intersection of E. Evergreen Way and Fort Vancouver Way, on the right when traveling east on E. Evergreen Way. ",,https://www.hmdb.org/m.asp?m=8519,6/25/2008,2/7/2023
8523,"66","Officers Row","Fort Vancouver Barracks",,,"Washington State Parks and Recreation Commission",45.62801,-122.66016,"1101 E. Evergreen Way","Vancouver","Hudson Bay","Clark County","Washington","It is on E. Evergreen Way, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=8523,7/27/2008,2/7/2023
8527,,"Officers Row",,,,"Vancouver National Historic Reserve",45.62865,-122.66279,,"Vancouver","Hudson Bay","Clark County","Washington","It is at the intersection of E. Evergreen Way and Fort Vancouver Way, on the left when traveling east on E. Evergreen Way. ",,https://www.hmdb.org/m.asp?m=8527,7/27/2008,2/7/2023
8529,,"Officers Row",,,,"Vancouver National Historic Reserve",45.62667,-122.65484,,"Vancouver","Hudson Bay","Clark County","Washington","It is on Officers Row near E. Evergreen Blvd, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=8529,7/27/2008,2/7/2023
