MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
345,,"The Mingo",,,1928,"The Kiwanis Club and Geo. W. Lutz",40.07921,-80.72305,,"Wheeling",,"Ohio County","West Virginia","It is at the intersection of National Road (U.S. 40) and Stone Boulevard and Mt. Wood Road and Pike Street, on the left when traveling west on National Road. ",,https://www.hmdb.org/m.asp?m=345,5/10/2006,9/29/2024
391,,"Pinoak Fountain",,,2001,"the Pinoak Extension Homemakers Club, and the West Virginia Division of Archives and History",39.43882,-78.45173,,"Pinoak",,"Hampshire County","West Virginia","It is at the intersection of Highway 29 and Falconwood Road, on the right when traveling south on Highway 29. ",,https://www.hmdb.org/m.asp?m=391,6/9/2006,1/31/2022
449,,"Paw Paw",,,,"West Virginia Archives and History",39.53381,-78.45706,,"Paw Paw",,"Morgan County","West Virginia","It is at the intersection of West Virginia Route 9 and Winchester Street, on the right when traveling east on West Virginia Route 9. ",,https://www.hmdb.org/m.asp?m=449,7/21/2006,6/7/2023
450,,"Paw Paw / Paw Paw Tunnel / <i>The Fruit</i>","Washington Heritage Trail",,,,39.53380,-78.45720,,"Paw Paw",,"Morgan County","West Virginia","It is at the intersection of West Virginia Route 9 and Winchester Street, on the right when traveling east on West Virginia Route 9. <font color=red> Reported unreadable.</font>",Reported Missing,https://www.hmdb.org/m.asp?m=450,7/22/2006,10/24/2021
459,,"W. Va School for the Deaf and Blind",,,,,39.34075,-78.75287,"301 East Main Street","Romney",,"Hampshire County","West Virginia","It is at the intersection of East Main Street (U.S. 50) and Administration Circle, on the left when traveling east on East Main Street. ",,https://www.hmdb.org/m.asp?m=459,7/26/2006,8/29/2022
474,,"Old Stone Tavern",,,1987,"West Virginia Department of Culture and History",39.32640,-79.53193,,"Aurora",,"Preston County","West Virginia","It is on George Washington Highway (U.S. 50) west of  Route 24, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=474,8/9/2006,10/28/2023
475,,"Gantz Sand",,,1963,"The W. Va. Centennial Committee of the Oil and Natural Gas Industry, and the West Virginia Historic Commission",39.32364,-79.55653,,"Aurora",,"Preston County","West Virginia","It is on George Washington Highway (U.S. 50) west of Aurora Pike, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=475,8/9/2006,10/28/2023
498,,"Madonna of the Trail",,,1926,"the National Society of the Daughters of the American Revolution (DAR)",40.05579,-80.66922,,"Elm Grove",,"Ohio County","West Virginia","It is on National Road (U.S. 40) east of Wheeling Park Drive, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=498,8/29/2006,5/4/2023
500,,"The Madonna of the Trail",,,,"The National Road Alliance of West Virginia and the Federal Highway Administration",40.05572,-80.66930,,"Elm Grove",,"Ohio County","West Virginia","It is on National Road (U.S. 40) east of Wheeling Park Drive, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=500,8/29/2006,6/30/2023
511,,"The Dwight D. Eisenhower Highway",,,,"the American Traffic Safety Services Association and the Road Information Program",40.09175,-80.53591,,"Valley Grove",,"Ohio County","West Virginia","It can be reached from West Virginia Welcome Center (Interstate 70) west of the Pennsylvania state line, on the right when traveling west. <font color=red> Reported missing.</font>",Reported Missing,https://www.hmdb.org/m.asp?m=511,9/2/2006,4/24/2022
512,,"The National Pike",,,1965,"West Virginia Historic Commission",40.05571,-80.66932,,"Elm Grove",,"Ohio County","West Virginia","It is on National Road (U.S. 40) east of Wheeling Park Drive, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=512,9/2/2006,1/4/2022
513,,"McColloch’s Leap",,,1917,"The Society of the Daughters of the Revolution in West Virginia",40.07993,-80.72252,,"Wheeling",,"Ohio County","West Virginia","It is on National Road (U.S. 40) east of Stone Boulevard, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=513,9/2/2006,9/10/2024
518,,"Ray’s Arithmetic",,,,"West Virginia Archives and History",40.10372,-80.54875,,"Valley Grove",,"Ohio County","West Virginia","It is on National Pike (U.S. 40) near County Route 45, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=518,9/5/2006,4/24/2022
534,,"Wheeling",,,,,40.07167,-80.72482,,"Wheeling",,"Ohio County","West Virginia","It is at the intersection of Main Street (U.S. Route 40) (West Virginia Route 2) and Interstate 70, on the right when traveling south on Main Street (U.S. Route 40). ",,https://www.hmdb.org/m.asp?m=534,9/17/2006,4/24/2022
535,,"Wheeling Suspension Bridge",,,1971,"the West Virginia Department of Archives and History",40.07040,-80.72459,,"Wheeling",,"Ohio County","West Virginia","It is at the intersection of Main Street (U.S. 40) and 10th Street (U.S. 40), on the right when traveling south on Main Street. ",,https://www.hmdb.org/m.asp?m=535,9/17/2006,8/21/2024
749,,"Forks of Wheeling Creek",,,1970,"West Virginia Department of Archives and History",40.04313,-80.65935,,"Elm Grove",,"Ohio County","West Virginia","It is on Wheeling and Elm Glove Boulevard (U.S. 88) west of National Road (U.S. 40), on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=749,12/9/2006,2/16/2023
750,,"“Monument Place”",,,1974,"West Virginia Department of Archives and History",40.04318,-80.65884,,"Elm Grove",,"Ohio County","West Virginia","It is at the intersection of Wheeling and Elm Grove Boulevard (West Virginia Route 88) and National Road (U.S. 40), on the left when traveling west on Wheeling and Elm Grove Boulevard. ",,https://www.hmdb.org/m.asp?m=750,12/9/2006,5/9/2023
983,,"Boydville",,,,,39.45117,-77.96561,"601 S. Queen St.","Martinsburg",,"Berkeley County","West Virginia","It is on South Queen Street (West Virginia Route 45) north of Buxton Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=983,4/30/2007,1/17/2020
990,,"Hedgesville",,,,,39.55278,-77.99389,,"Hedgesville",,"Berkeley County","West Virginia","It is on Hedgesville Road (West Virginia Route 9) near Mt. Zion Street, on the right. ",,https://www.hmdb.org/m.asp?m=990,5/3/2007,6/6/2022
1021,,"Levi Morgan",,,1902,"the Commission; Hon. A.B. White, Gov., Hon. Aaron Morgan, Hon. Anthony Smith, Hon. Samuel Rainheimer, Hon. W.G. Wilson, Hon. Jasper S. Kyle.",39.64029,-80.86587,,"New Martinsville",,"Wetzel County","West Virginia","It is at the intersection of Main Street and Washington Street, on the right when traveling south on Main Street. ",,https://www.hmdb.org/m.asp?m=1021,5/17/2007,7/14/2019
1031,,"Border Heroine",,,2004,"West Virginia Celebration 2000 and the West Virginia Division of Archives and History",39.71290,-80.11770,,"Pentress",,"Monongalia County","West Virginia","It is at the intersection of Mason-Dixon Highway (West Virginia Route 7) and Buckeye Road (County Route 39) on Mason-Dixon Highway. ",,https://www.hmdb.org/m.asp?m=1031,5/19/2007,7/14/2019
1041,,"Hundred",,,,,39.68333,-80.45840,,"Hundred",,"Wetzel County","West Virginia","It is at the intersection of Main Street (U.S. 250) and Pennsylvania Avenue ( Route 69), on the left when traveling south on Main Street. ",,https://www.hmdb.org/m.asp?m=1041,5/24/2007,7/14/2019
1112,,"Morgan County / Berkeley County",,,1978,"West Virginia Department of Culture and History",39.59699,-78.06720,"11107 Hedgesville Rd","Hedgesville",,"Berkeley County","West Virginia","It is on Martinsburg Road or Hedgesville Road (West Virginia Route 9) west of Rustic Tavern Road, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=1112,6/9/2007,9/23/2021
