MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
1024,"25","Grand Rapids of the Wisconsin River",,,1964,,44.39279,-89.82409,,"Wisconsin Rapids",,"Wood County","Wisconsin","It is at the intersection of North 1st Street and East Jackson Street, on the left when traveling north on North 1st Street. ",,https://www.hmdb.org/m.asp?m=1024,5/18/2007,9/30/2010
1033,"418","The Historic Southside Railroad Complex of Stevens Point",,,1999,"the Wisconsin Historical Society",44.51383,-89.57303,,"Stevens Point",,"Portage County","Wisconsin","It is at the intersection of Monroe Street and Wyatt Avenue, on the right when traveling east on Monroe Street. ",,https://www.hmdb.org/m.asp?m=1033,5/20/2007,4/26/2022
1038,"85","Stevens Point — Gateway to the Pineries",,,1972,"the Portage County Historical Society",44.52350,-89.58830,,"Stevens Point",,"Portage County","Wisconsin","It can be reached from Crosby Avenue, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=1038,5/21/2007,1/23/2021
1109,"130","Point Basse",,,1963,"the Wisconsin Historical Society",44.32329,-89.88788,,"Nekoosa",,"Wood County","Wisconsin","It can be reached from Prospect Avenue (State Highway 73) ½ mile north of State Highway 173, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=1109,6/8/2007,12/8/2024
1193,"28","Wakely’s Tavern","Pointe Basse",,1971,"the South Wood County Historical Corporation",44.29994,-89.89039,,"Nekoosa",,"Wood County","Wisconsin","It is on Wakely Road, 0.3 miles west of County Highway Z, on the left when traveling west. <font color=red> Reported missing.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=1193,6/18/2007,8/18/2014
1215,"86","Cranberry Culture",,,1959,"the Wisconsin Historical Society",44.34767,-89.98026,,"Port Edwards",,"Wood County","Wisconsin","It is on State Highway 54, 0.8 miles west of County Highway GG, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=1215,6/21/2007,2/15/2009
1221,"13","John Edwards Jr.","1831 – 1891",,,,44.33954,-89.85881,"100 Wisconsin River Drive","Port Edwards",,"Wood County","Wisconsin","It is on Wisconsin River Drive, 0.3 miles south of Wisconsin Highway 54 & 73, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=1221,6/22/2007,12/30/2019
1649,"245","Clare A. Briggs – Cartoonist",,,1978,"the Wisconsin Historical Society",43.53329,-89.92800,,"Reedsburg",,"Sauk County","Wisconsin","It is on State Highway 33, 0.1 miles east of Wakerly Lane, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=1649,7/15/2007,5/5/2018
1770,"121","Du Bay Trading Post",,,1962,"the Wisconsin Historical Society",44.67612,-89.69244,"4501 County Highway E.","Junction City",,"Portage County","Wisconsin","It is on County Highway E, 1.8 miles east of State Highway 34, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=1770,7/20/2007,7/11/2009
1780,,"John Baptiste DuBay","1810 — 1887",,1945,"George W. Mead, president of Consolidated Water Power & Paper Company.",44.70386,-89.67315,,"Knowlton",,"Marathon County","Wisconsin","It is on Old U.S. Highway 51 South,, 0.1 miles south of School Road, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=1780,7/20/2007,12/30/2019
1865,"66","Mitchell Red Cloud, Jr.","(1925–1950)",,1957,"the Wisconsin Historical Society",44.33523,-90.73937,,"Black River Falls",,"Jackson County","Wisconsin","It is on State Highway 54, 4.5 miles east of Interstate 94, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=1865,7/28/2007,12/7/2024
1882,"104","Wisconsin Dells",,,1961,"the Wisconsin Historical Society",43.62642,-89.78444,,"Wisconsin Dells",,"Sauk County","Wisconsin","It can be reached from State Highway 13/16, 0.1 miles east of U.S. 12, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=1882,7/28/2007,5/30/2019
1887,"27","Dr. Byron Robinson","1855 – 1910",,1964,,44.39616,-89.80567,,"Wisconsin Rapids",,"Wood County","Wisconsin","It is at the intersection of 17th Street North and Apricot Street, on the right when traveling north on 17th Street North. ",,https://www.hmdb.org/m.asp?m=1887,7/29/2007,12/30/2019
1932,"187","The Merrimac Ferry",,,1973,"the Wisconsin Historical Society",43.36566,-89.61909,,"Merrimac",,"Columbia County","Wisconsin","It is on State Highway 113, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=1932,8/1/2007,10/14/2020
1963,"14","Ed “Strangler” Lewis",,,1966,,44.31422,-89.90181,"100 Park Street","Nekoosa",,"Wood County","Wisconsin","It is at the intersection of Park Street and Buehler Avenue, on the right when traveling north on Park Street. ",,https://www.hmdb.org/m.asp?m=1963,8/2/2007,10/3/2024
2059,"199","Chippewa Valley White Pine",,,1973,"the Wisconsin Historical Society",44.90706,-91.90731,,"Menomonie",,"Dunn County","Wisconsin","It can be reached from Interstate 94 at milepost 43, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=2059,8/15/2007,12/28/2024
2161,"200","Brule-St. Croix Waterway",,,1973,"the Wisconsin Historical Society",45.04695,-92.78105,,"Houlton",,"St. Croix County","Wisconsin","It can be reached from Wisconsin Route 64 just south of  Route 35, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=2161,8/29/2007,4/11/2020
2167,"306","World War I",,,1991,"the Wisconsin Historical Society",44.90842,-91.90823,,"Menomonie",,"Dunn County","Wisconsin","It can be reached from Interstate 94 at milepost 43, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=2167,8/29/2007,7/8/2024
2341,"63","Marquette",,,1957,"the Wisconsin Historical Society",43.55490,-89.43455,,"Portage",,"Columbia County","Wisconsin","It is on State Highway 33, 0.2 miles west of County Road F, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=2341,9/8/2007,9/21/2024
2342,,"Jacques Marquette and Louis Joliet",,,1905,"Wau-Bun Chapter, Daughters of the American Revolution",43.53492,-89.44757,"929 East Wisconsin Street","Portage",,"Columbia County","Wisconsin","It is at the intersection of Wisconsin Street and Wauona Trail, on the left when traveling east on Wisconsin Street. ",,https://www.hmdb.org/m.asp?m=2342,9/8/2007,12/28/2019
2364,"61","Fort Winnebago",,,1957,"the Wisconsin Historical Society",43.55490,-89.43435,,"Portage",,"Columbia County","Wisconsin","It is on State Highway 33, 0.2 miles west of County Highway F, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=2364,9/12/2007,12/28/2019
2407,"451","Ketchum’s Point",,,2000,"the Wisconsin Historical Society",43.54484,-89.44895,,"Portage",,"Columbia County","Wisconsin","It is at the intersection of State Highway 33 and East Cook Street, on the right when traveling east on State Highway 33. ",,https://www.hmdb.org/m.asp?m=2407,9/15/2007,6/30/2010
2490,"77","Treaty of the Cedars",,,1958,"the Wisconsin Historical Society",44.28130,-88.32790,,"Little Chute",,"Outagamie County","Wisconsin","It is on State Highway 96 near Washington Street, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=2490,9/18/2007,12/8/2024
2788,"294","Korean War",,,1990,"the Wisconsin Historical Society",43.95044,-89.48270,,"Westfield",,"Marquette County","Wisconsin","It is on U. S. Highway 51 (Interstate 39 at milepost 117), on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=2788,10/7/2007,6/30/2010
2791,,"Footprints in the Sands of Time",,,,,43.95030,-89.48270,,"Westfield",,"Marquette County","Wisconsin","It is on U. S. Highway 51 (Interstate 39 at milepost 117), on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=2791,10/7/2007,10/7/2007
2968,"5","Shake Rag",,,1951,"the citizens of Mineral Point",42.86080,-90.17540,,"Mineral Point",,"Iowa County","Wisconsin","It is on Shake Rag Street east of  Highway 23, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=2968,10/17/2007,12/7/2024
3158,"336","Sir Henry Soloman Wellcome","(1853 – 1936)",,1996,"the Wisconsin Historical Society",44.24230,-89.40656,,"Almond",,"Waushara County","Wisconsin","It is on County Highway J, 0.1 miles south of Akron Avenue, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=3158,11/2/2007,7/18/2021
3193,"295","Prisoners of War",,,1990,"the Wisconsin Historical Society",44.59716,-90.18140,,"Marshfield",,"Wood County","Wisconsin","It is at the intersection of State Highway 13 and U.S. 10, on the right when traveling south on State Highway 13. ",,https://www.hmdb.org/m.asp?m=3193,10/28/2007,7/1/2010
