MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
4304,,"Camp Jenney",,,,,43.81600,-104.12290,,"Newcastle",,"Weston County","Wyoming","It is on U.S. 16, 3 miles east of U.S. 85, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=4304,12/20/2007,8/29/2020
4305,,"Cheyenne – Deadwood Trail","Beaver Creek Station – Hank Masons Grave",,,,43.81357,-104.10847,,"Newcastle",,"Weston County","Wyoming","It is at the intersection of U.S. 16 and Beaver Creek Road, on the left when traveling east on U.S. 16. ",,https://www.hmdb.org/m.asp?m=4305,12/20/2007,3/6/2024
5747,,"Old Army Bridge Over the Platte River",,,1951,"The Historical Landmark Commission of Wyoming",42.21077,-104.53328,,"Fort Laramie",,"Goshen County","Wyoming","It is on State Highway 160. ",,https://www.hmdb.org/m.asp?m=5747,2/25/2008,4/5/2023
5748,,"Oregon Trail Ruts","Registered National Historic Landmark",,,"Guernsey State Park",42.25697,-104.74888,,"Guernsey",,"Platte County","Wyoming","It can be reached from Lucinda Rollins Road. ",,https://www.hmdb.org/m.asp?m=5748,2/26/2008,1/26/2025
5749,,"Register Cliff",,,,"State of Wyoming",42.24783,-104.71129,,"Guernsey",,"Platte County","Wyoming","It can be reached from S Gurnsey Road. ",,https://www.hmdb.org/m.asp?m=5749,2/26/2008,1/26/2025
13099,,"John Wesley Powell",,,2003,"City of Green River in cooperation with the Sweetwater County Historical Museum",41.52917,-109.46726,"3 East Flaming Gorge Way","Green River",,"Sweetwater County","Wyoming","It is at the intersection of Flaming Gorge Way and North Center Street when traveling north on Flaming Gorge Way. ",,https://www.hmdb.org/m.asp?m=13099,10/29/2008,5/28/2024
13650,,"Jim Bridger",,,2008,"Fort Bridger Historical Association",41.31836,-110.38880,"Business Loop I-80 37,000","Fort Bridger",,"Uinta County","Wyoming","It is on Business Route I-80, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=13650,11/23/2008,12/28/2019
27087,,"Mt. Sinai Congregation","First Permanent Jewish House of Worship in Wyoming",,2007,"Jewish American Society for Historic Preservation, Wyoming State Historical Society, Mt. Sinai Congregation",41.13546,-104.81986,,"Cheyenne",,"Laramie County","Wyoming","It is on Pioneer near 20th Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=27087,2/11/2010,12/10/2024
34463,,"Devils Tower",,,,"the State of Wyoming and the National Park Service",44.70112,-104.48455,,"Hulett",,"Crook County","Wyoming","It is on State Highway 24, 1 mile west of Mona Belle Road, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=34463,8/18/2010,8/4/2011
34465,,"Devils Tower",,,,,44.56026,-104.68623,,"Devils Tower",,"Crook County","Wyoming","It is on State Highway 24, 1.7 miles south of Devils Tower National Monument Road (State Highway 110), on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=34465,8/18/2010,12/29/2024
